鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區景後街91~120號,4.07,商,,,1050418,土地1建物1車位0,五層,十三層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0831108,35.56,1,1,1,有,有,5750000,161699,,0.0,0,,RPTNMLNJNHLFFAA47CA
文山區,房地(土地+建物),臺北市文山區景文街61~90號,9.54,商,,,1050327,土地1建物1車位0,七層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,115.48,2,2,1,有,有,22600000,195705,,0.0,0,,RPUOMLPJNHLFFAA87CA
文山區,房地(土地+建物),臺北市文山區木柵路四段33巷1~30號,11.53,住,,,1050331,土地1建物1車位0,二層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971208,41.01,1,0,1,有,有,6000000,146306,,0.0,0,,RPVOMLPJNHLFFAA97CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段181巷61~90號,52.84,住,,,1050327,土地3建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001024,219.07999999999998,3,2,2,有,有,29200000,133285,坡道平面,41.39,0,,RPVNMLNKNHLFFAA77CA
文山區,房地(土地+建物),臺北市文山區忠順街二段31~60號,15.69,住,,,1050502,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0730712,83.37,3,2,2,有,有,8000000,95958,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOKNHLFFAA27CA
文山區,房地(土地+建物)+車位,臺北市文山區政大三街91~120號,99.65,住,,,1050411,土地1建物1車位1,四層，五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980924,228.23,4,2,2,有,有,35000000,153354,坡道機械,0.0,0,,RPTNMLKMNHLFFAA47CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路61~90號,9.32,商,,,1050419,土地2建物1車位1,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860320,101.03,2,2,1,有,有,12700000,125693,坡道平面,15.27,0,,RPPOMLNJNHLFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區萬大路277巷31~60號,19.23,住,,,1050314,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711027,80.31,2,1,1,有,有,12200000,151911,,0.0,0,含增建或未登記建物。,RPSOMLNJNHLFFBA57CA
萬華區,車位,臺北市萬華區和平西路三段61~90號,0.15,其他,,,1050422,土地0建物0車位1,一層,十三層,其他,見其他登記事項,鋼筋混凝土造,1000315,1.41,0,0,0,有,有,1380000,,塔式車位,0.0,1380000,,RPQNMLOJNHLFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區青年路106巷1~30號,14.04,住,,,1050408,土地2建物1車位0,一層，騎樓,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0640403,36.4,1,1,1,有,無,7400000,203297,,0.0,0,,RPUNMLOJNHLFFBA77CA
