編號,車位類別,車位價格,車位面積平方公尺
RPPOMLPJNHLFFBA57CB,坡道平面,2000000,48.34
RPQOMLPJNHLFFBA67CB,坡道機械,1000000,27.93
RPQOMLPJNHLFFBA67CB,坡道機械,1000000,27.93
RPROMLPJNHLFFBA77CB,坡道機械,1100000,27.93
RPSOMLPJNHLFFBA87CB,坡道機械,1450000,27.93
RPTOMLPJNHLFFBA97CB,坡道機械,1000000,27.93
RPTOMLPJNHLFFBA97CB,坡道機械,1000000,27.93
RPUOMLPJNHLFFBA08CB,坡道機械,1000000,27.93
RPVOMLPJNHLFFBA18CB,坡道機械,1000000,27.93
RPWOMLPJNHLFFBA28CB,坡道機械,1200000,27.93
RPXOMLPJNHLFFBA38CB,坡道機械,1800000,27.93
RPOPMLPJNHLFFBA57CB,坡道平面,2000000,48.34
RPPPMLPJNHLFFBA67CB,坡道平面,2400000,48.34
RPQPMLPJNHLFFBA77CB,坡道機械,1100000,27.93
RPRPMLPJNHLFFBA87CB,坡道機械,1300000,27.93
RPSPMLPJNHLFFBA97CB,坡道機械,1300000,27.93
RPTPMLPJNHLFFBA08CB,坡道機械,1000000,27.93
RPTPMLPJNHLFFBA08CB,坡道機械,1000000,27.93
RPVPMLPJNHLFFBA28CB,坡道機械,1000000,27.93
RPVPMLPJNHLFFBA28CB,坡道機械,1000000,27.93
RPWPMLPJNHLFFBA38CB,坡道平面,2200000,48.34
RPXPMLPJNHLFFBA48CB,坡道機械,1300000,27.93
RPOQMLPJNHLFFBA67CB,坡道機械,1650000,27.93
RPPQMLPJNHLFFBA77CB,坡道機械,1000000,27.93
RPPQMLPJNHLFFBA77CB,坡道機械,1000000,27.93
RPQQMLPJNHLFFBA87CB,坡道機械,1000000,27.93
RPRQMLPJNHLFFBA97CB,坡道機械,1000000,27.93
RPRQMLPJNHLFFBA97CB,坡道平面,2300000,48.34
RPRQMLPJNHLFFBA97CB,坡道機械,1100000,27.93
RPSQMLPJNHLFFBA08CB,坡道機械,1000000,27.93
RPSQMLPJNHLFFBA08CB,坡道機械,1000000,27.93
RPTQMLPJNHLFFBA18CB,坡道機械,1000000,27.93
RPTQMLPJNHLFFBA18CB,坡道機械,1000000,27.93
RPUQMLPJNHLFFBA28CB,坡道機械,1100000,27.93
RPVQMLPJNHLFFBA38CB,坡道平面,1900000,41.70
RPWQMLPJNHLFFBA48CB,坡道機械,1200000,27.93
RPXQMLPJNHLFFBA58CB,坡道機械,1500000,27.93
RPORMLPJNHLFFBA77CB,坡道平面,1900000,41.70
RPPRMLPJNHLFFBA87CB,坡道平面,2380000,48.34
RPQRMLPJNHLFFBA97CB,坡道平面,2200000,48.34
RPRRMLPJNHLFFBA08CB,坡道平面,1900000,41.70
RPSRMLPJNHLFFBA18CB,坡道平面,2200000,48.34
RPTRMLPJNHLFFBA28CB,坡道機械,2000000,27.93
RPURMLPJNHLFFBA38CB,坡道平面,2000000,41.70
RPVRMLPJNHLFFBA48CB,坡道機械,1300000,27.93
RPWRMLPJNHLFFBA58CB,坡道機械,1450000,27.93
RPXRMLPJNHLFFBA68CB,坡道機械,1500000,27.93
RPOSMLPJNHLFFBA87CB,坡道機械,1200000,27.93
RPPSMLPJNHLFFBA97CB,坡道機械,1200000,27.93
RPQSMLPJNHLFFBA08CB,坡道機械,1000000,27.93
RPQSMLPJNHLFFBA08CB,坡道機械,1000000,27.93
