鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
內湖區,建物,臺北市內湖區民權東路六段280巷1~30號,0.0,住,,,1050415,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930927,195.23,4,2,2,有,有,無,52000,266,,0.0,0,,RPPNMLMJNHLFFCA37CC
內湖區,建物,臺北市內湖區內湖路二段253巷1弄1~30號,0.0,住,,,1050401,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750131,91.25,3,2,1,有,無,有,19000,208,,0.0,0,,RPPOMLMJNHLFFCA47CC
中山區,建物,臺北市中山區吉林路1~30號,0.0,商,,,1050420,土地0建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001201,286.55,3,2,2,有,有,有,124873,436,坡道平面,71.62,0,,RPQOMLMJNHLFFCA57CC
信義區,建物,臺北市信義區松信路1~30號,0.0,住,,,1050426,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,107.78999999999999,3,2,2,有,無,有,25000,232,,0.0,0,續約,RPRNMLMJNHLFFDA67CC
松山區,建物,臺北市松山區南京東路四段1~30號,0.0,商,,,1050429,土地0建物1車位0,十二層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971205,57.33,1,1,1,有,有,有,29000,506,,0.0,0,,RPSNMLMJNHLFFDA77CC
北投區,房地(土地+建物),臺北市北投區實踐街1~30號,26.25,商,,,1050408,土地2建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0671009,107.45,0,1,1,有,無,無,39000,363,,0.0,0,,RPUNMLMJNHLFFEA08CC
文山區,建物,臺北市文山區景美街91~120號,0.0,商,,,1050406,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,106.66,2,1,1,有,無,無,32000,300,,0.0,0,,RPPNMLMJNHLFFAA17CC
中正區,建物,臺北市中正區寧波西街1~30號,0.0,住,,,1050404,土地0建物1車位0,十一層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0940607,83.41,4,2,2,有,有,有,55000,659,,0.0,0,含增建,RPVNMLNJNHLFFAA87CC
北投區,建物,臺北市北投區中央南路二段1~30號,8.28,工,,,1050401,土地0建物1車位1,十六層,19,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828,51.849999999999994,0,0,0,無,有,無,17000,328,坡道平面,36.9,0,,RPSNMLNJNHLFFEA97CC
北投區,建物,臺北市北投區中央南路二段1~30號,7.77,工,,,1050401,土地0建物1車位1,七層,19,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828,48.71,0,0,0,無,有,無,15000,308,坡道平面,36.9,0,,RPTNMLNJNHLFFEA08CC
北投區,建物,臺北市北投區中央南路二段1~30號,7.77,工,,,1050401,土地0建物1車位0,七層,19,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828,48.71,0,0,0,無,有,無,16000,328,,0.0,0,,RPUNMLNJNHLFFEA18CC
北投區,建物,臺北市北投區中央南路二段1~30號,8.2,工,,,1050401,土地0建物1車位0,七層,19,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828,51.05,0,0,0,無,有,無,15000,294,,0.0,0,,RPVNMLNJNHLFFEA28CC
士林區,建物,臺北市士林區通河街325巷31~60號,0.0,住,,,1050331,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0591210,29.48,1,1,1,有,有,有,9000,305,,0.0,0,,RPWNMLNJNHLFFEA38CC
士林區,建物,臺北市士林區美崙街84巷1~30號,0.0,住,,,1050430,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0550226,87.91,3,2,2,有,無,無,30800,350,,0.0,0,,RPPOMLNJNHLFFEA77CC
萬華區,建物,臺北市萬華區萬大路187巷3弄1~30號,11.95,商,,,1050501,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640508,31.18,2,1,1,有,無,無,7000,225,,0.0,0,,RPWNMLNJNHLFFBA08CC
