編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLMJNHLFFCA37CC,東湖段三小段,.00,都市：住
RPPOMLMJNHLFFCA47CC,碧湖段二小段,.00,都市：住
RPQOMLMJNHLFFCA57CC,長安段三小段,.00,都市：商
RPRNMLMJNHLFFDA67CC,雅祥段一小段,.00,都市：住
RPRNMLMJNHLFFDA67CC,雅祥段一小段,.00,都市：住
RPRNMLMJNHLFFDA67CC,雅祥段一小段,.00,都市：住
RPSNMLMJNHLFFDA77CC,美仁段一小段,.00,都市：商
RPSNMLMJNHLFFDA77CC,美仁段一小段,.00,都市：商
RPUNMLMJNHLFFEA08CC,立農段四小段,2.39,都市：商
RPUNMLMJNHLFFEA08CC,立農段四小段,23.86,都市：商
RPPNMLMJNHLFFAA17CC,景美段五小段,.00,都市：商
RPVNMLNJNHLFFAA87CC,南海段三小段,.00,都市：商
RPVNMLNJNHLFFAA87CC,南海段三小段,.00,都市：住
RPSNMLNJNHLFFEA97CC,大業段四小段,8.28,都市：工
RPTNMLNJNHLFFEA08CC,大業段四小段,7.77,都市：工
RPUNMLNJNHLFFEA18CC,大業段四小段,7.77,都市：工
RPVNMLNJNHLFFEA28CC,大業段四小段,8.20,都市：工
RPWNMLNJNHLFFEA38CC,百齡段六小段,.00,都市：住
RPPOMLNJNHLFFEA77CC,陽明段三小段,.00,都市：住
RPWNMLNJNHLFFBA08CC,青年段一小段,11.95,都市：商
RPOOMLNJNHLFFBA37CC,臨沂段一小段,8.39,都市：其他
RPQOMLNJNHLFFBA57CC,青年段一小段,.00,都市：住
RPSNMLNJNHLFFFA08CC,仁愛段六小段,71.63,都市：住
RPTNMLNJNHLFFFA18CC,仁愛段二小段,.00,都市：住
RPUNMLNJNHLFFFA28CC,復興段三小段,.00,都市：其他
RPVNMLNJNHLFFFA38CC,學府段二小段,8.17,都市：商
RPWNMLNJNHLFFFA48CC,仁愛段六小段,496.00,都市：住
RPPNMLNJNHLFFDA57CC,信義段三小段,.00,都市：其他
RPVNMLNJNHLFFDA18CC,美仁段一小段,.00,都市：商
RPWNMLNJNHLFFDA28CC,美仁段二小段,.00,都市：住
RPQNMLNJNHLFFCA57CC,榮星段六小段,.00,都市：商
RPXNMLNJNHLFFCA28CC,石潭段四小段,.00,都市：住
RPOOMLNJNHLFFCA47CC,吉林段一小段,.00,都市：商
RPQNMLOJNHLFFCA67CC,康寧段四小段,.00,都市：住
RPSNMLOJNHLFFCA87CC,舊宗段,.00,都市：工
RPQOMLOJNHLFFCA77CC,長春段三小段,.00,都市：商
RPQOMLOJNHLFFCA77CC,長春段三小段,.00,都市：商
RPSOMLOJNHLFFCA97CC,中山段二小段,.00,都市：商
RPTOMLOJNHLFFCA08CC,榮星段六小段,.00,都市：商
RPUOMLOJNHLFFCA18CC,潭美段五小段,.00,都市：其他
RPPPMLOJNHLFFCA77CC,中山段二小段,.00,都市：商
RPSPMLOJNHLFFCA08CC,中山段三小段,.00,都市：商
RPTPMLOJNHLFFCA18CC,康寧段三小段,.00,都市：住
RPUPMLOJNHLFFCA28CC,中山段一小段,.00,都市：商
RPRQMLOJNHLFFCA08CC,吉林段五小段,.00,都市：住
RPTQMLOJNHLFFCA28CC,東湖段二小段,12.72,都市：商
RPVQMLOJNHLFFCA48CC,中山段三小段,.00,都市：商
RPXQMLOJNHLFFCA68CC,中山段二小段,.00,都市：商
RPORMLOJNHLFFCA87CC,長春段二小段,.00,都市：住
RPORMLOJNHLFFCA87CC,長春段二小段,.00,都市：住
RPWNMLOJNHLFFDA38CC,逸仙段二小段,.00,都市：住
RPTOMLOJNHLFFDA18CC,寶清段七小段,.00,都市：商
RPWOMLOJNHLFFDA48CC,祥和段二小段,.00,都市：商
RPXOMLOJNHLFFDA58CC,福德段三小段,.00,都市：住
RPOPMLOJNHLFFDA77CC,�祟M段三小段,.00,都市：住
RPQPMLOJNHLFFDA97CC,雅祥段四小段,.00,都市：住
RPSPMLOJNHLFFDA18CC,祥和段二小段,.00,都市：商
RPTPMLOJNHLFFDA28CC,信義段二小段,3.77,都市：住
RPTPMLOJNHLFFDA28CC,信義段二小段,.32,都市：住
RPTPMLOJNHLFFDA28CC,信義段二小段,.40,都市：住
RPTPMLOJNHLFFDA28CC,信義段二小段,.43,都市：住
RPTPMLOJNHLFFDA28CC,信義段二小段,.08,都市：住
RPUPMLOJNHLFFDA38CC,寶清段二小段,.00,都市：商
RPVNMLOJNHLFFFA48CC,通化段五小段,.00,都市：住
RPXNMLOJNHLFFFA68CC,仁愛段二小段,.00,都市：商
RPXNMLOJNHLFFFA68CC,仁愛段二小段,.00,都市：商
RPROMLOJNHLFFFA18CC,懷生段一小段,.00,都市：商
RPSOMLOJNHLFFFA28CC,懷生段二小段,.00,都市：住
RPSOMLOJNHLFFFA28CC,懷生段二小段,.00,都市：其他
RPVNMLOJNHLFFBA08CC,市府段二小段,.00,都市：商
RPSOMLOJNHLFFBA87CC,大龍段三小段,.00,都市：住
RPTOMLOJNHLFFBA97CC,玉泉段二小段,.00,都市：住
RPWOMLOJNHLFFBA28CC,成功段一小段,.00,都市：商
RPWOMLOJNHLFFBA28CC,成功段一小段,.00,都市：商
RPXOMLOJNHLFFBA38CC,圓環段三小段,.00,都市：商
RPQNMLOJNHLFFEA87CC,天母段二小段,.00,都市：商
RPTNMLOJNHLFFEA18CC,三玉段一小段,.00,都市：住
RPUNMLOJNHLFFEA28CC,蘭雅段一小段,.00,都市：住
RPVNMLOJNHLFFEA38CC,天山段二小段,.00,都市：商
RPSNMLOJNHLFFAA67CC,景美段三小段,.00,都市：住
RPTNMLOJNHLFFAA77CC,景美段五小段,5.55,都市：商
RPSNMLPJNHLFFAA77CC,河堤段五小段,46.17,都市：商
RPPNMLPJNHLFFEA97DC,福順段二小段,.00,都市：住
RPTOMLPJNHLFFEA38CC,振興段四小段,.00,都市：住
RPQPMLPJNHLFFEA18CC,芝蘭段四小段,.00,都市：住
RPSPMLPJNHLFFEA38CC,桃源段一小段,.00,都市：住
RPSPMLPJNHLFFEA38CC,桃源段一小段,.00,都市：住
RPSNMLPJNHLFFBA87CC,公園段一小段,5.25,都市：商
RPSNMLPJNHLFFBA87CC,公園段一小段,.49,都市：商
RPSNMLPJNHLFFBA87CC,公園段一小段,.47,都市：商
RPSNMLPJNHLFFBA87CC,公園段一小段,.02,都市：商
RPSNMLPJNHLFFBA87CC,公園段一小段,.29,都市：商
RPWNMLPJNHLFFBA28CC,莒光段一小段,.00,都市：住
RPQNMLPJNHLFFDA87CC,寶清段二小段,.00,都市：商
RPVNMLPJNHLFFDA38CC,三興段一小段,.00,都市：住
RPOOMLPJNHLFFDA77CC,三興段一小段,.00,都市：住
RPPOMLPJNHLFFDA87CC,南港段一小段,.00,都市：住
RPTOMLPJNHLFFDA28CC,西松段一小段,.00,都市：其他
RPUOMLPJNHLFFDA38CC,福德段三小段,.00,都市：住
RPXOMLPJNHLFFDA68CC,玉成段一小段,.00,都市：商
RPOPMLPJNHLFFDA87CC,敦化段五小段,.00,都市：住
RPPNMLPJNHLFFCA67CC,北安段一小段,.00,都市：住
RPQNMLPJNHLFFCA77CC,長安段三小段,28.75,都市：住
RPVPMLPJNHLFFCA48CC,西湖段一小段,.00,都市：住
RPXPMLPJNHLFFCA68CC,東湖段六小段,.00,都市：住
RPOQMLPJNHLFFCA87CC,吉林段四小段,.00,都市：商
RPRQMLPJNHLFFCA18CC,長安段一小段,.00,都市：商
RPSQMLPJNHLFFCA28CC,德惠段四小段,.00,都市：商
RPWQMLPJNHLFFCA68CC,東湖段二小段,.00,都市：商
RPRRMLPJNHLFFCA28CC,中山段二小段,.00,都市：商
RPSRMLPJNHLFFCA38CC,中山段三小段,.00,都市：商
RPQNMLQJNHLFFCA87CC,金泰段,.00,都市：商
RPRNMLQJNHLFFCA97CC,石潭段四小段,.00,都市：商
RPWNMLQJNHLFFCA48CC,榮星段三小段,.00,都市：住
RPWNMLQJNHLFFCA48CC,榮星段三小段,.00,都市：住
RPPOMLQJNHLFFCA87CC,長安段二小段,.00,都市：商
RPROMLQJNHLFFCA08CC,德惠段四小段,.00,都市：商
RPTOMLQJNHLFFCA28CC,中山段三小段,.00,都市：商
RPUOMLQJNHLFFCA38CC,中山段三小段,.00,都市：商
RPUNMLQJNHLFFDA38CC,祥和段四小段,.00,都市：住
RPWNMLQJNHLFFDA58CC,雅祥段四小段,33.75,都市：住
RPOOMLQJNHLFFDA87CC,三興段三小段,.00,都市：商
RPROMLQJNHLFFDA18CC,逸仙段二小段,.00,都市：住
RPUOMLQJNHLFFDA48CC,三興段三小段,.00,都市：商
RPVOMLQJNHLFFDA58CC,逸仙段三小段,.00,都市：商
RPTNMLQJNHLFFBA08CC,中正段二小段,.00,都市：住
RPTNMLQJNHLFFBA08CC,中正段二小段,.00,都市：其他
RPVNMLQJNHLFFBA28CC,玉泉段一小段,.00,都市：商
RPWNMLQJNHLFFBA38CC,雙連段三小段,.00,都市：商
RPXNMLQJNHLFFBA48CC,市府段一小段,.00,都市：其他
RPXNMLQJNHLFFBA48CC,市府段一小段,.00,都市：其他
RPOOMLQJNHLFFBA67CC,臨沂段一小段,.00,都市：住
RPPOMLQJNHLFFBA77CC,市府段一小段,.00,都市：其他
RPPOMLQJNHLFFBA77CC,市府段一小段,.00,都市：其他
RPPOMLQJNHLFFBA77CC,公園段一小段,.00,都市：其他
RPROMLQJNHLFFBA97CC,迪化段三小段,.00,都市：其他
RPRNMLQJNHLFFFA28CC,仁愛段五小段,.00,非都市： ; 非都市編定：
RPTNMLQJNHLFFEA38CC,三玉段五小段,.00,都市：住
RPWNMLQJNHLFFEA68CC,天山段二小段,.00,都市：商
RPOOMLQJNHLFFEA97CC,蘭雅段二小段,.00,都市：住
RPPOMLQJNHLFFEA08CC,三玉段二小段,.00,都市：住
RPQOMLQJNHLFFEA18CC,三玉段五小段,.00,都市：住
RPRPMLQJNHLFFEA38CC,關渡段三小段,.00,都市：住
RPTPMLQJNHLFFEA58CC,三玉段一小段,.00,都市：住
RPUPMLQJNHLFFEA68CC,三玉段二小段,.00,都市：住
RPVPMLQJNHLFFEA78CC,三玉段三小段,.00,都市：住
RPWPMLQJNHLFFEA88CC,文林段一小段,.00,都市：住
RPWPMLQJNHLFFEA88CC,文林段一小段,.00,都市：住
RPQNMLQJNHLFFBA87DC,青年段一小段,.00,都市：住
RPQNMLQJNHLFFBA87DC,青年段一小段,.00,都市：住
RPRNMLQJNHLFFBA97DC,莒光段一小段,.00,都市：住
RPRNMLQJNHLFFAA77CC,實踐段二小段,.00,都市：住
RPTNMLQJNHLFFAA97CC,南海段三小段,.00,都市：住
