編號,車位類別,車位價格,車位面積平方公尺
RPXNMLMJNHLFFBB18CC,坡道機械,0,15.94
RPTPMLMJNHLFFBB97CC,坡道機械,0,
RPWNMLNJNHLFFCB38DC,坡道平面,0,
RPPNMLNJNHLFFBB47CC,坡道平面,0,
RPQOMLNJNHLFFBB67CC,升降機械,2500,
RPUNMLNJNHLFFCB08CC,坡道機械,0,
RPQPMLNJNHLFFCB87CC,坡道平面,0,40.26
RPSPMLNJNHLFFCB08CC,坡道平面,0,33.79
RPVPMLNJNHLFFCB38CC,坡道平面,0,13.56
RPVPMLNJNHLFFCB38CC,坡道平面,0,13.56
RPOQMLNJNHLFFCB77CC,坡道平面,0,33.91
RPUPNLOJNHLFFBB38CC,坡道平面,0,
RPTPMLPJNHLFFAB18CC,坡道平面,0,
RPVNMLPJNHLFFCB38CC,坡道平面,0,35.90
RPSOMLPJNHLFFCB18CC,坡道平面,3500,
RPSOMLPJNHLFFCB18CC,坡道平面,3500,
RPTOMLPJNHLFFCB28CC,坡道平面,3500,
RPTOMLPJNHLFFCB28CC,坡道平面,3500,
RPXOMLQJNHLFFCB78CC,坡道平面,0,
RPOPMLQJNHLFFCB97CC,坡道平面,0,
RPWPMLQJNHLFFCB78CC,坡道平面,0,
RPQSMLQJNHLFFCB48CC,坡道平面,0,
RPQSMLQJNHLFFCB48CC,坡道平面,0,
RPQSMLQJNHLFFCB48CC,坡道平面,0,
RPUNMLQJNHLFFBB28CC,坡道機械,0,
RPWNMLQJNHLFFBB48CC,坡道平面,0,
RPPOMLQJNHLFFBB87CC,坡道平面,0,
RPVPMLQJNHLFFBB58CC,升降機械,0,
RPRNMLQJNHLFFAB87CC,坡道機械,0,11.58
RPRNMLQJNHLFFAB87CC,坡道平面,0,11.58
RPPNMLRJNHLFFAB77CC,坡道平面,0,
RPWNMLTJNHLFFAB68CC,坡道平面,0,
RPUNMLKKNHLFFFL56CC,坡道平面,0,
RPTNMLKKNHLFFGL56CC,坡道平面,0,30.51
RPTOMLLKNHLFFAB77CC,坡道機械,0,
RPQPMLLKNHLFFAB57CC,坡道平面,0,23.82
RPTNMLLKNHLFFBB77CC,升降機械,2500,
RPPQMLLKNHLFFBB67CC,坡道平面,0,24.42
RPWSMLLKNHLFFCB68CC,坡道平面,3500,
RPWSMLLKNHLFFCB68CC,坡道平面,3500,
RPQTMLLKNHLFFCB18CC,坡道平面,3500,
RPQTMLLKNHLFFCB18CC,坡道平面,3500,
RPRTMLLKNHLFFCB28CC,坡道平面,3500,
RPRTMLLKNHLFFCB28CC,坡道平面,3500,
RPRTMLLKNHLFFCB28CC,坡道平面,3500,
RPRTMLLKNHLFFCB28CC,坡道機械,2000,
RPRTMLLKNHLFFCB28CC,坡道機械,2000,
RPTOMLMKNHLFFCB08CC,坡道機械,0,8.24
RPTOMLMKNHLFFCB08CC,坡道平面,0,20.00
RPTOMLMKNHLFFCB08CC,坡道平面,0,20.00
RPTOMLMKNHLFFCB08CC,坡道機械,0,8.24
RPWPMLMKNHLFFCB48CC,坡道平面,0,14.98
RPSNMLNKNHLFFBB97DC,坡道平面,0,24.82
RPSOMLNKNHLFFCB08CC,坡道平面,0,24.98
RPWOMLNKNHLFFBB38CC,坡道機械,0,
RPXOMLNKNHLFFBB48CC,坡道平面,0,
RPOPMLNKNHLFFBB67CC,坡道機械,0,
RPRPMLNKNHLFFBB97CC,坡道平面,0,
RPUPMLNKNHLFFBB28CC,坡道機械,0,17.24
