編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLPJNHLFFBC18CA,17,86.86,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLPJNHLFFBC28CA,17,209.93,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLPJNHLFFBC38CA,17,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLPJNHLFFBC57CA,17,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLSJNHLFFBC87CA,17,24.14,住家用,鋼筋混凝土造,88年1月14日,十四層,三層
RPPNMLSJNHLFFBC87CA,17,5.34,共用部份,鋼筋混凝土造,88年1月14日,十四層,
RPPNMLSJNHLFFBC87CA,17,1.90,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLSJNHLFFBC87CA,17,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLSJNHLFFBC87CA,17,.57,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLSJNHLFFBC87CA,17,.29,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLNJNHLFFBC77CA,47,82.75,住家用,加強磚造,58年1月9日,三層,三層
RPPNMLPJNHLFFBC57CA,22,51.06,住家用,鋼筋混凝土造,83年9月8日,七層,四層
RPPNMLPJNHLFFBC57CA,22,12.07,共用部份,鋼筋混凝土造,83年9月8日,七層,
RPUNMLNJNHLFFCC97CA,24,88.79,住家用,鋼筋混凝土造,80年11月15日,四層,四層
RPUNMLNJNHLFFCC97CA,24,5.68,共用部份,鋼筋混凝土造,80年11月15日,四層,
RPVNMLNJNHLFFCC08CA,21,101.72,住家用,鋼筋混凝土造,83年11月8日,五層,五層
RPVNMLNJNHLFFCC08CA,21,13.91,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPVNMLNJNHLFFCC08CA,21,3.23,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPQNMLOJNHLFFCC67CA,21,74.30,住家用,鋼筋混凝土造,84年7月1日,十二層,十層
RPQNMLOJNHLFFCC67CA,21,6.61,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPQNMLOJNHLFFCC67CA,21,10.18,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPTPMLOJNHLFFCC18CA,10,168.03,住家用,鋼筋混凝土造,95年7月24日,四層,一層 二層 三層 四層
RPTPMLOJNHLFFCC18CA,10,57.49,共用部份,鋼筋混凝土造,95年7月24日,五層,
RPTPMLOJNHLFFCC18CA,10,22.87,共用部份,鋼筋混凝土造,95年7月24日,五層,
RPTPMLOJNHLFFCC18CA,10,4.09,共用部份,鋼筋混凝土造,95年7月24日,二層,
RPQNMLTJNHLFFCC18CA,23,108.94,住家用,鋼筋混凝土造,82年3月4日,七層,四層
RPQNMLTJNHLFFCC18CA,23,33.08,共用部份,鋼筋混凝土造,82年3月4日,七層,
RPQNMLTJNHLFFCC18CA,23,4.11,共用部份,鋼筋混凝土造,82年3月4日,七層,
RPSNMLLKNHLFFCC67CA,22,94.11,住家用,鋼筋混凝土造,82年11月23日,十二層,十二層
RPSNMLLKNHLFFCC67CA,22,.00,共用部份,鋼筋混凝土造,82年11月23日,十二層,
RPSNMLLKNHLFFCC67CA,22,9.85,共用部份,鋼筋混凝土造,82年11月23日,十二層,
RPOOMLLMNHLFFCC67DA,40,42.78,商業用,鋼筋混凝土加強磚造,64年9月24日,四層,一層 騎樓
RPWNMLPJNHLFFCC58EA,34,87.53,住家用,鋼筋混凝土造,70年11月6日,四層,四層
RPSQMLQJNHLFFCC58EA,31,101.47,住商用,鋼筋混凝土造,74年7月4日,五層,一層
RPSQMLQJNHLFFCC58EA,31,9.02,共用部份,鋼筋混凝土造,74年7月4日,五層,
RPPNMLQKNHLFFCC08EA,21,82.58,住家用,鋼筋混凝土造,83年10月15日,五層,三層
RPPNMLQKNHLFFCC08EA,21,2.36,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPPNMLQKNHLFFCC08EA,21,7.86,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPQNMLQKNHLFFCC18EA,21,36.77,見其他登記事項,鋼筋混凝土造,84年2月8日,十五層,地下一層 地下二層
RPQNMLQKNHLFFCC18EA,21,22.72,共用部份,鋼筋混凝土造,84年2月8日,十五層,
RPQNMLQKNHLFFCC18EA,21,117.58,住家用,鋼筋混凝土造,84年2月8日,十五層,十二層
RPPNMLOJNHLFFBC57DA,38,84.70,住家用,鋼筋混凝土加強磚造,66年12月9日,五層,二層
RPVNMLOLNHLFFCC58EA,21,36.77,見其他登記事項,鋼筋混凝土造,84年2月8日,十五層,地下一層 地下二層
RPTQMLQJNHLFFCC48CA,41,69.55,住家用,鋼筋混凝土加強磚造,64年9月3日,四層,一層
RPWNMLNJNHLFFBC08CA,21,112.00,住家用,鋼筋混凝土造,83年11月25日,三層,一層 二層 三層
RPWNMLNJNHLFFBC08CA,21,23.26,共用部份,鋼筋混凝土造,83年11月25日,三層,
RPVNMLOJNHLFFBC08CA,18,47.72,住家用,鋼筋混凝土造,86年11月21日,十七層,六層
RPVNMLOJNHLFFBC08CA,18,7.45,共用部份,鋼筋混凝土造,86年11月21日,十七層,
RPVNMLOJNHLFFBC08CA,18,47.72,住家用,鋼筋混凝土造,86年11月21日,十七層,六層
RPVNMLOJNHLFFBC08CA,18,4.29,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPVNMLOJNHLFFBC08CA,18,17.08,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPVNMLOJNHLFFBC08CA,18,7.45,共用部份,鋼筋混凝土造,86年11月21日,十七層,
RPVNMLOJNHLFFBC08CA,18,4.29,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPVNMLOJNHLFFBC08CA,18,17.08,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPWNMLOJNHLFFBC18CA,20,69.63,住家用,鋼筋混凝土造,85年3月9日,十五層,三層
RPWNMLOJNHLFFBC18CA,20,11.95,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPXNMLOJNHLFFBC28CA,19,55.08,住家用,鋼筋混凝土造,85年11月29日,二十三層,八層
RPXNMLOJNHLFFBC28CA,19,9.64,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPXNMLOJNHLFFBC28CA,19,3.54,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPXNMLOJNHLFFBC28CA,19,4.46,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQOMLKMNHLFFCC67CA,,152.08,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,五層
RPQOMLKMNHLFFCC67CA,,1.46,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQOMLKMNHLFFCC67CA,,78.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPQOMLKMNHLFFCC67CA,,.03,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPQOMLKMNHLFFCC67CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQOMLKMNHLFFCC67CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPROMLKMNHLFFCC77CA,,49.55,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,五層
RPROMLKMNHLFFCC77CA,,.48,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPROMLKMNHLFFCC77CA,,20.25,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPROMLKMNHLFFCC77CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPROMLKMNHLFFCC77CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPROMLKMNHLFFCC77CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSOMLKMNHLFFCC87CA,,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,五層
RPSOMLKMNHLFFCC87CA,,.50,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSOMLKMNHLFFCC87CA,,21.12,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSOMLKMNHLFFCC87CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPSOMLKMNHLFFCC87CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSOMLKMNHLFFCC87CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUOMLKMNHLFFCC08CA,,50.51,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,十三層
RPUOMLKMNHLFFCC08CA,,.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUOMLKMNHLFFCC08CA,,20.63,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUOMLKMNHLFFCC08CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPUOMLKMNHLFFCC08CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUOMLKMNHLFFCC08CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVOMLKMNHLFFCC18CA,,152.08,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,二層
RPVOMLKMNHLFFCC18CA,,1.46,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVOMLKMNHLFFCC18CA,,89.07,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVOMLKMNHLFFCC18CA,,.03,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPVOMLKMNHLFFCC18CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVOMLKMNHLFFCC18CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWOMLKMNHLFFCC28CA,,76.14,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,四層
RPWOMLKMNHLFFCC28CA,,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPWOMLKMNHLFFCC28CA,,46.97,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWOMLKMNHLFFCC28CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPWOMLKMNHLFFCC28CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPWOMLKMNHLFFCC28CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXOMLKMNHLFFCC38CA,,76.14,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,八層
RPXOMLKMNHLFFCC38CA,,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPXOMLKMNHLFFCC38CA,,46.97,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXOMLKMNHLFFCC38CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPXOMLKMNHLFFCC38CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPXOMLKMNHLFFCC38CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPOPMLKMNHLFFCC57CA,,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,八層
