鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
永康區,土地,南工段31~60地號,0.0,住,,,1050428,土地1建物0車位0,,,其他,,,,0.0,4,0,0,有,無,有,15000,0,,0.0,0,,RPRNMLMJNHLFFHR17CC
永康區,房地(土地+建物),臺南市永康區永大路三段618巷55弄1~30號,85.95,住,,,1050430,土地3建物1車位0,全,4,透天厝,住家用,見其他登記事項,1020403,197.6,3,2,5,有,有,有,25000,127,,0.0,0,,RPWNMLMJNHLFFHR77DC
北區,房地(土地+建物),臺南市北區開元路481~510號,5.73,商,,,1040426,土地3建物1車位0,十五層,24,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,81.61,2,2,1,有,有,有,15000,184,,0.0,0,,RPPPMLNJNHLFFAD87DC
北區,建物,臺南市北區開元路258巷51弄1~30號,0.0,住,,,1050423,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0650823,92.58,5,3,2,有,無,有,15500,167,,0.0,0,,RPVQMLNJNHLFFAD48CC
東區,房地(土地+建物),臺南市東區崇德十八街91~120號,22.04,住,,,1050410,土地2建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0801004,99.88,3,2,2,有,無,無,12000,120,,0.0,0,,RPUNMLNJNHLFFCD28CC
北區,房地(土地+建物),臺南市北區武聖路1~30號,103.88,住,,,1050503,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0590303,147.24,0,0,0,無,無,無,20000,136,,0.0,0,,RPXOMLOJNHLFFAD58CC
安南區,房地(土地+建物),臺南市安南區郡安路五段31巷2弄1~30號,105.6,其他,,,1050503,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831115,222.42,5,3,3,有,無,有,21000,94,,0.0,0,,RPSNMLOJNHLFFBD08CC
永康區,建物,臺南市永康區中正路256巷1~30號,0.0,住,,,1050503,土地0建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820824,82.97,2,1,1,有,有,有,9000,108,,0.0,0,,RPUNMLOJNHLFFHR67CC
永康區,房地(土地+建物),臺南市永康區中華一路39巷1~30號,67.15,住,,,1050410,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0640808,70.28,3,2,3,有,無,有,11000,157,,0.0,0,,RPUNMLPJNHLFFHR77CC
南區,房地(土地+建物),臺南市南區大同路二段640巷1~30號,328.46,其他,,,1050430,土地4建物1車位0,見其他登記事項,1,其他,住家用,加強磚造,0560731,122.63,3,1,1,有,無,無,15000,122,,0.0,0,,RPPNMLPJNHLFFCD97CC
