╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
кO╛Ї░╧,й╨жa(дgжa+л╪кл),╖sе_елкO╛Ї░╧лH╕q╕Ї74л╤4з╦1~30╕╣,14.75,жэ,,,1050412,дgжa1л╪кл1иожь0,д@╝h,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,е[▒j┐j│y,0631210,35.62,3,1,1,ж│,╡L,2050000,57552,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLOJNHLFFAF28CA
кO╛Ї░╧,й╨жa(дgжa+л╪кл),╖sе_елкO╛Ї░╧йMен╕Ї61~90╕╣,13.8,жэ,,,1050322,дgжa1л╪кл1иожь0,дC╝h,дQ╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0990419,86.24,2,1,1,ж│,╡L,11000000,127551,,0.0,0,,RPXNMLOJNHLFFAF48CA
кO╛Ї░╧,й╨жa(дgжa+л╪кл),╖sе_елкO╛Ї░╧├h╝w╡є174л╤1~30╕╣,21.0,жэ,,,1050401,дgжa1л╪кл1иожь0,д@╝hбA├M╝╙,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,,73.82,2,1,1,ж│,╡L,11530000,156191,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPOQMLOJNHLFFAF87CA
кO╛Ї░╧,дgжa,┤фдl╝Lмq121~150жa╕╣,16.5,жэ,,,1050419,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3993000,242000,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPOOMLPJNHLFFAF77CA
дgл░░╧,й╨жa(дgжa+л╪кл),╖sе_елдgл░░╧дде┐╕Ї61~90╕╣,31.81,жэ,,,1050414,дgжa1л╪кл1иожь0,дG╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0770106,104.79,3,2,2,ж│,╡L,4400000,41989,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPOMLQJNHLFFAF97CA
кO╛Ї░╧,й╨жa(дgжa+л╪кл),╖sе_елкO╛Ї░╧дддs╕ЇдGмq90л╤47з╦1~30╕╣,26.4,жэ,,,1050328,дgжa1л╪кл1иожь0,д@╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0680718,91.78,3,2,2,ж│,╡L,5200000,56657,,0.0,0,┐╦╡е╢R╜ц,RPWNMLTJNHLFFAF88CA
кO╛Ї░╧,дgжa,░ъе·мq1381~1410жa╕╣,8.15,ифеL,,,1050413,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,747050,91663,,0.0,0,,RPOOMLKKNHLFFAF37CA
кO╛Ї░╧,й╨жa(дgжa+л╪кл)+иожь,╖sе_елкO╛Ї░╧е┴▒┌╕Ї211~240╕╣,15.3,жэ,,,1050413,дgжa1л╪кл1иожь1,дQд@╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0871009,132.17000000000002,3,2,1,ж│,ж│,15000000,113490,йY╣D╛ў▒ё,20.6,0,,RPQPMLRKNHLFFAF38CA
дgл░░╧,й╨жa(дgжa+л╪кл),╖sе_елдgл░░╧╛╟жи╕Ї121~150╕╣,32.5,жэ,,,1050326,дgжa2л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0701224,88.74,3,2,2,ж│,╡L,9000000,101420,,0.0,0,,RPWOMLOLNHLFFAF68CA
кLдf░╧,дgжa,░ъжvмq31~60жa╕╣,90.0,жэ,,,1050330,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6600000,73333,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPQMLNJNHLFFBF97CA
