編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLNJNHLFFAG87CA,31,98.54,住家用,鋼筋混凝土加強磚造,74年1月24日,二層,一層 二層
RPOOMLMJNHLFFAG57CA,9,186.25,住家用,鋼筋混凝土造,96年5月31日,三層,二層 三層 一層
RPWNMLOJNHLFFAG48CA,21,50.78,住家用,鋼筋混凝土造,84年8月14日,七層,六層
RPWNMLOJNHLFFAG48CA,21,14.46,見其他登記事項,鋼筋混凝土造,84年8月14日,七層,
RPWNMLOJNHLFFAG48CA,21,5.64,共有部份,鋼筋混凝土造,84年8月14日,七層,
RPROMLOJNHLFFAG08CA,41,61.06,住家用,鋼筋混凝土加強磚造,64年7月5日,二層,一層 二層
RPUOMLOJNHLFFAG38CA,18,147.06,住家用,鋼筋混凝土造,87年4月23日,三層,一層 二層 三層
RPXOMLOJNHLFFAG68CA,19,81.92,住家用,鋼筋混凝土造,86年1月27日,六層,二層
RPXOMLOJNHLFFAG68CA,19,10.15,見其他登記事項,鋼筋混凝土造,86年1月27日,六層,
RPXOMLOJNHLFFAG68CA,19,20.26,見其他登記事項,鋼筋混凝土造,86年1月27日,六層,
RPUNMLQJNHLFFAG48CA,19,33.03,住家用,鋼筋混凝土造,86年4月1日,十三層,五層
RPUNMLQJNHLFFAG48CA,19,4.09,見其他登記事項,鋼筋混凝土造,86年4月1日,十三層,
RPUNMLQJNHLFFAG48CA,19,3.13,見其他登記事項,鋼筋混凝土造,86年4月1日,十三層,
RPUNMLQJNHLFFAG48CA,19,1.41,見其他登記事項,鋼筋混凝土造,86年4月1日,十三層,
RPUNMLQJNHLFFAG48CA,19,1.55,見其他登記事項,鋼筋混凝土造,86年4月1日,十三層,
RPSNMLRJNHLFFAG38CA,39,71.85,住家用,鋼筋混凝土造,66年3月12日,四層,三層
RPXNMLLKNHLFFAG38CA,17,246.68,住家用,鋼筋混凝土造,88年3月18日,四層,一層 二層 三層 四層
RPUNMLMKNHLFFAG18CA,,235.95,見其他登記事項,鋼筋混凝土造,104年11月10日,四層,一層 二層 三層 四層 地下一層
RPQNMLNKNHLFFAG87CA,6,377.26,農舍,見其他登記事項,98年12月4日,二層,一層 二層 屋頂突出物
RPPNMLKLNHLFFAG57CA,43,112.72,住家用,鋼筋混凝土加強磚造,62年9月1日,二層,一層 二層
RPXOMLNJNHLFFBG68CA,28,139.44,住家用,鋼筋混凝土造,77年5月24日,五層,五層
RPXOMLNJNHLFFBG68CA,28,19.39,共有部分,鋼筋混凝土造,77年5月24日,五層,
RPSNMLOJNHLFFBG18CA,1,284.63,見其他登記事項,鋼筋混凝土造,104年7月8日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLLKNHLFFBG48CA,,231.17,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,一層 二層 三層 見其他登記事項
RPPNMLNKNHLFFBG87CA,,43.04,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,四層
RPPNMLNKNHLFFBG87CA,,28.78,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,
RPQNMLNKNHLFFBG97CA,,43.04,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,五層
RPQNMLNKNHLFFBG97CA,,28.78,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,
RPVNMLNKNHLFFBG48CA,,223.46,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPQPMLQKNHLFFBG48CA,21,29.48,住家用,鋼筋混凝土造,84年9月25日,七層,五層
RPQPMLQKNHLFFBG48CA,21,5.22,共有部分,鋼筋混凝土造,84年9月25日,七層,
RPQPMLQKNHLFFBG48CA,21,17.39,共有部分,鋼筋混凝土造,84年9月25日,七層,
RPWOMLOJNHLFFAG78EA,36,119.68,住家用,鋼筋混凝土加強磚造,68年10月23日,二層,一層 二層
RPPNMLNJNHLFFBG97EA,25,130.38,農舍,鋼筋混凝土加強磚造,79年11月13日,三層,一層 二層 三層
RPVNMLNJNHLFFBG58EA,33,33.92,住家用,鋼筋混凝土造,72年8月8日,四層,一層
RPVNMLNJNHLFFBG58EA,33,2.58,共有部分,鋼筋混凝土造,72年8月8日,四層,
RPVNMLNJNHLFFBG58EA,33,2.47,共有部分,鋼筋混凝土造,72年8月8日,四層,
RPUOMLOJNHLFFBG68EA,,216.66,見其他登記事項,鋼筋混凝土造,104年10月23日,三層,一層 二層 三層 見其他登記事項
RPWNMLNJNHLFFAG58EA,3,206.62,見其他登記事項,鋼筋混凝土造,102年5月10日,三層,一層 二層 三層 屋頂突出物
RPXNMLNJNHLFFAG68EA,1,206.83,見其他登記事項,鋼筋混凝土造,104年8月6日,三層,一層 二層 三層 見其他登記事項
RPXNMLNJNHLFFAG68EA,1,206.93,見其他登記事項,鋼筋混凝土造,104年8月6日,三層,一層 二層 三層 見其他登記事項
RPPNMLRJNHLFFBG28DA,,72.00,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPWNMLKLNHLFFBG38CA,12,209.25,住家用,鋼筋混凝土造,93年7月2日,三層,一層 二層 三層
RPUNMLNKNHLFFBG38CA,10,206.88,住家用,鋼筋混凝土造,94年10月17日,四層,一層 二層 三層 四層
RPSNMLTKNHLFFAG68CA,31,155.28,住家用,鋼筋混凝土造,73年11月5日,三層,一層 二層 三層 騎樓
RPTOMLTJNHLFFBG88CA,18,254.25,住家用,鋼筋混凝土造,87年3月23日,三層,二層 三層 一層
RPTNMLPJNHLFFBG38CA,46,55.67,住家用,鋼筋混凝土加強磚造,59年2月17日,二層,二層
RPOOMLTJNHLFFAG28CA,18,83.50,住家用,鋼筋混凝土造,87年5月12日,六層,二層
RPOOMLTJNHLFFAG28CA,18,18.47,見其他登記事項,鋼筋混凝土造,87年5月12日,六層,
RPOOMLTJNHLFFAG28CA,18,5.89,見其他登記事項,鋼筋混凝土造,87年5月12日,六層,
RPXNMLQJNHLFFAG78CA,20,76.04,住家用,鋼筋混凝土造,85年10月3日,十二層,四層
RPXNMLQJNHLFFAG78CA,20,15.20,見其他登記事項,鋼筋混凝土造,85年10月3日,十二層,
RPXNMLQJNHLFFAG78CA,20,11.90,見其他登記事項,鋼筋混凝土造,85年10月3日,十二層,
RPSOMLOJNHLFFAG18CA,41,88.88,住家用,鋼筋混凝土加強磚造,64年9月8日,二層,一層 二層
RPPOMLNJNHLFFAG77CA,20,161.83,農舍,鋼筋混凝土加強磚造,84年12月12日,二層,一層 二層
RPPNMLOJNHLFFAG77CA,1,164.62,住家用,見其他登記事項,104年4月16日,三層,一層 二層 三層
RPSNMLOJNHLFFAG08CA,1,163.75,住家用,見其他登記事項,104年4月16日,三層,一層 二層 三層
RPTNMLOJNHLFFAG18CA,1,168.11,住家用,見其他登記事項,104年4月16日,三層,一層 二層 三層
RPQNMLPJNHLFFAG97CA,,275.43,住家用,鋼筋混凝土造,104年12月11日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLPJNHLFFAG68CA,21,52.21,見其他登記事項,鋼筋混凝土造,84年3月7日,九層,六層
RPXNMLPJNHLFFAG68CA,21,16.97,見其他登記事項,鋼筋混凝土造,84年3月7日,九層,
RPXNMLPJNHLFFAG68CA,21,3.41,見其他登記事項,鋼筋混凝土造,84年3月7日,九層,
RPUNMLTJNHLFFAG78CA,20,72.32,住家用,鋼筋混凝土造,85年10月3日,十二層,四層
RPUNMLTJNHLFFAG78CA,20,11.32,見其他登記事項,鋼筋混凝土造,85年10月3日,十二層,
RPUNMLTJNHLFFAG78CA,20,14.46,見其他登記事項,鋼筋混凝土造,85年10月3日,十二層,
RPUNMLQJNHLFFBG58CA,,194.19,見其他登記事項,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層 見其他登記事項
RPVNMLQJNHLFFBG68CA,,210.97,見其他登記事項,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層 見其他登記事項
RPQNMLTJNHLFFBG48CA,,203.97,見其他登記事項,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLTJNHLFFBG58CA,,193.61,住家用,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層
RPRNMLPJNHLFFBG18CA,,17.16,住商用,鋼筋混凝土加強磚造,,一層,一層
RPRNMLPJNHLFFBG18CA,,15.99,住商用,鋼筋混凝土加強磚造,,一層,一層 騎樓
RPVNMLTJNHLFFBG98CA,,211.38,見其他登記事項,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層 見其他登記事項
RPOPMLTJNHLFFBG48CA,,193.61,住家用,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層
RPRNMLKKNHLFFBG77CA,33,67.84,住家用,鋼筋混凝土造,72年8月8日,四層,二層
RPRNMLKKNHLFFBG77CA,33,4.95,共有部分,鋼筋混凝土造,72年8月8日,四層,
RPRNMLKKNHLFFBG77CA,33,5.16,共有部分,鋼筋混凝土造,72年8月8日,四層,
RPSNMLKKNHLFFBG87CA,38,81.00,住家用,鋼筋混凝土加強磚造,67年4月24日,二層,一層 二層
RPVNMLKKNHLFFBG18CA,,305.51,農舍,鋼筋混凝土造,105年1月18日,三層,一層 二層 三層
RPVNMLKKNHLFFBG18CA,2,27.68,見其他登記事項,鋼筋混凝土造,103年6月12日,一層,一層
RPXNMLKKNHLFFBG38CA,,230.49,見其他登記事項,鋼筋混凝土造,104年10月20日,三層,一層 二層 三層 屋頂突出物
