鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,房地(土地+建物),桃園市龜山區文興路31~60號,5.1,商,,,1050404,土地1建物1車位0,五層,九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940805,46.51,1,0,1,有,有,4750000,102129,,0.0,0,,RPWOMLNJNHLFFAH58CA
龜山區,土地,大同段481~510地號,151.0,住,,,1050414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7300000,48344,,0.0,0,,RPTPMLNJNHLFFAH38CA
龜山區,土地,大埔段31~60地號,84.36,其他,,,1050331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,37933,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQQMLNJNHLFFAH18CA
桃園區,房地(土地+建物)+車位,桃園市桃園區宏昌十街1~30號,21.63,住,,,1050320,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951011,185.28,3,2,2,有,有,10100000,54512,坡道平面,64.06,0,,RPSQMLNJNHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區敬三街1~30號,30.38,住,,,1050312,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970331,182.81,4,2,3,有,有,12240000,66955,坡道平面,28.05,0,,RPTQMLNJNHLFFAH48CA
桃園區,土地,中埔段661~690地號,106.5,住,,,1050406,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20800000,195305,,0.0,0,,RPPPMLOJNHLFFAH08CA
桃園區,房地(土地+建物),桃園市桃園區樹林八街1~30號,16.89,住,,,1050329,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,94.17,2,2,1,有,有,7030000,74652,,0.0,0,,RPOOMLTJNHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹林八街1~30號,19.36,住,,,1050330,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,156.83,2,2,1,有,有,8800000,56112,坡道平面,0.0,0,,RPPOMLTJNHLFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹林八街1~30號,19.36,住,,,1050406,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,156.83,2,2,1,有,有,9700000,61850,坡道平面,0.0,0,,RPROMLTJNHLFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹林八街1~30號,24.7,住,,,1050408,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,186.68,3,2,2,有,有,10850000,58121,坡道平面,0.0,0,,RPSOMLTJNHLFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹林八街1~30號,24.7,住,,,1050411,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,186.68,3,2,2,有,有,10760000,57639,坡道平面,0.0,0,,RPTOMLTJNHLFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區樹林八街1~30號,24.49,住,,,1050411,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,136.57,3,2,2,有,有,10000000,73223,,0.0,0,,RPUOMLTJNHLFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹林八街1~30號,24.7,住,,,1050330,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,186.68,3,2,2,有,有,11000000,58924,坡道平面,0.0,0,,RPVOMLTJNHLFFAH09CA
龜山區,土地,山德段511~540地號,80.85,其他,,,1050412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1906000,23575,,0.0,0,,RPUOMLPJNHLFFAH58CA
桃園區,房地(土地+建物),桃園市桃園區雙龍街10巷1~30號,54.04,住,,,1050321,土地1建物1車位0,一層,一層,其他,住家用,磚造,0640115,49.0,2,2,1,有,無,3550000,72449,,0.0,0,,RPPRMLPJNHLFFAH38CA
桃園區,房地(土地+建物),桃園市桃園區寶慶路301~330號,3.6,住,,,1050403,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840714,34.6,1,0,1,有,有,1810000,52312,,0.0,0,,RPURMLTJNHLFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區鎮二街1~30號,47.8,住,,,1050406,土地1建物2車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690724,177.92,3,2,2,有,無,9280000,52158,,0.0,0,,RPQNMLKKNHLFFAH67CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街61~90號,11.28,住,,,1050406,土地1建物2車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921121,137.7,3,2,2,有,有,8600000,62455,坡道平面,0.0,0,,RPWNMLKKNHLFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永順街99巷1~30號,16.88,住,,,1050418,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,167.24,2,2,1,有,有,12280000,91256,坡道平面,67.74,3200000,車位無法拆分個別價格。,RPWSMLKKNHLFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區民權路91~120號,57.75,商,,,1050418,土地3建物3車位0,一層，騎樓，地下層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0760715,204.6,7,5,3,有,無,6650000,32502,,0.0,0,共有人承買，購買三層,RPUNMLLKNHLFFAH18CA
桃園區,房地(土地+建物),桃園市桃園區大有路481~510號,8.93,住,,,1050407,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820811,76.73,2,2,1,有,有,4010000,52261,,0.0,0,,RPXNMLMKNHLFFAH58CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文化七路181巷17弄1~30號,45.82,住,,,1050406,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951129,158.87,2,1,2,有,有,12000000,75533,坡道平面,31.42,0,,RPSSMLMKNHLFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區向善街31~60號,17.86,住,,,1050313,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,137.2,3,2,2,有,有,6300000,45918,升降機械,0.0,0,,RPWPMLMKNHLFFAH68CA
龜山區,房地(土地+建物)+車位,桃園市龜山區龍新街91~120號,30.2,住,,,1050323,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040618,167.57,3,2,2,有,有,14380000,85815,坡道平面,28.9,0,,RPVRMLNKNHLFFAH88CA
龜山區,房地(土地+建物)+車位,桃園市龜山區龍新街61~90號,38.19,住,,,1050414,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040618,206.07,3,2,2,有,有,17500000,84923,坡道平面,28.9,0,,RPXRMLNKNHLFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區興一街91~120號,31.28,住,,,1050420,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820908,174.26999999999998,4,2,2,有,有,7080000,40627,坡道平面,0.0,0,,RPOPMLQKNHLFFAH28CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文青二路1~30號,23.83,住,,,1020723,土地1建物1車位1,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,198.29000000000002,3,1,2,有,有,8150000,44595,坡道平面,36.39,930000,,RPXVMLRKNHLFFAH27CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文青二路1~30號,16.93,住,,,1020907,土地1建物1車位1,十九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,150.81,4,1,2,有,有,6000000,44835,坡道平面,36.39,870000,,RPOWMLRKNHLFFAH09CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路181~210號,23.83,住,,,1020805,土地1建物1車位1,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,193.41000000000003,4,1,2,有,有,7890000,43422,坡道平面,31.51,860000,,RPQRNLRKNHLFFAH88CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路181~210號,16.93,住,,,1020908,土地1建物1車位1,十三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,145.93,2,1,1,有,有,5890000,44573,坡道平面,31.51,790000,,RPRRNLRKNHLFFAH98CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路181~210號,16.93,住,,,1020902,土地1建物1車位1,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,150.81,2,1,1,有,有,6140000,45534,坡道平面,36.39,930000,,RPSRNLRKNHLFFAH09CA
