鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
平鎮區,房地(土地+建物),平鎮段961~990地號,9.76,商,,,1040413,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.54,2,2,1,有,無,6054000,64721,,0.0,0,,RPWNMLMJNHLFFGH09CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040412,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9415000,65287,坡道平面,31.4,1179000,,RPXNMLMJNHLFFGH56CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040413,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7330000,65289,坡道平面,31.4,1232000,,RPOOMLMJNHLFFGH38CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040416,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9468000,65287,坡道平面,31.4,1232000,,RPPOMLMJNHLFFGH48CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040418,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9442000,64732,坡道平面,31.4,1276000,,RPQOMLMJNHLFFGH58CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1050224,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7224000,64722,坡道平面,31.4,1179000,,RPROMLMJNHLFFGH68CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.75,商,,,1041127,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.4,2,2,1,有,無,6045000,64722,,0.0,0,,RPSOMLMJNHLFFGH78CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040506,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9442000,59930,坡道平面,31.4,0,,RPTOMLMJNHLFFGH88CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.04,商,,,1040416,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.94,2,2,1,有,無,7286000,64721,坡道平面,31.4,1232000,,RPUOMLMJNHLFFGH98CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.75,商,,,1040411,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.4,2,2,1,有,無,6045000,64722,,0.0,0,,RPVOMLMJNHLFFGH09CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040410,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7224000,64722,坡道平面,31.4,1179000,,RPWOMLMJNHLFFGH56CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.04,商,,,1040419,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.94,2,2,1,有,無,7286000,64721,坡道平面,31.4,1232000,,RPXOMLMJNHLFFGH66CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040411,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9442000,64732,坡道平面,31.4,1276000,,RPOPMLMJNHLFFGH48CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040413,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7224000,64722,坡道平面,31.4,1179000,,RPPPMLMJNHLFFGH58CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1050309,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7277000,64722,坡道平面,31.4,1232000,,RPRPMLMJNHLFFGH78CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1050309,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7277000,64722,坡道平面,31.4,1232000,,RPSPMLMJNHLFFGH88CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,12.77,商,,,1040418,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,122.3,2,2,1,有,無,7241000,64722,坡道平面,28.9,1196000,,RPTPMLMJNHLFFGH98CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.75,商,,,1040503,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.4,2,2,1,有,無,6045000,64722,,0.0,0,,RPUPMLMJNHLFFGH09CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.85,商,,,1040410,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.47,2,2,1,有,無,6116000,64740,,0.0,0,,RPVPMLMJNHLFFGH56CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,14.3,商,,,1040412,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,137.03,2,2,1,有,無,8016000,64726,坡道平面,31.4,1179000,,RPWPMLMJNHLFFGH66CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,14.3,商,,,1040420,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,137.03,2,2,1,有,無,8113000,64726,坡道平面,31.4,1276000,,RPXPMLMJNHLFFGH76CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.14,商,,,1040417,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,125.87,2,2,1,有,無,7295000,64740,坡道平面,31.4,1179000,,RPOQMLMJNHLFFGH58CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,15.77,商,,,1040420,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,151.07,3,2,2,有,無,8923000,64711,坡道平面,31.4,1179000,,RPORMLMJNHLFFGH68CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,15.77,商,,,1040413,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,151.07,3,2,2,有,無,8976000,64711,坡道平面,31.4,1232000,,RPPRMLMJNHLFFGH78CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.76,商,,,1040410,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.54,2,2,1,有,無,6054000,64721,,0.0,0,,RPRRMLMJNHLFFGH98CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040410,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9398000,64732,坡道平面,31.4,1232000,,RPSRMLMJNHLFFGH09CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040411,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7277000,64722,坡道平面,31.4,1232000,,RPURMLMJNHLFFGH66CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.75,商,,,1040410,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,93.4,2,2,1,有,無,6045000,64722,,0.0,0,,RPVRMLMJNHLFFGH76CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040420,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9345000,64732,坡道平面,31.4,1179000,,RPXRMLMJNHLFFGH96CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.04,商,,,1040417,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.94,2,2,1,有,無,7286000,64721,坡道平面,31.4,1232000,,RPOSMLMJNHLFFGH78CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,12.77,商,,,1040413,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,122.3,2,2,1,有,無,7145000,64722,坡道平面,28.9,1100000,,RPQSMLMJNHLFFGH98CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040410,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7224000,64722,坡道平面,31.4,1179000,,RPRSMLMJNHLFFGH09CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.04,商,,,1040417,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.94,2,2,1,有,無,7330000,64721,坡道平面,31.4,1276000,,RPTSMLMJNHLFFGH66CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040411,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9398000,64732,坡道平面,31.4,1232000,,RPUSMLMJNHLFFGH76CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040418,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7277000,64722,坡道平面,31.4,1232000,,RPWSMLMJNHLFFGH96CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040413,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7224000,64722,坡道平面,31.4,1179000,,RPXSMLMJNHLFFGH07CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.44,商,,,1040419,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,157.55,3,2,2,有,無,9345000,64732,坡道平面,31.4,1179000,,RPOTMLMJNHLFFGH88CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,12.78,商,,,1040411,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,122.44,2,2,1,有,無,7250000,64721,坡道平面,28.9,1196000,,RPQTMLMJNHLFFGH09CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040411,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7277000,64722,坡道平面,31.4,1232000,,RPRTMLMJNHLFFGH56CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,13.03,商,,,1040426,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,124.8,2,2,1,有,無,7277000,64722,坡道平面,31.4,1232000,,RPTTMLMJNHLFFGH76CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.85,商,,,1040411,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.47,2,2,1,有,無,6116000,64740,,0.0,0,,RPUTMLMJNHLFFGH86CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,14.3,商,,,1040409,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,137.03,2,2,1,有,無,8069000,58885,坡道平面,31.4,0,,RPWTMLMJNHLFFGH07CB
平鎮區,房地(土地+建物),平鎮段961~990地號,11.02,商,,,1040410,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,105.63,2,2,1,有,無,6837000,64726,,0.0,0,,RPXTMLMJNHLFFGH17CB
平鎮區,房地(土地+建物),平鎮段961~990地號,9.85,商,,,1040411,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,94.47,2,2,1,有,無,6116000,64740,,0.0,0,,RPPUMLMJNHLFFGH09CB
平鎮區,房地(土地+建物)+車位,平鎮段961~990地號,16.07,商,,,1040411,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,153.87,3,2,2,有,無,9046000,64711,坡道平面,34.2,1302000,,RPQUMLMJNHLFFGH56CB
