編號,車位類別,車位價格,車位面積平方公尺
RPTNOLMJNHLFFAH48CC,坡道平面,0,
RPTNMLNJNHLFFFH09EC,坡道平面,0,29.67
RPXNMLOJNHLFFFH76CC,坡道平面,0,29.67
RPTNMLOJNHLFFDH78CC,坡道平面,0,34.25
RPUNMLOJNHLFFDH88CC,坡道平面,0,37.71
RPVNMLOJNHLFFDH98CC,坡道平面,0,34.25
RPRPMLOJNHLFFBH58CC,坡道平面,0,19.86
RPUPMLOJNHLFFBH88CC,坡道平面,0,33.21
RPUPMLOJNHLFFBH88CC,坡道平面,0,35.26
RPVPMLOJNHLFFBH98CC,坡道平面,0,40.11
RPVPMLOJNHLFFBH98CC,坡道平面,0,40.11
RPRNMLPJNHLFFFH98DC,坡道平面,0,
RPSNMLPJNHLFFFH09DC,坡道平面,0,
RPQNMLQJNHLFFFH98DC,坡道平面,0,
RPRNMLQJNHLFFFH09DC,坡道平面,0,
RPSNMLQJNHLFFFH56DC,坡道平面,0,25.89
RPPPMLTJNHLFFBH88CC,坡道平面,0,
RPSPMLTJNHLFFBH56CC,坡道平面,0,28.51
RPPQMLTJNHLFFAH88CC,坡道平面,2500,10.00
RPXNMLKKNHLFFGH56CC,坡道平面,0,41.85
RPORMLKKNHLFFAH08CC,坡道平面,0,
RPUNMLLKNHLFFEH78CC,坡道平面,0,
RPVNMLLKNHLFFEH88CC,坡道平面,0,
RPWNMLLKNHLFFEH98CC,坡道平面,0,
RPXNMLLKNHLFFEH09CC,坡道平面,0,
RPPOMLLKNHLFFEH38CC,坡道平面,0,
RPQOMLLKNHLFFEH48CC,坡道平面,0,
RPTQMLLKNHLFFAH58CC,坡道平面,0,
RPUNMLLKNHLFFFH98DC,坡道平面,0,
RPSOMLMKNHLFFFH88CC,坡道平面,0,37.11
RPPQMLMKNHLFFAH28CC,坡道平面,0,
RPWNMLMKNHLFFEH09CC,一樓平面,0,
RPVOMLNKNHLFFAH78CC,坡道平面,0,52.28
RPVTMLNKNHLFFAH66CC,坡道平面,0,
RPWOMLNKNHLFFFH76CC,坡道平面,0,31.73
RPOOMLNKNHLFFGH68CC,坡道平面,0,38.69
RPROMLNKNHLFFGH98CC,坡道平面,0,41.85
