編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLNKNHLFFBK58CA,22,102.12,住家用,鋼筋混凝土造,83年6月1日,十層,二層
RPSNMLNKNHLFFBK58CA,22,12.99,見其他登記事項,鋼筋混凝土造,83年6月1日,,
RPSNMLNKNHLFFBK58CA,22,22.69,見其他登記事項,鋼筋混凝土造,83年6月1日,,
RPSNMLNKNHLFFBK58CA,22,11.80,見其他登記事項,鋼筋混凝土造,83年6月1日,,地下二層
RPUOMLNKNHLFFBK88CA,24,47.88,住家用,鋼筋混凝土造,81年9月29日,,五層
RPUOMLNKNHLFFBK88CA,24,29.40,見其他登記事項,鋼筋混凝土造,81年9月29日,,
RPPNMLLJOHLFFBK08CA,28,244.13,住家用,鋼筋混凝土造,77年3月3日,,一層 二層 三層 騎樓 地下層
RPWNMLMJNHLFFDK98CA,20,226.57,住家用,鋼筋混凝土造,85年9月23日,四層,一層 二層 三層 四層 騎樓
RPPOMLMKNHLFFDK48CA,,85.22,見其他登記事項,鋼筋混凝土造,104年11月16日,十層,十層
RPPOMLMKNHLFFDK48CA,,55.16,共有部分,鋼筋混凝土造,104年11月16日,十層,
RPQOMLMKNHLFFDK58CA,,94.93,見其他登記事項,鋼筋混凝土造,104年11月16日,十層,五層
RPQOMLMKNHLFFDK58CA,,58.10,共有部分,鋼筋混凝土造,104年11月16日,十層,
RPPNMLQJNHLFFEK78CA,9,148.46,住家用,鋼筋混凝土造,96年7月30日,三層,一層 二層 三層
RPTNMLLJOHLFFDK68CA,21,75.65,住家用,鋼筋混凝土造,84年8月26日,七層,一層
RPTNMLLJOHLFFDK68CA,21,26.53,見其他登記事項,鋼筋混凝土造,84年8月26日,七層,
RPTNMLLJOHLFFDK68CA,21,16.34,見其他登記事項,鋼筋混凝土造,84年8月26日,七層,
RPQNMLNJNHLFFEK68DA,38,215.93,住商用,加強磚造,67年1月30日,三層,一層 二層 三層 騎樓
RPRNMLQJNHLFFFK09CA,23,113.88,住家用,鋼筋混凝土造,82年3月22日,六層,四層
RPSNMLQJNHLFFFK56CA,46,65.18,住家用,鋼筋混凝土加強磚造,59年9月3日,二層,一層 二層
RPUNMLOJNHLFFFK56CA,1,118.54,見其他登記事項,鋼筋混凝土造,103年10月6日,十二層,二層
RPUNMLOJNHLFFFK56CA,1,17.39,見其他登記事項,鋼筋混凝土造,103年10月6日,十二層,
RPUNMLOJNHLFFFK56CA,1,89.70,見其他登記事項,鋼筋混凝土造,103年10月6日,十二層,
RPVNMLOJNHLFFFK66CA,,348.02,住家用,鋼筋混凝土造,104年11月13日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLRKNHLFFCK98CA,,143.99,住家用,鋼筋混凝土造,,二層,一層 二層 騎樓
RPPNMLKMNHLFFBK18CA,,92.09,住家用,鋼筋混凝土造,,,五層
RPPNMLKMNHLFFBK18CA,,6.72,住家用,鋼筋混凝土造,,,
RPSNMLKMNHLFFBK48CA,9,28.43,住家用,鋼筋混凝土造,96年7月16日,十層,十層
RPSNMLKMNHLFFBK48CA,9,13.55,共有部分,鋼筋混凝土造,96年7月16日,十層,
RPTOMLNKNHLFFBK78CA,25,117.05,住家用,鋼筋混凝土造,80年9月10日,,四層
RPTOMLNKNHLFFBK78CA,25,1.73,見其他登記事項,鋼筋混凝土造,80年9月10日,,
RPPNMLQJNHLFFBK48CA,23,82.87,住家用,鋼筋混凝土造,82年7月1日,十二層,十二層
RPPNMLQJNHLFFBK48CA,23,12.76,見其他登記事項,鋼筋混凝土造,82年7月1日,,
RPPNMLQJNHLFFBK48CA,23,9.88,見其他登記事項,鋼筋混凝土造,82年7月1日,,
RPQNMLQJNHLFFBK58CA,21,172.24,見其他登記事項,鋼筋混凝土造,83年11月22日,三層,一層 二層 三層 屋頂突出物 地下層
RPTNMLOLNHLFFBK88CA,22,180.40,住家用,鋼筋混凝土造,83年5月6日,五層,一層 二層 三層
RPTNMLOLNHLFFBK88CA,22,31.96,見其他登記事項,鋼筋混凝土造,83年5月6日,,
