編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJNHLFFAN88CA,38,79.76,住家用,鋼筋混凝土造,67年9月29日,三層,三層
RPOOMLOJNHLFFAN48CA,48,88.00,住家用,鋼筋混凝土加強磚造,57年7月26日,二層,一層 二層
RPVNMLRLNHLFFBN07CA,35,131.31,住商用,加強磚造,70年1月29日,二層,一層 二層 騎樓
RPOPMLTJNHLFFCN66CA,,160.11,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 見其他登記事項
RPPPMLTJNHLFFCN76CA,,155.92,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 見其他登記事項
RPQPMLTJNHLFFCN86CA,,155.92,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 見其他登記事項
RPRPMLTJNHLFFCN96CA,,410.41,見其他登記事項,鋼筋混凝土造,104年11月30日,四層,一層 二層 三層 四層 見其他登記事項
RPSPMLTJNHLFFCN07CA,,155.92,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 見其他登記事項
RPTPMLTJNHLFFCN17CA,,155.92,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 見其他登記事項
RPSNMLNJNHLFFDN98CA,24,34.48,住家用,鋼筋混凝土造,81年1月6日,六層,五層
RPSNMLNJNHLFFDN98CA,24,5.60,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPSNMLNJNHLFFDN98CA,24,1.17,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPSNMLNJNHLFFDN98CA,24,8.36,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPWNMLLKNHLFFDN66CA,1,216.79,見其他登記事項,鋼筋混凝土造,104年7月17日,四層,一層 二層 三層 四層
RPVNMLOJNHLFFFN96CA,33,109.28,住家用,加強磚造,72年8月8日,二層,一層 二層
RPTNMLKKNHLFFAN68DA,35,102.00,住家用,加強磚造,69年10月24日,二層,一層 二層
RPSNMLNJNHLFFHN86DA,1,162.91,見其他登記事項,鋼筋混凝土造,104年9月9日,三層,一層 二層 三層 屋頂突出物
RPOOMLNLNHLFFAN68DA,15,118.01,見其他登記事項,鋼筋混凝土造,90年1月30日,四層,一層 二層 三層 四層
RPSNMLNJNHLFFAN78DA,1,177.95,見其他登記事項,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層
RPUNMLQJNHLFFFN07CA,21,192.67,住家用,鋼筋混凝土造,84年6月7日,四層,一層 二層 三層 四層
RPQNMLPJNHLFFFN56CA,23,84.50,農舍,鋼筋混凝土造,81年10月16日,二層,一層 二層
RPQOMLKLOHLFFCN78CA,18,169.18,住家用,鋼筋混凝土造,87年3月11日,四層,一層 二層 三層 四層 騎樓
RPRNMLTJNHLFFDN86CA,40,109.14,住家用,鋼筋混凝土加強磚造,64年9月20日,二層,一層 二層
RPPNMLKMNHLFFBN48CA,5,257.40,住家用,鋼筋混凝土造,100年3月17日,四層,一層 二層 三層 四層
RPWNMLPJNHLFFCN86CA,35,120.16,住商用,鋼筋混凝土加強磚造,70年5月12日,二層,一層 二層 騎樓
RPUNMLPJNHLFFBN56CA,42,92.00,住家用,加強磚造,63年6月21日,二層,一層 二層 騎樓
RPSOMLNLNHLFFAN98CA,32,57.52,住家用,加強磚造,72年11月10日,一層,一層
RPPNMLOLNHLFFAN68CA,1,169.37,見其他登記事項,鋼筋混凝土造,104年7月22日,四層,一層 二層 三層 四層
RPPOMLOJNHLFFAN58CA,2,236.90,見其他登記事項,鋼筋混凝土造,102年12月30日,四層,一層 二層 三層 四層 騎樓
RPQOMLOJNHLFFAN68CA,25,6.17,見其他登記事項,鋼筋混凝土造,79年11月13日,七層,
RPQOMLOJNHLFFAN68CA,25,76.59,住家用,鋼筋混凝土造,79年11月13日,七層,二層
RPQOMLOJNHLFFAN68CA,25,22.01,見其他登記事項,鋼筋混凝土造,79年11月13日,七層,
RPQOMLOJNHLFFAN68CA,25,2.28,見其他登記事項,鋼筋混凝土造,79年11月13日,七層,
RPXNMLPJNHLFFAN76CA,36,107.12,住商用,鋼筋混凝土造,69年2月7日,三層,一層 二層 三層
RPWNMLQJNHLFFAN76CA,22,149.34,住家用,鋼筋混凝土造,83年2月17日,三層,一層 二層 三層
RPUNMLTJNHLFFAN86CA,2,250.87,見其他登記事項,鋼筋混凝土造,103年10月21日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPPNMLQKNHLFFAN78CA,23,120.19,住家用,鋼筋混凝土造,82年8月13日,十二層,十二層
RPPNMLQKNHLFFAN78CA,23,25.07,見其他登記事項,鋼筋混凝土造,82年8月13日,十二層,
RPTNMLTJNHLFFAN76CA,1,222.38,見其他登記事項,鋼筋混凝土造,103年10月21日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPQNMLQJNHLFFAN78CA,30,86.92,住家用,鋼筋混凝土加強磚造,74年10月12日,二層,一層 二層
RPQNMLPJNHLFFAN68CA,34,122.26,住家用,加強磚造,70年12月31日,二層,一層 二層 騎樓
RPTNMLPJNHLFFBN09CA,21,69.10,住家用,鋼筋混凝土造,84年8月23日,五層,四層
RPTNMLPJNHLFFBN09CA,21,20.64,見其他登記事項,鋼筋混凝土造,84年8月23日,五層,
RPPNMLOLNHLFFBN78CA,38,106.43,住商用,鋼筋混凝土加強磚造,66年8月25日,二層,一層 二層 騎樓
RPTNMLQJNHLFFCN66CA,36,101.22,住家用,鋼筋混凝土加強磚造,69年4月15日,二層,一層 二層
RPRNMLPJNHLFFDN09CA,,314.30,見其他登記事項,鋼筋混凝土造,104年11月30日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLQKNHLFFCN07CA,9,504.01,農舍,鋼筋混凝土造,96年4月26日,三層,一層 二層 三層 見其他登記事項
RPQNMLLKNHLFFDN68CA,21,72.20,住家用,鋼筋混凝土造,84年3月6日,七層,五層
RPQNMLLKNHLFFDN68CA,21,19.50,見其他登記事項,鋼筋混凝土造,84年3月6日,七層,
RPQNMLLKNHLFFDN68CA,21,17.93,見其他登記事項,鋼筋混凝土造,84年3月6日,七層,
RPQNMLLKNHLFFDN68CA,21,54.71,住家用,鋼筋混凝土造,84年3月6日,七層,五層
RPRNMLMJOHLFFDN88CA,,165.94,見其他登記事項,鋼筋混凝土造,104年10月14日,三層,一層 二層 三層 陽台
RPPNMLMJOHLFFDN68CA,,165.94,見其他登記事項,鋼筋混凝土造,104年10月14日,三層,一層 二層 三層 屋頂突出物
RPRNMLOJNHLFFHN76CA,,171.31,住家用,鋼筋混凝土造,105年3月7日,三層,一層 二層 三層 屋頂突出物
RPRNMLRKNHLFFHN27DA,39,112.52,住家用,鋼筋混凝土加強磚造,65年12月3日,二層,一層 二層
RPWNMLPJNHLFFGN37DA,35,100.04,住商用,見其他登記事項,70年6月25日,二層,一層 二層 騎樓
SPWNMLPJNHLFFGN47DA,35,100.04,住商用,見其他登記事項,70年6月25日,二層,一層 二層 騎樓
RPTNMLQJNHLFFFN07DA,3,116.56,住宅,鋼筋混凝土造,101年11月28日,四層,一層 二層 三層 四層 騎樓
RPVNMLQJNHLFFDN07DA,21,164.97,住家用,鋼筋混凝土造,84年6月16日,四層,一層 二層 三層 四層
RPUNMLQJNHLFFAN66DA,20,68.02,見其他登記事項,鋼筋混凝土造,85年7月29日,一層,地下一層
RPUNMLQJNHLFFAN66DA,20,6.86,見其他登記事項,鋼筋混凝土造,85年7月29日,十四層,
