編號,車位類別,車位價格,車位面積平方公尺
RPQOMLOJNHLFFAN68CA,坡道平面,0,
RPPNMLQKNHLFFAN78CA,坡道機械,0,
RPUNMLQJNHLFFAN66DA,坡道平面,0,
RPUNMLQJNHLFFAN66DA,坡道平面,0,
RPRNMLOLNHLFFAN88CA,坡道平面,0,42.08
RPQNMLKLNHLFFAN38CA,坡道平面,970000,
RPRNMLQKNHLFFAN98CA,坡道平面,0,
RPVNMLNKNHLFFAN09CA,坡道機械,0,
RPSNMLPLNHLFFDN76CA,升降機械,0,
RPOOMLTKNHLFFDN76CA,坡道機械,0,
RPOOMLRKNHLFFAN88CA,坡道平面,0,45.05
RPSNMLNKNHLFFAN88DA,坡道平面,0,
RPPNMLSLNHLFFDN76CA,坡道平面,0,
RPSOMLQKNHLFFAN56CA,坡道平面,0,
RPXNMLRKNHLFFAN07CA,坡道平面,0,
RPSNMLSKNHLFFAN66CA,坡道機械,0,
RPSNMLSKNHLFFAN66CA,坡道機械,0,
RPSNMLKLNHLFFBN68CA,坡道平面,0,29.69
RPQNMLRKNHLFFCN56CA,一樓平面,0,
