編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQPMLNJNHLFFAO78CA,2,11.38,共有部分,鋼筋混凝土造,103年2月27日,五層,
RPQPMLNJNHLFFAO78CA,2,79.78,見其他登記事項,鋼筋混凝土造,103年2月27日,五層,一層 騎樓
RPQPMLNJNHLFFAO78CA,2,6.45,共有部分,鋼筋混凝土造,103年2月27日,五層,
RPSPMLNJNHLFFAO98CA,1,44.44,見其他登記事項,鋼筋混凝土造,104年5月29日,七層,二層
RPSPMLNJNHLFFAO98CA,1,8.58,共有部分,鋼筋混凝土造,104年5月29日,七層,
RPSPMLNJNHLFFAO98CA,1,11.13,共有部分,鋼筋混凝土造,104年5月29日,七層,
RPWPMLNJNHLFFAO76CA,2,146.10,見其他登記事項,鋼筋混凝土造,103年5月10日,十五層,十層
RPWPMLNJNHLFFAO76CA,2,36.16,共有部分,鋼筋混凝土造,103年5月10日,十五層,
RPWPMLNJNHLFFAO76CA,2,98.63,共有部分,鋼筋混凝土造,103年5月10日,十五層,
RPXPMLNJNHLFFAO86CA,1,107.95,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,二十四層
RPXPMLNJNHLFFAO86CA,1,24.40,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXPMLNJNHLFFAO86CA,1,27.45,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXPMLNJNHLFFAO86CA,1,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXPMLNJNHLFFAO86CA,1,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPXPMLNJNHLFFAO86CA,1,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPXPMLNJNHLFFAO86CA,1,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPOQMLNJNHLFFAO68CA,2,103.36,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,十六層
RPOQMLNJNHLFFAO68CA,2,23.18,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPOQMLNJNHLFFAO68CA,2,26.14,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPOQMLNJNHLFFAO68CA,2,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPOQMLNJNHLFFAO68CA,2,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPOQMLNJNHLFFAO68CA,2,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPOQMLNJNHLFFAO68CA,2,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPPNMLOJNHLFFAO58CA,11,40941.20,見其他登記事項,鋼筋混凝土造,94年6月10日,五層,一層 二層 三層 四層 五層 地下一層 地下二層
RPXNMLOJNHLFFAO76CA,11,71.42,住家用,鋼筋混凝土造,94年5月15日,十層,八層
RPXNMLOJNHLFFAO76CA,11,9.65,見其他登記事項,鋼筋混凝土造,94年5月15日,十層,
RPXNMLOJNHLFFAO76CA,11,3.02,見其他登記事項,鋼筋混凝土造,94年5月15日,十層,
RPXNMLOJNHLFFAO76CA,11,35.20,見其他登記事項,鋼筋混凝土造,94年5月15日,十層,
RPPOMLQKNHLFFAO98CA,2,225.26,見其他登記事項,鋼筋混凝土造,103年9月4日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPXNMLSKNHLFFAO27CA,,255.69,住商用,鋼筋混凝土造,,八層,一層 騎樓 夾層 地下層
RPXNMLSKNHLFFAO27CA,,11.76,共有部分,鋼筋混凝土造,,八層,
RPXNMLSKNHLFFAO27CA,,20.50,商業用,鋼筋混凝土造,,八層,地下一層
RPXNMLSKNHLFFAO27CA,,265.03,共有部分,鋼筋混凝土造,,八層,
RPUOMLKLNHLFFAO98CA,,81.16,見其他登記事項,鋼筋混凝土造,104年9月27日,十四層,六層
RPUOMLKLNHLFFAO98CA,,20.48,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPUOMLKLNHLFFAO98CA,,13.26,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPWOMLKLNHLFFAO56CA,,81.16,見其他登記事項,鋼筋混凝土造,104年9月27日,十四層,十一層
RPWOMLKLNHLFFAO56CA,,20.48,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPWOMLKLNHLFFAO56CA,,13.27,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPQQMLKLNHLFFAO78CA,1,81.16,見其他登記事項,鋼筋混凝土造,104年9月27日,十四層,八層
RPQQMLKLNHLFFAO78CA,1,52.00,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPQQMLKLNHLFFAO78CA,1,13.26,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPRQMLKLNHLFFAO88CA,1,81.16,見其他登記事項,鋼筋混凝土造,104年9月27日,十四層,十四層
RPRQMLKLNHLFFAO88CA,1,13.27,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPRQMLKLNHLFFAO88CA,1,52.00,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPSQMLKLNHLFFAO98CA,1,81.16,見其他登記事項,鋼筋混凝土造,104年9月27日,十四層,七層
RPSQMLKLNHLFFAO98CA,1,52.00,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPSQMLKLNHLFFAO98CA,1,13.26,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPTQMLKLNHLFFAO09CA,1,81.16,見其他登記事項,鋼筋混凝土造,104年9月27日,十四層,十三層
RPTQMLKLNHLFFAO09CA,1,13.27,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPTQMLKLNHLFFAO09CA,1,52.00,共有部分,鋼筋混凝土造,104年9月27日,十四層,
RPPNMLPLNHLFFAO88CA,,311.58,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,二十三層
RPPNMLPLNHLFFAO88CA,,56.26,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPNMLPLNHLFFAO88CA,,93.62,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPNMLPLNHLFFAO88CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPPNMLPLNHLFFAO88CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPORMLQLNHLFFAO66CA,,83.72,住家用,加強磚造,,二層,一層 二層
RPPQMLNLNHLFFAO98CA,1,225.21,見其他登記事項,鋼筋混凝土造,103年12月25日,三層,一層 二層 三層 地下一層 見其他登記事項
RPPQMLNLNHLFFAO98CA,1,.14,共有部分,鋼筋混凝土造,103年12月25日,一層,
RPQQMLNLNHLFFAO09CA,1,87.78,見其他登記事項,鋼筋混凝土造,103年12月15日,十二層,十一層
RPQQMLNLNHLFFAO09CA,1,50.84,共有部分,鋼筋混凝土造,103年12月15日,十二層,
RPQQMLNLNHLFFAO09CA,1,21.12,共有部分,鋼筋混凝土造,103年12月15日,十二層,
RPPNMLOLNHLFFAO78CA,,145.09,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十五層
RPPNMLOLNHLFFAO78CA,,26.24,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPNMLOLNHLFFAO78CA,,43.57,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPNMLOLNHLFFAO78CA,,.08,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPPNMLOLNHLFFAO78CA,,116.16,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQNMLOLNHLFFAO88CA,,98.05,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十五層
RPQNMLOLNHLFFAO88CA,,17.42,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQNMLOLNHLFFAO88CA,,29.74,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQNMLOLNHLFFAO88CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPQNMLOLNHLFFAO88CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPRNMLOLNHLFFAO98CA,,162.61,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十七層
RPRNMLOLNHLFFAO98CA,,29.45,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPRNMLOLNHLFFAO98CA,,48.80,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPRNMLOLNHLFFAO98CA,,.06,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPRNMLOLNHLFFAO98CA,,87.12,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPSNMLOLNHLFFAO09CA,,114.72,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十七層
RPSNMLOLNHLFFAO09CA,,20.64,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPSNMLOLNHLFFAO09CA,,34.56,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPSNMLOLNHLFFAO09CA,,.02,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPSNMLOLNHLFFAO09CA,,29.04,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPTNMLOLNHLFFAO56CA,,162.61,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十八層
RPTNMLOLNHLFFAO56CA,,29.45,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPTNMLOLNHLFFAO56CA,,48.80,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPTNMLOLNHLFFAO56CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPTNMLOLNHLFFAO56CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPNMLMLNHLFFAO58CA,21,93.35,住家用,鋼筋混凝土造,83年12月16日,六層,四層
RPPNMLMLNHLFFAO58CA,21,9.08,共有部分,鋼筋混凝土造,83年12月16日,六層,
RPPNMLMLNHLFFAO58CA,21,26.70,見使用執照,鋼筋混凝土造,83年12月16日,一層,
RPPNMLNLNHLFFAO68CA,44,120.60,住家用,加強磚造,60年12月27日,二層,一層 二層
RPUNMLNLNHLFFAO56CA,,114.72,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,五層
RPUNMLNLNHLFFAO56CA,,20.64,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPUNMLNLNHLFFAO56CA,,34.56,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPUNMLNLNHLFFAO56CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPUNMLNLNHLFFAO56CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPVNMLNLNHLFFAO66CA,,114.07,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,七層
RPVNMLNLNHLFFAO66CA,,20.54,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPVNMLNLNHLFFAO66CA,,34.35,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPVNMLNLNHLFFAO66CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPVNMLNLNHLFFAO66CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPWNMLNLNHLFFAO76CA,,114.07,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,八層
RPWNMLNLNHLFFAO76CA,,20.54,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPWNMLNLNHLFFAO76CA,,34.35,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPWNMLNLNHLFFAO76CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPWNMLNLNHLFFAO76CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPXNMLNLNHLFFAO86CA,,162.61,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,九層
RPXNMLNLNHLFFAO86CA,,29.45,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPXNMLNLNHLFFAO86CA,,48.80,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPXNMLNLNHLFFAO86CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPXNMLNLNHLFFAO86CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPOOMLNLNHLFFAO68CA,,162.61,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十層
RPOOMLNLNHLFFAO68CA,,29.45,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPOOMLNLNHLFFAO68CA,,48.80,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPOOMLNLNHLFFAO68CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPOOMLNLNHLFFAO68CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPOMLNLNHLFFAO78CA,,165.37,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十層
RPPOMLNLNHLFFAO78CA,,29.92,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPOMLNLNHLFFAO78CA,,49.64,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPOMLNLNHLFFAO78CA,,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPPOMLNLNHLFFAO78CA,,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQOMLNLNHLFFAO88CA,,144.02,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十一層
RPQOMLNLNHLFFAO88CA,,25.93,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQOMLNLNHLFFAO88CA,,43.36,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPQOMLNLNHLFFAO88CA,,.02,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPQOMLNLNHLFFAO88CA,,29.04,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPROMLNLNHLFFAO98CA,,98.05,見其他登記事項,鋼筋混凝土造,104年10月30日,二十四層,十二層
RPROMLNLNHLFFAO98CA,,17.42,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPROMLNLNHLFFAO98CA,,29.74,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPROMLNLNHLFFAO98CA,,.02,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPROMLNLNHLFFAO98CA,,29.04,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPUPMLSKNHLFFAO17CA,18,1.71,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層 地下一層 地下二層 地下三層
RPUPMLSKNHLFFAO17CA,18,31.37,共有部分,鋼筋混凝土造,87年6月23日,二十二層,
RPUPMLSKNHLFFAO17CA,18,102.47,住家用,鋼筋混凝土造,87年6月23日,二十一層,五層
RPUPMLSKNHLFFAO17CA,18,39.38,停車空間,鋼筋混凝土造,87年6月23日,二十二層,
RPUPMLSKNHLFFAO17CA,18,.35,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層
RPOPMLRKNHLFFAO09CA,7,26.52,辦公室,鋼筋混凝土造,97年12月30日,十層,五層
RPOPMLRKNHLFFAO09CA,7,17.30,見其他登記事項,鋼筋混凝土造,97年12月30日,十層,
RPOPMLRKNHLFFAO09CA,7,4.22,見其他登記事項,鋼筋混凝土造,97年12月30日,十層,
RPWNMLQKNHLFFAO96CA,19,83.65,住家用,鋼筋混凝土造,86年1月21日,六層,五層
RPWNMLQKNHLFFAO96CA,19,28.18,見其他登記事項,鋼筋混凝土造,86年1月21日,六層,
RPOOMLOJNHLFFAO58CA,18,155.58,見其他登記事項,鋼筋混凝土造,86年10月12日,四層,一層 二層 三層 四層
RPSPMLOJNHLFFAO09CA,,59.26,見其他登記事項,鋼筋混凝土造,104年11月5日,七層,二層
RPSPMLOJNHLFFAO09CA,,23.75,共有部分,鋼筋混凝土造,104年11月5日,七層,
RPSPMLOJNHLFFAO09CA,,15.64,共有部分,鋼筋混凝土造,104年11月5日,七層,
RPSOMLPJNHLFFAO09CA,1,103.83,見其他登記事項,鋼筋混凝土造,103年11月17日,二十五層,二十層
RPSOMLPJNHLFFAO09CA,1,.03,見其他登記事項,鋼筋混凝土造,103年11月17日,二十五層,一層
RPSOMLPJNHLFFAO09CA,1,.01,共有部分,鋼筋混凝土造,103年11月17日,二十五層,
RPSOMLPJNHLFFAO09CA,1,18.45,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPSOMLPJNHLFFAO09CA,1,22.38,共有部分,鋼筋混凝土造,103年11月17日,二十五層,
RPSOMLPJNHLFFAO09CA,1,29.90,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPVOMLPJNHLFFAO76CA,,106.98,見其他登記事項,鋼筋混凝土造,105年1月20日,九層,四層
RPVOMLPJNHLFFAO76CA,,53.43,共有部分,鋼筋混凝土造,105年1月20日,九層,
RPWOMLPJNHLFFAO86CA,,106.98,見其他登記事項,鋼筋混凝土造,105年1月20日,九層,七層
RPWOMLPJNHLFFAO86CA,,53.43,共有部分,鋼筋混凝土造,105年1月20日,九層,
RPRNMLQJNHLFFAO98CA,10,185.05,見其他登記事項,鋼筋混凝土造,95年5月25日,四層,一層 二層 三層 四層
RPWNMLOJNHLFFAO66CA,3,18.58,辦公室,見其他登記事項,102年5月24日,七層,二層
