¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤æ¤»¥«,¤g¦a,¤j¼æ¬qªÀ¤f¤p¬q1~30¦a¸¹,35.0,¦í,,,1050416,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2050000,58571,,0.0,0,,RPTOMLMJNHLFFAP98CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¥Ã©÷ªFµó33«Ñ1~30¸¹,108.0,¦í,,,1050331,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0680903,106.26,4,2,3,¦³,µL,5000000,47054,,0.0,0,,RPRNMLOJNHLFFAP88CA
¤æ¤»¥«,¤g¦a,¤Q¤T¬q631~660¦a¸¹,2535.1,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1050330,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4050000,1598,,0.0,0,,RPPOMLOJNHLFFAP78CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ1~30¸¹,92.44,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050311,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0940215,141.72,4,3,3,¦³,µL,4500000,31753,,0.0,0,,RPQOMLOJNHLFFAP88CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤¤«n¸ô290«Ñ67§Ë61~90¸¹,96.45,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050405,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820317,168.94,4,2,3,¦³,µL,3850000,22789,,0.0,0,,RPUOMLTJNHLFFAP17CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«±[«n¸ô31~60¸¹,183.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050320,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0820419,198.61,4,2,4,¦³,µL,3600000,18126,,0.0,0,,RPTNMLNLNHLFFAP56CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«­«¥ú¥_¸ô26«Ñ1~30¸¹,91.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840322,210.3,0,0,3,µL,µL,3350000,15930,,0.0,0,,RPPNMLTLNHLFFAP76CA
¥j§|¶m,¤g¦a,¥Ã¥ú¬q721~750¦a¸¹,765.87,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050203,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11580000,15120,,0.0,0,§t¥¼¿ì«O¦s«Øª«,RPSNMLKMNHLFFAP88CA
¤æ«nÂí,¤g¦a,¤¤¤Ñ¬q391~420¦a¸¹,56.0,°Ó,,,1050412,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1694000,30250,,0.0,0,,RPPNMLTJNHLFFBP66CA
¦èÁ³Âí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¦èÁ³Âí¦è¿³«n¸ô61~90¸¹,52.2,¦í,,,1050413,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0841206,146.4,5,2,3,¦³,µL,3550000,24249,,0.0,0,,RPPNMLOJNHLFFCP88CA
¤G±[¶m,¤g¦a,·sÉÜ¤l¬q¤j¥_¶é¤p¬q1861~1890¦a¸¹,2092.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050413,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5000000,2390,,0.0,0,,RPSNMLOJNHLFFCP56CA
¤G±[¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤G±[¶m¶©¿³¸ô1~30¸¹,115.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050409,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0820818,147.11,4,2,3,¦³,µL,3000000,20393,,0.0,0,,RPTNMLOJNHLFFCP66CA
±[­I¶m,¤g¦a,ºÖ¿³¬q511~540¦a¸¹,1664.25,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050326,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2550000,1532,,0.0,0,,RPTNMLTJNHLFFCP17CA
¦èÁ³Âí,¤g¦a,ªÀ¦è¬q751~780¦a¸¹,1967.05,¤u,,,1050422,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,30940000,15729,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPPNMLLKNHLFFCP68CA
ªê§ÀÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤ªê§ÀÂí¤K¼wµó61~90¸¹,101.46,°Ó,,,1050329,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0950511,286.12,4,1,4,¦³,µL,14800000,51727,,0.0,0,,RPPNMLOJNHLFFDP98CA
¤g®wÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤g®wÂí¿³°êµó1~30¸¹,97.39,¦í,,,1050314,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1041116,158.0,4,2,4,¦³,µL,5980000,37848,,0.0,0,,RPRNMLRKNHLFFDP96CA
Ûl®ä¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤Ûl®ä¶m¤T©M91~120¸¹,146.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050406,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960301,192.88,4,1,3,¦³,µL,3750000,19442,,0.0,0,,RPRNMLNJNHLFFAP88DA
¥|´ò¶m,¤g¦a,Ãö¸t¬q1411~1440¦a¸¹,112.0,¹A,,,1050418,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,764640,6827,,0.0,0,³¡¤À¹D¸ô¤£­p»ù,RPPNMLMJNHLFFEP98DA
¤¸ªø¶m,¤g¦a,¥_´ò¬q1~30¦a¸¹,1000.01,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050426,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,628888,629,,0.0,0,,RPTNMLMJNHLFFEP76DA
¤¸ªø¶m,¤g¦a,¥_´ò¬q61~90¦a¸¹,1954.72,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050426,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1200500,614,,0.0,0,,RPTNMLNJNHLFFEP86DA
¤¸ªø¶m,¤g¦a,³À¥_¬q991~1020¦a¸¹,3298.68,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050426,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2801000,849,,0.0,0,,RPPNMLQJNHLFFEP76DA
¤¸ªø¶m,¤g¦a,³À«n¬q721~750¦a¸¹,1000.02,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050426,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,615000,615,,0.0,0,,RPQNMLQJNHLFFEP86DA
ªL¤º¶m,¤g¦a,Ä_¶©¬q1~30¦a¸¹,174.71,¦í,,,1050421,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,977000,5592,,0.0,0,,RPWNMLLMNHLFFAP96EA
¤æ¤»¥«,¤g¦a,·¾¤lÔÅ¬q·¾¤lÔÅ¤p¬q601~630¦a¸¹,1479.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050418,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1774800,1200,,0.0,0,,RPVNMLTJNHLFFAP37EA
¤æ¤»¥«,¤g¦a,·¾¤lÔÅ¬q·¾¤lÔÅ¤p¬q211~240¦a¸¹,112.67,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050420,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,506996,4500,,0.0,0,¤G¿Ëµ¥¶¡¶R½æ,RPRNMLPJNHLFFAP56EA
¤g®wÂí,¤g¦a,·s¥_¬q1651~1680¦a¸¹,2951.48,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050405,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3099000,1050,,0.0,0,,RPSNMLPJNHLFFDP86DA
