鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬丹鄉,土地,新福段901~930地號,439.71,,特定農業區,農牧用地,1050419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1750000,3980,,0.0,0,,RPTNMLOJNHLFFAT86CA
屏東巿,房地(土地+建物),屏東縣屏東巿民生路41巷1~30號,69.0,住,,,1050413,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0630629,81.0,4,2,2,有,無,2500000,30864,,0.0,0,含增建或未登記建物。,RPUNMLOJNHLFFAT96CA
九如鄉,房地(土地+建物),屏東縣九如鄉黃金路1巷1~30號,107.86,,鄉村區,乙種建築用地,1050412,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830308,149.88,4,2,3,有,無,2030000,13544,,0.0,0,,RPWNMLOJNHLFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東巿中柳路375巷1~30號,87.23,,鄉村區,乙種建築用地,1050330,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820605,159.18,4,2,2,有,無,2800000,17590,,0.0,0,,RPSOMLOJNHLFFAT86CA
屏東巿,土地,龍華段1201~1230地號,636.8,,一般農業區,農牧用地,1050330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3141,,0.0,0,二親等間買賣,RPUOMLOJNHLFFAT07CA
長治鄉,房地(土地+建物),屏東縣長治鄉新興路86巷1~30號,87.06,,一般農業區,甲種建築用地,1050412,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0831123,135.42,4,2,3,有,無,3050000,22523,,0.0,0,,RPVOMLOJNHLFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東巿重慶路171巷1~30號,99.0,住,,,1050329,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650224,103.74,3,2,2,有,無,2850000,27473,,0.0,0,,RPSNMLNJNHLFFAT66CA
屏東巿,房地(土地+建物),屏東縣屏東巿武昌街91~120號,8.79,住,,,1050419,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841125,50.4,0,0,0,無,有,850000,16865,,0.0,0,,RPOOMLPJNHLFFAT56CA
萬丹鄉,土地,萬全段1~30地號,2.12,農,,,1050419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,4717,,0.0,0,,RPQOMLPJNHLFFAT76CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東巿公園路1~30號,40.22,商,,,1050324,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040617,314.18,4,1,3,有,無,19300000,61430,坡道平面,2.62,0,,RPQPMLKKNHLFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東巿大連里豐榮街185巷1~30號,75.32,住,,,1050406,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680321,81.2,3,2,2,有,無,3400000,41872,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLLKNHLFFAT56CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉社皮路一段327巷1~30號,103.0,,鄉村區,乙種建築用地,1050501,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820916,134.4,4,1,2,有,無,1950000,14509,,0.0,0,,RPXNMLNLNHLFFAT37CA
高樹鄉,土地,大路關段舊大路關小段271~300地號,398.0,,鄉村區,乙種建築用地,1050412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,7035,,0.0,0,,RPPNMLMJNHLFFBT98CA
里港鄉,土地,中萬甲段1051~1080地號,4000.0,,一般農業區,農牧用地,1050422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,1800,,0.0,0,,RPQNMLMJNHLFFBT09CA
fa72埔鄉,房地(土地+建物),屏東縣鹽埔鄉八德街27巷1~30號,85.9,,鄉村區,乙種建築用地,1050407,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840509,119.58,4,2,3,有,無,2350000,19652,,0.0,0,,RPSNMLOJNHLFFBT86CA
三地門鄉,房地(土地+建物),屏東縣三地門鄉中正路二段71巷1~30號,97.0,,鄉村區,乙種建築用地,1050408,土地1建物1車位0,全,三層,透天厝,國民住宅,鋼筋混凝土造,0821029,144.18,3,2,2,有,無,1093000,7581,,0.0,0,,RPSNMLKKNHLFFBT56CA
