鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路75巷16弄1~30號,106.49,住,,,1050412,土地1建物2車位2,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880413,243.71,4,2,2,有,有,22000000,90271,坡道平面,78.3,0,親友、員工或其他特殊關係間之交易。土地及建物分次登記案件，前案土地登記收件字號：105年文山字第063680號。兩戶打通。,RPRNMLRKNHLFFAA77CA
文山區,土地,政大段二小段451~480地號,33.0,住,,,1050427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,181818,,0.0,0,,RPTNMLRKNHLFFAA97CA
文山區,房地(土地+建物),臺北市文山區羅斯福路五段241~270號,8.03,商,,,1050330,土地4建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960730,48.94,2,1,1,有,有,10200000,208418,,0.0,0,含增建或未登記建物。,RPOOMLRKNHLFFAA57CA
文山區,房地(土地+建物),臺北市文山區景文街1~30號,6.14,商,,,1050407,土地1建物1車位0,十一層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0931105,38.11,1,1,1,有,有,7400000,194175,,0.0,0,,RPTNMLPLNHLFFAA87CA
文山區,房地(土地+建物),臺北市文山區試院路31~60號,27.0,住,,,1050503,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0560425,70.86,2,2,3,有,無,8100000,114310,,0.0,0,,RPXNMLRLNHLFFAA48CA
中正區,房地(土地+建物),臺北市中正區汀州路三段60巷1~30號,54.5,住,,,1050421,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,133.12,4,2,2,有,無,23000000,172776,,0.0,0,,RPOOMLKMNHLFFAA07CA
中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段151~180號,12.46,商,,,1050421,土地2建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970214,168.34,3,2,2,有,有,36000000,213853,坡道機械,41.02,0,,RPPNMLQJOHLFFAA47CA
萬華區,房地(土地+建物),臺北市萬華區青年路91~120號,11.58,住,,,1050411,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640403,38.4,2,1,1,有,有,6000000,156250,,0.0,0,,RPSNMLSKNHLFFBA08CA
大同區,房地(土地+建物)+車位,臺北市大同區歸綏街121~150號,21.88,商,,,1050324,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010809,165.93,3,2,2,有,有,23500000,141626,升降平面,0.0,0,共有人數2人內含獨立產權車位，未包含在棟數內。本案車位面積無法概算。,RPTNMLOLNHLFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區中華路二段661~690號,17.38,住,,,1050407,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780811,131.02,3,2,2,有,有,19000000,145016,,0.0,0,,RPWOMLKMNHLFFBA97CA
中山區,房地(土地+建物),臺北市中山區新生北路二段60巷31~60號,58.0,商,,,1050314,土地1建物1車位0,全,二層,透天厝,,加強磚造,,67.72,2,2,1,有,無,18000000,265800,,0.0,0,二親等買賣.權利人二位,RPPOMLQKNHLFFCA77CA
內湖區,房地(土地+建物),臺北市內湖區康樂街110巷16弄1~30號,18.59,住,,,1050416,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730629,60.22,2,2,1,有,無,8550000,141979,,0.0,0,,RPSNMLRKNHLFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區成功路二段250巷23弄1~30號,31.97,住,,,1050405,土地6建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681228,89.68,2,2,2,有,無,9000000,100357,,0.0,0,,RPOOMLRKNHLFFCA77CA
中山區,房地(土地+建物),臺北市中山區農安街227巷3弄31~60號,24.59,住,,,1050402,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730114,131.17000000000002,3,2,2,有,無,20300000,154761,,0.0,0,含增建或未登記建物。,RPROMLRKNHLFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段253巷31~60號,39.43,住,,,1050428,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980923,222.41,3,2,2,有,有,34500000,155112,坡道平面,43.81,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內,RPTOMLRKNHLFFCA28CA
