編號,車位類別,車位價格,車位面積平方公尺
RPXNMLQKNHLFFDA78CC,坡道平面,0,
RPUOMLQKNHLFFDA58CC,坡道平面,0,39.00
RPSOMLQKNHLFFEA48CC,坡道平面,0,
RPSNMLQKNHLFFAA97CC,坡道平面,0,30.32
RPQOMLQKNHLFFCA18DC,坡道機械,0,12.33
RPUNMLQKNHLFFEA68DC,坡道機械,0,61.17
RPROMLRKNHLFFEA48CC,坡道平面,0,
RPUOMLRKNHLFFEA78CC,坡道平面,0,
RPVOMLRKNHLFFDA78CC,坡道平面,0,41.87
RPRNMLRKNHLFFCA18CC,坡道平面,0,
RPRNMLRKNHLFFCA18CC,坡道平面,0,
RPRNMLRKNHLFFCA18CC,坡道平面,0,
RPRNMLRKNHLFFCA18CC,坡道平面,0,
RPOPMLRKNHLFFCA08CC,坡道機械,0,30.90
RPRPMLRKNHLFFCA38CC,坡道平面,4000,
RPRPMLRKNHLFFCA38CC,坡道平面,4000,
RPXNMLSKNHLFFDA98CC,坡道平面,0,
RPXNMLSKNHLFFDA98CC,坡道平面,0,
RPXNMLSKNHLFFDA98CC,坡道平面,0,
RPXNMLSKNHLFFDA98CC,坡道平面,0,
RPQPMLSKNHLFFDA48CC,升降機械,0,20.01
RPQPMLSKNHLFFDA48CC,升降機械,0,20.01
RPOPMLSKNHLFFEA38CC,坡道平面,0,37.67
RPSNMLSKNHLFFFA68CC,升降平面,0,
RPSNMLSKNHLFFFA68CC,升降平面,0,
RPUOMLTKNHLFFAA58CC,坡道平面,0,14.05
RPVNMLTKNHLFFFA09CC,坡道平面,0,18.75
RPOOMLTKNHLFFCA18CC,坡道平面,0,
RPRNMLKLNHLFFCA57CC,坡道平面,0,
RPUOMLKLNHLFFCA97CC,坡道平面,0,30.82
RPUOMLKLNHLFFCA97CC,坡道平面,0,30.82
RPUOMLKLNHLFFCA97CC,坡道平面,0,30.82
RPXPMLKLNHLFFDA48CC,坡道平面,0,
RPSPMLNLNHLFFEA38CC,坡道平面,0,
RPQOMLNLNHLFFCA87CC,坡道平面,0,40.83
RPQOMLNLNHLFFCA87CC,坡道平面,0,40.83
RPSPMLNLNHLFFCA18CC,坡道平面,0,36.30
RPTNMLNLNHLFFAA87CC,坡道機械,0,35.09
RPUNMLNLNHLFFAA97CC,升降平面,0,
RPPOMLOLNHLFFFA28DC,坡道平面,0,
RPSNMLOLNHLFFDA18CC,坡道平面,10000,
RPRPMLOLNHLFFDA28CC,坡道平面,0,35.92
RPSOMLOLNHLFFEA38CC,坡道平面,0,
RPSOMLOLNHLFFBA08CC,升降機械,0,23.78
RPSOMLOLNHLFFBA08CC,升降機械,0,41.24
RPWNMLPLNHLFFFA88CC,升降機械,0,
RPUNMLPLNHLFFBA28CC,坡道機械,0,17.83
RPVNMLPLNHLFFBA38CC,坡道平面,0,
RPVNMLPLNHLFFBA38CC,坡道平面,0,
RPVNMLPLNHLFFBA38CC,坡道平面,0,
RPWNMLPLNHLFFBA48CC,坡道機械,0,17.83
RPROMLPLNHLFFBA08CC,升降機械,0,
RPROMLPLNHLFFBA08CC,升降機械,0,
RPSNMLPLNHLFFEA38CC,坡道平面,0,36.91
RPROMLPLNHLFFCA18CC,坡道平面,0,30.40
RPVPMLPLNHLFFCA68CC,坡道平面,0,30.27
RPQNMLQLNHLFFFA38CC,坡道平面,0,
RPTNMLRLNHLFFBA38CC,坡道機械,0,
RPTPMLRLNHLFFCA68CC,坡道平面,0,
RPTPMLRLNHLFFCA68CC,坡道平面,0,
RPQNMLSLNHLFFEA48CC,坡道平面,6000,
RPPOMLKMNHLFFEA77CC,坡道平面,6000,
RPXOMLKMNHLFFEA58CC,坡道平面,4500,
RPWNMLKMNHLFFCA18CC,坡道機械,0,
RPPOMLKMNHLFFCA57CC,坡道平面,0,34.01
RPRNMLLMNHLFFCA77CC,坡道平面,0,41.56
RPUNMLLMNHLFFCA08CC,坡道平面,0,41.56
RPTOMLLMNHLFFCA08CC,坡道平面,0,43.17
RPTOMLLMNHLFFCA08CC,坡道平面,0,43.17
RPTOMLLMNHLFFCA08CC,坡道平面,0,43.16
RPUPMLLMNHLFFCA28CC,坡道平面,0,
RPUPMLLMNHLFFCA28CC,坡道平面,0,
RPUPMLLMNHLFFCA28CC,坡道平面,0,
RPVPMLLMNHLFFCA38CC,坡道平面,0,31.91
RPVPMLLMNHLFFCA38CC,坡道平面,0,31.91
RPTNMLLMNHLFFDA08CC,坡道平面,0,
RPSOMLLMNHLFFBA87CC,升降機械,0,15.83
RPTOMLLMNHLFFBA97CC,坡道平面,0,
RPUOMLLMNHLFFEA38CC,升降機械,0,
RPWNMLLMNHLFFAA08CC,坡道平面,0,46.81
