鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050425,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9080000,88242,坡道平面,39.31,1200000,,RPUPMLOLNHLFFAB28CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050120,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9200000,89586,坡道平面,39.31,1200000,,RPVPMLOLNHLFFAB38CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050427,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9180000,88242,坡道平面,39.31,1300000,,RPWPMLOLNHLFFAB48CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050426,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9500000,92945,坡道平面,39.31,1200000,,RPXPMLOLNHLFFAB58CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050102,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9600000,93505,坡道平面,39.31,1250000,,RPOQMLOLNHLFFAB77CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050327,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9650000,94625,坡道平面,39.31,1200000,,RPPQMLOLNHLFFAB87CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1041219,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9800000,95745,坡道平面,39.31,1250000,,RPQQMLOLNHLFFAB97CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050423,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9800000,95185,坡道平面,39.31,1300000,,RPRQMLOLNHLFFAB08CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050415,土地1建物1車位2,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,10980000,171634,坡道平面,78.62,2400000,,RPSQMLOLNHLFFAB18CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,31.06,住,,,1050109,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,2,2,有,無,9820000,95969,坡道平面,39.31,1250000,,RPTQMLOLNHLFFAB28CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050420,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,4940000,169351,坡道平面,39.31,1050000,,RPUQMLOLNHLFFAB38CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050313,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5050000,171963,坡道平面,39.31,1100000,,RPVQMLOLNHLFFAB48CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050413,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,4950000,167610,坡道平面,39.31,1100000,,RPWQMLOLNHLFFAB58CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050102,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5200000,176317,坡道平面,39.31,1150000,,RPXQMLOLNHLFFAB68CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050406,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5250000,180670,坡道平面,39.31,1100000,,RPORMLOLNHLFFAB87CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1041208,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5250000,182847,坡道平面,39.31,1050000,,RPPRMLOLNHLFFAB97CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050112,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5260000,183283,坡道平面,39.31,1050000,,RPQRMLOLNHLFFAB08CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050314,土地1建物1車位2,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,6780000,0,坡道平面,78.62,2600000,,RPRRMLOLNHLFFAB18CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050302,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5500000,187201,坡道平面,39.31,1200000,,RPSRMLOLNHLFFAB28CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,15.03,住,,,1050402,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.28,1,1,1,有,無,5680000,186330,坡道平面,39.31,1400000,,RPTRMLOLNHLFFAB38CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,23.3,住,,,1050109,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.47,1,1,1,有,無,8750000,132960,坡道平面,39.31,1150000,,RPURMLOLNHLFFAB48CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1050412,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.5,2,2,1,有,無,6880000,110959,坡道平面,39.31,1200000,,RPVRMLOLNHLFFAB58CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1050402,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7000000,114385,坡道平面,39.31,1100000,,RPWRMLOLNHLFFAB68CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1050120,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7200000,119232,坡道平面,39.31,1050000,,RPXRMLOLNHLFFAB78CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1050316,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7100000,116324,坡道平面,39.31,1100000,,RPOSMLOLNHLFFAB97CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1041204,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7000000,115355,坡道平面,39.31,1050000,,RPPSMLOLNHLFFAB08CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1050217,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7330000,118845,坡道平面,39.31,1200000,,RPQSMLOLNHLFFAB18CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1041128,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7290000,119038,坡道平面,39.31,1150000,,RPRSMLOLNHLFFAB28CB
南區,房地(土地+建物)+車位,下橋子頭段151~180地號,21.79,住,,,1050224,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.89,2,2,1,有,無,7290000,120008,坡道平面,39.31,1100000,,RPSSMLOLNHLFFAB38CB
