編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLQKNHLFFCB08CC,34,186.78,工業用,鐵造,71年9月3日,一層,
RPWOMLQKNHLFFCB78CC,28,504.50,見其他登記事項,鋼筋混凝土造,77年2月9日,四層,
RPXNMLQKNHLFFBB68CC,22,141.03,住家用,鋼筋混凝土造,83年2月8日,八層,
RPXNMLQKNHLFFBB68CC,22,36.65,共有部份,鋼筋混凝土造,83年2月8日,八層,
RPRQMLQKNHLFFBB38CC,1,162.84,見其它登記事項,鋼筋混凝土造,104年11月3日,十二層,
RPTQMLQKNHLFFBB58CC,18,87.38,住家用,鋼筋混凝土造,87年10月19日,十二層,
RPUOMLQKNHLFFAB38CC,21,80.71,見其他登記事項,見其他登記事項,84年3月24日,二層,
RPXNMLQKNHLFFFL47CC,9,87.35,見其他登記事項,鋼筋混凝土造,96年2月7日,四層,
RPTNMLQKNHLFFHL27CC,29,131.16,住家用,鋼筋混凝土造,76年10月19日,三層,
RPUNMLQKNHLFFHL37CC,30,67.69,見其他登記事項,鋼筋混凝土造,75年5月23日,四層,
RPWNMLQKNHLFFHL57CC,22,158.08,見其他登記事項,鋼筋混凝土造,83年8月11日,四層,
RPTNMLQKNHLFFBB38DC,18,154.22,見其它登記事項,鋼筋混凝土造,87年7月17日,十四層,
RPTNMLQKNHLFFBB38DC,18,32.16,共有部份,鋼筋混凝土造,87年7月17日,十四層,
RPXNMLRKNHLFFHL87DC,2,1094.05,見其他登記事項,鋼筋混凝土造,103年5月13日,二層,
RPQNMLRKNHLFFBB08CC,10,47.70,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPQNMLRKNHLFFBB08CC,10,19.13,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPVNMLRKNHLFFBB58CC,25,217.90,商業用,見其它登記事項,80年6月13日,二十層,
RPVNMLRKNHLFFBB58CC,25,89.57,共有部份,見其它登記事項,80年6月13日,二十層,
RPVQMLRKNHLFFBB88CC,10,48.56,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPVQMLRKNHLFFBB88CC,10,19.53,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPXQMLRKNHLFFBB09CC,10,48.14,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPXQMLRKNHLFFBB09CC,10,18.73,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPSSMLRKNHLFFBB78CC,27,265.55,商業用,鋼筋混凝土造,78年10月19日,十六層,
RPXNMLRKNHLFFCB88CC,22,149.36,住商用,鋼筋混凝土造,83年4月25日,七層,
RPUOMLRKNHLFFCB68CC,7,41.66,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPUOMLRKNHLFFCB68CC,7,3.45,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPUOMLRKNHLFFCB68CC,7,16.44,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVOMLRKNHLFFCB78CC,7,58.57,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPVOMLRKNHLFFCB78CC,7,4.83,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVOMLRKNHLFFCB78CC,7,23.14,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPXOMLSKNHLFFCB09CC,2,227.48,住家用,鋼骨鋼筋混凝土造,103年8月5日,三十八層,
RPXOMLSKNHLFFCB09CC,2,130.59,見其他登記事項,鋼骨鋼筋混凝土造,103年8月5日,三十八層,
RPXRMLSKNHLFFCB76CC,15,170.49,住家用,鋼筋混凝土造,90年9月12日,二十七層,
RPXPMLSKNHLFFBB09CC,1,98.64,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPXPMLSKNHLFFBB09CC,1,29.17,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPXPMLSKNHLFFBB09CC,1,53.25,見其他登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPRRMLSKNHLFFBB68CC,33,106.01,住家用,加強磚造,72年5月6日,二層,
RPTOMLSKNHLFFAB48CC,9,26.50,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPTOMLSKNHLFFAB48CC,10,4.41,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPTOMLSKNHLFFAB48CC,9,11.08,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPXOMLSKNHLFFAB88CC,34,201.77,商業用,鋼筋混凝土造,70年11月27日,八層,
RPXOMLSKNHLFFAB88CC,34,.95,共有部份,鋼筋混凝土造,70年11月27日,八層,
RPPPMLSKNHLFFAB18CC,20,25.27,見其他登記事項,鋼筋混凝土造,85年8月29日,十四層,
RPPPMLSKNHLFFAB18CC,20,14.66,見其他登記事項,鋼筋混凝土造,85年8月29日,十四層,
RPWOMLSKNHLFFBB98DC,3,86.46,見其它登記事項,鋼筋混凝土造,102年2月1日,十五層,
RPWOMLSKNHLFFBB98DC,3,8.91,見其它登記事項,鋼筋混凝土造,102年2月1日,十五層,
RPWOMLSKNHLFFBB98DC,3,19.78,見其它登記事項,鋼筋混凝土造,102年2月1日,十五層,
RPRNMLTKNHLFFBB48DC,9,46.59,見其他登記事項,鋼筋混凝土造,96年1月29日,十三層,
RPVNMLTKNHLFFCB98DC,13,190.18,見其他登記事項,鋼筋混凝土造,92年2月6日,三層,
RPWNMLTKNHLFFCB98CC,19,82.57,住家用,鋼筋混凝土造,86年10月20日,十四層,
RPWNMLTKNHLFFCB98CC,19,41.43,共有部分,鋼筋混凝土造,86年10月20日,十四層,
RPXNMLTKNHLFFCB09CC,20,242.90,見其他登記事項,見其他登記事項,85年9月24日,一層,
RPVPMLTKNHLFFCB09CC,20,95.64,見其他登記事項,鋼筋混凝土造,85年9月3日,十五層,
RPURMLKLNHLFFCB38CC,18,239.60,見其他登記事項,鋼筋混凝土造,87年6月2日,五層,
RPSNMLNLNHLFFCB08CC,18,46.71,住家用,鋼筋混凝土造,87年6月3日,十四層,
RPSNMLNLNHLFFCB08CC,18,16.10,共有部分,鋼筋混凝土造,87年6月3日,十四層,
RPTNMLNLNHLFFCB18CC,23,44.48,商業用,鋼筋混凝土造,82年1月19日,七層,
RPTNMLNLNHLFFCB18CC,23,18.84,共有部分,鋼筋混凝土造,82年1月19日,七層,
RPOQMLNLNHLFFCB97CC,33,308.16,住家用,鋼筋混凝土造,71年12月14日,四層,
RPQOMLNLNHLFFBB87CC,24,110.02,住家用,鋼筋混凝土造,81年10月28日,八層,
RPQOMLNLNHLFFBB87CC,24,31.02,共有部份,鋼筋混凝土造,81年10月28日,八層,
