鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物),基隆市中正區新豐街211~240號,13.45,住,,,1050502,土地1建物1車位0,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,72.12,2,1,1,有,有,3000000,41597,,0.0,0,,RPUNMLSKNHLFFBC48CA
信義區,房地(土地+建物)+車位,基隆市信義區花源五街1~30號,26.22,住,,,1050416,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840401,164.68,3,2,2,有,有,5420000,32912,坡道平面,0.0,0,,RPSNMLTKNHLFFBC38CA
中正區,房地(土地+建物),基隆市中正區立德路31~60號,34.29,住,,,1050327,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711229,105.79,4,1,2,有,無,2750000,25995,,0.0,0,,RPWNMLTKNHLFFBC78CA
中正區,房地(土地+建物),基隆市中正區觀海街91~120號,15.03,住,,,1050427,土地2建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,74.03,2,1,2,有,有,2200000,29718,,0.0,0,,RPROMLTKNHLFFBC38CA
仁愛區,房地(土地+建物),基隆市仁愛區仁三路3巷1~30號,110.0,商,,,1050324,土地1建物1車位0,全,二層,透天厝,住家用,木造,0340101,116.48,5,2,4,有,無,19500000,167411,,0.0,0,含增建或未登記建物。,RPPNMLLLNHLFFBC37CA
信義區,房地(土地+建物),基隆市信義區教忠街40巷31~60號,64.05,住,,,1050115,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041216,209.63,4,2,3,有,無,12040000,57435,,0.0,0,,RPQNMLLLNHLFFBC47CA
中正區,房地(土地+建物),基隆市中正區新豐街451~480號,6.79,其他,,,1050416,土地3建物1車位0,四層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,37.71,1,1,1,有,有,1900000,50385,,0.0,0,,RPVNMLNLNHLFFBC18CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷31~60號,50.69,住,,,1050428,土地8建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980602,136.97,3,2,2,有,有,4958400,36201,坡道機械,0.0,0,,RPPNMLOLNHLFFBC67CA
仁愛區,房地(土地+建物),基隆市仁愛區南榮路391~420號,4.4,商,,,1050427,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620220,119.63,7,0,7,有,無,2800000,23406,,0.0,0,,RPXNMLLJOHLFFBC08CA
安樂區,房地(土地+建物),基隆市安樂區安一路331~360號,21.97,住,,,1050330,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741017,85.68,0,0,0,無,無,1500000,17507,,0.0,0,含增建部份一併移轉,RPRNMLSKNHLFFCC28CA
安樂區,房地(土地+建物),基隆市安樂區安樂路二段166巷1~30號,29.71,住,,,1050407,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700724,94.52000000000001,3,2,2,有,無,3800000,40203,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLSKNHLFFCC48CA
暖暖區,房地(土地+建物),基隆市暖暖區暖碇路15巷31~60號,92.0,住,,,1050421,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0601120,90.68,4,2,2,有,無,5500000,60653,,0.0,0,,RPUNMLSKNHLFFCC58CA
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷148弄1~30號,25.34,住,,,1050402,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,92.71,3,2,1,有,有,2600000,28044,,0.0,0,,RPPOMLSKNHLFFCC18CA
安樂區,房地(土地+建物),基隆市安樂區樂利三街32巷1~30號,46.95,住,,,1050302,土地6建物1車位0,一層，騎樓，停車場,五層,店面(店鋪),商業用,鋼筋混凝土造,0701116,83.23,1,2,1,有,無,5000000,60074,,0.0,0,,RPRNMLTKNHLFFCC38CA
安樂區,房地(土地+建物),基隆市安樂區基金一路135巷121~150號,80.95,住,,,1050414,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0930406,238.9,3,2,3,有,有,13800000,57765,,0.0,0,,RPOOMLTKNHLFFCC18CA
