編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLTKNHLFFAD78CA,,58.73,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十六層
RPVOMLTKNHLFFAD78CA,,25.32,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPWOMLTKNHLFFAD88CA,,89.07,見其他登記事項,見其他登記事項,104年11月5日,二十四層,四層
RPWOMLTKNHLFFAD88CA,,70.53,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPOPMLTKNHLFFAD18CA,,55.02,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十層
RPOPMLTKNHLFFAD18CA,,23.51,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPPPMLTKNHLFFAD28CA,,60.53,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十三層
RPPPMLTKNHLFFAD28CA,,25.92,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPQPMLTKNHLFFAD38CA,,60.80,見其他登記事項,見其他登記事項,104年11月5日,二十四層,八層
RPQPMLTKNHLFFAD38CA,,25.92,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPVPMLTKNHLFFAD88CA,,89.17,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十二層
RPVPMLTKNHLFFAD88CA,,65.71,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPWPMLTKNHLFFAD98CA,,58.47,見其他登記事項,見其他登記事項,104年11月5日,二十四層,九層
RPWPMLTKNHLFFAD98CA,,52.45,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPXPMLTKNHLFFAD09CA,,81.86,見其他登記事項,見其他登記事項,104年11月5日,二十四層,四層
RPXPMLTKNHLFFAD09CA,,56.06,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPOQMLTKNHLFFAD28CA,,86.68,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十三層
RPOQMLTKNHLFFAD28CA,,69.33,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPQNMLRKNHLFFAD97CA,23,80.58,住家用,鋼筋混凝土造,82年2月27日,六層,三層
RPQNMLRKNHLFFAD97CA,23,4.77,商業用,鋼筋混凝土造,82年2月27日,六層,地下層
RPQNMLRKNHLFFAD97CA,23,3.64,共有部分,鋼筋混凝土造,82年2月27日,六層,
RPQNMLRKNHLFFAD97CA,23,23.52,共有部分,鋼筋混凝土造,82年2月27日,六層,
RPTNMLRKNHLFFAD28CA,15,80.17,見其他登記事項,鋼筋混凝土造,89年11月20日,十四層,十三層
RPTNMLRKNHLFFAD28CA,15,23.41,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPWNMLSKNHLFFAD68CA,25,14.91,住家用,鋼筋混凝土造,79年11月13日,五層,四層
RPWNMLSKNHLFFAD68CA,25,6.57,共有部分,鋼筋混凝土造,79年11月13日,五層,
RPVOMLSKNHLFFAD68CA,26,237.40,住商用,鋼筋混凝土造,78年11月3日,四層,一層 二層 三層 四層 騎樓 地下層
RPQNMLLLNHLFFAD47CA,23,60.32,住家用,鋼筋混凝土造,82年9月20日,六層,六層
RPQNMLLLNHLFFAD47CA,23,43.30,共有部分,鋼筋混凝土造,82年9月20日,六層,
RPUNMLLLNHLFFAD87CA,1,442.86,住家用,見其他登記事項,104年1月9日,五層,一層 二層 三層 四層 五層
RPUOMLNLNHLFFAD18CA,45,81.40,住家用,加強磚造,60年5月25日,二層,一層 二層
RPPNMLPLNHLFFAD77CA,19,111.45,見其他登記事項,鋼筋混凝土造,86年8月2日,十一層,九層
RPPNMLPLNHLFFAD77CA,19,37.64,共有部分,鋼筋混凝土造,86年8月2日,十一層,
RPPNMLPLNHLFFAD77CA,19,11.40,共有部分,鋼筋混凝土造,86年8月2日,十一層,
RPVNMLOLNHLFFAD28CA,34,43.47,住家用,鋼筋混凝土造,70年12月31日,七層,四層
