編號,車位類別,車位價格,車位面積平方公尺
RPWOMLTKNHLFFAD88CA,坡道平面,0,32.55
RPVPMLTKNHLFFAD88CA,坡道平面,0,27.73
RPWPMLTKNHLFFAD98CA,坡道平面,0,27.73
RPXPMLTKNHLFFAD09CA,坡道機械,0,21.10
RPOQMLTKNHLFFAD28CA,坡道平面,0,32.55
RPQNMLRKNHLFFAD97CA,升降機械,0,
RPQNMLLLNHLFFAD47CA,坡道平面,0,
RPPNMLPLNHLFFAD77CA,坡道平面,0,
RPRPMLRLNHLFFAD38CA,坡道機械,0,
RPQOMLTKNHLFFHR77CA,坡道機械,0,
RPWOMLSJOHLFFHR28CA,坡道平面,0,
RPROMLOLNHLFFHR47CA,坡道平面,0,
RPUNMLMJOHLFFCD08CA,坡道平面,0,
RPTNMLPLNHLFFCD38CA,其他,0,
RPPQMLTKNHLFFAD38CA,坡道平面,0,
RPROMLKLNHLFFAD57CA,坡道平面,0,
RPPOMLRLNHLFFAD08CA,坡道平面,900000,30.14
RPWNMLOJOHLFFAD28CA,坡道平面,0,
RPWNMLOJOHLFFAD28CA,坡道平面,0,
RPTNMLTKNHLFFCD68CA,坡道平面,0,
RPQNMLMLNHLFFAR98CA,坡道機械,0,
RPRNMLTKNHLFFER47CA,坡道平面,0,
RPUOMLSJOHLFFHR08CA,坡道平面,0,
RPPNMLLLNHLFFAD47DA,坡道平面,0,
RPRNMLOKOHLFFHR37CA,坡道機械,0,
RPQOMLOKOHLFFCD08CA,坡道平面,0,
RPXOMLKLNHLFFCD38CA,坡道平面,0,
RPPNMLPLNHLFFCD97CA,坡道平面,0,
RPROMLSJOHLFFAD28CA,坡道平面,0,26.50
RPUOMLKLNHLFFAD87CA,坡道平面,0,
RPPNMLLMNHLFFAD47CA,坡道平面,0,
RPWNMLMJOHLFFAD08CA,坡道平面,0,
RPWOMLKLNHLFFCD28CA,坡道平面,0,32.15
RPWOMLKLNHLFFCD28CA,坡道平面,0,32.15
RPSOMLNLNHLFFCD18CA,坡道平面,0,
RPSNMLPJOHLFFCD18CA,坡道平面,1150000,42.99
RPUNMLPJOHLFFCD38CA,坡道平面,950000,42.99
RPVNMLPJOHLFFCD48CA,坡道平面,950000,42.99
RPUNMLKLNHLFFHR27CA,坡道機械,0,
RPQNMLPLNHLFFHR37CA,坡道機械,0,
RPQNMLOLNHLFFHR27CA,坡道平面,0,
RPOPMLNLNHLFFHR17CA,坡道平面,0,
RPWNMLKMOHLFFHR67CA,坡道平面,0,
RPQRMLNKOHLFFAD18DA,坡道平面,0,
RPXOMLRKOHLFFHR38CA,坡道平面,0,
RPRNMLSLNHLFFFR57CA,一樓平面,0,
RPSNMLSKOHLFFCD58CA,坡道平面,1150000,42.99
RPTNMLSKOHLFFCD68CA,坡道平面,1150000,42.99
RPUNMLSKOHLFFCD78CA,坡道平面,1150000,42.99
RPWNMLSKOHLFFCD98CA,坡道平面,1050000,42.99
RPWNMLSKOHLFFCD98CA,坡道平面,1050000,42.99
SPWNMLSKOHLFFCD09CA,坡道平面,1050000,42.99
RPXNMLSKOHLFFCD09CA,坡道平面,1050000,42.99
RPQNMLOKOHLFFCD97CA,坡道平面,1050000,42.99
RPSNMLOKOHLFFCD18CA,坡道平面,1150000,42.99
RPTNMLOKOHLFFCD28CA,坡道平面,1150000,42.99
RPXOMLRJOHLFFCD98CA,坡道平面,0,
RPWNMLSKOHLFFAD78CA,坡道平面,0,
RPVOMLRLNHLFFAD68CA,坡道平面,0,32.55
RPOPMLRLNHLFFAD08CA,坡道平面,0,32.55
RPUNMLKMNHLFFAD87CA,坡道平面,0,32.55
RPVNMLKMNHLFFAD97CA,坡道平面,0,32.55
RPXNMLKMNHLFFAD18CA,坡道平面,0,27.73
RPTPMLLMNHLFFAD08CA,坡道平面,0,
RPQNMLPLNHLFFAD87CA,坡道機械,0,
RPOOMLKMNHLFFAD37CA,坡道平面,0,32.55
RPPPMLRLNHLFFAD18CA,坡道平面,0,32.55
RPQNMLLMNHLFFAD57CA,坡道平面,0,27.73
RPRNMLLMNHLFFAD67CA,坡道平面,0,32.55
RPQOMLKMNHLFFAD57CA,坡道平面,0,35.13
RPQOMLKMNHLFFAD57CA,坡道平面,0,35.13
RPVQMLLMNHLFFAD38CA,坡道平面,0,27.73
RPPOMLRKOHLFFAD08CA,坡道機械,0,
RPTNMLTKOHLFFCD78CA,坡道平面,950000,42.99
RPUNMLTKOHLFFCD88CA,坡道平面,950000,42.99
RPVNMLTKOHLFFCD98CA,坡道平面,1050000,42.99
RPOOMLTKOHLFFCD38CA,坡道平面,1150000,42.99
RPOOMLTKOHLFFCD38CA,坡道平面,1050000,42.99
RPPOMLTKOHLFFCD48CA,坡道平面,1050000,42.99
