編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLNLNHLFFHR17CB,橋北段,24.59,都市：住
RPQNMLNLNHLFFHR27CB,橋北段,24.90,都市：住
RPRNMLNLNHLFFHR37CB,橋北段,31.30,都市：住
RPSNMLNLNHLFFHR47CB,橋北段,18.05,都市：住
RPTNMLNLNHLFFHR57CB,橋北段,24.59,都市：住
RPUNMLNLNHLFFHR67CB,橋北段,31.30,都市：住
RPVNMLNLNHLFFHR77CB,橋北段,26.02,都市：住
RPWNMLNLNHLFFHR87CB,橋北段,24.90,都市：住
RPXNMLNLNHLFFHR97CB,橋北段,24.42,都市：住
RPOOMLNLNHLFFHR17CB,橋北段,21.69,都市：住
RPPOMLNLNHLFFHR27CB,橋北段,24.59,都市：住
RPQOMLNLNHLFFHR37CB,橋北段,24.90,都市：住
RPROMLNLNHLFFHR47CB,橋北段,32.60,都市：住
RPUOMLNLNHLFFHR77CB,橋北段,24.90,都市：住
RPWOMLNLNHLFFHR97CB,橋北段,14.68,都市：住
RPXOMLNLNHLFFHR08CB,橋北段,21.69,都市：住
