編號,車位類別,車位價格,車位面積平方公尺
RPPNMLTKNHLFFAE18CA,坡道平面,0,16.63
RPOPMLQJOHLFFAE97CA,坡道平面,0,
RPUNMLRKNHLFFBE58CA,坡道平面,0,16.70
RPSNMLPLNHLFFBE28CA,坡道平面,880000,25.15
RPTNMLPLNHLFFBE38CA,坡道平面,880000,25.15
RPSNMLOJOHLFFBE08CA,坡道機械,1000000,21.32
RPPNMLRKNHLFFDE28CA,坡道平面,0,
RPPOMLSKNHLFFDE48CA,坡道平面,0,
RPPOMLSKNHLFFDE48CA,坡道平面,0,
RPXNMLTKNHLFFDE66CA,坡道平面,0,30.40
RPSPMLRKNHLFFEE88CA,坡道平面,0,
RPXNMLSKNHLFFEE66CA,坡道機械,0,
RPTOMLSKNHLFFEE98CA,坡道平面,0,
RPRNMLKLNHLFFEE97CA,坡道平面,0,32.21
RPRNMLKLNHLFFEE97CA,坡道平面,0,32.21
RPVOMLNLNHLFFEE78CA,坡道平面,0,
RPWPMLOLNHLFFEE09CA,坡道機械,0,9.39
RPXPMLOLNHLFFEE56CA,坡道機械,0,9.39
RPWNMLRLNHLFFEE56CA,升降機械,0,16.79
RPTNMLSLNHLFFEE98CA,坡道平面,0,
RPROMLTLNHLFFEE98CA,坡道機械,0,
RPTOMLTLNHLFFEE56CA,坡道平面,0,
RPVOMLTLNHLFFEE76CA,坡道平面,0,
RPTOMLLMNHLFFEE48CA,坡道平面,0,17.89
RPUOMLLMNHLFFEE58CA,坡道平面,0,17.89
RPPNMLMJOHLFFEE87CA,坡道平面,0,
RPSNMLMJOHLFFEE18CA,坡道平面,0,
RPVNMLNJOHLFFEE58CA,坡道平面,0,
RPROMLOJOHLFFEE38CA,坡道機械,0,
RPTPMLQJOHLFFEE88CA,坡道平面,0,19.14
RPWNMLSJOHLFFEE56CA,坡道平面,0,22.64
RPPNMLOJPHLFFEE18CA,坡道平面,0,
RPQOMLPLNHLFFFE58CA,坡道平面,0,
RPXOMLSJOHLFFGE96CA,坡道機械,0,
RPPNMLRLNHLFFAE18DA,坡道機械,0,10.79
RPRNMLOKOHLFFGE68DA,坡道平面,0,
RPRNMLQLNHLFFDE58DA,坡道平面,0,25.92
RPSNMLQLNHLFFDE68DA,坡道平面,0,25.92
RPPNMLLLNHLFFIE28CA,坡道平面,0,
RPTNMLKLNHLFFIE58CA,坡道機械,0,
RPOOMLKLNHLFFIE18CA,坡道平面,0,
RPRPMLQJOHLFFGE88CA,坡道平面,0,
RPXNMLNJOHLFFGE98CA,坡道平面,0,
RPQPMLKLNHLFFGE28CA,坡道平面,0,24.79
RPPPMLTKNHLFFGE98CA,坡道平面,0,
RPUPMLSKNHLFFGE76CA,坡道機械,0,
RPPNMLTKNHLFFGE78CA,坡道平面,0,
RPXNMLOLNHLFFGE56CA,坡道機械,0,
RPOPMLQLNHLFFGE68CA,坡道平面,0,19.22
RPROMLSJOHLFFFE88CA,升降機械,0,
RPOOMLRJOHLFFEE38CA,坡道平面,0,
RPRRMLSJOHLFFEE09CA,坡道平面,0,
RPURMLSJOHLFFEE76CA,坡道平面,0,
RPVRMLSJOHLFFEE86CA,坡道平面,0,
RPWRMLSJOHLFFEE96CA,坡道機械,0,
RPXRMLSJOHLFFEE07CA,坡道機械,0,
RPOSMLSJOHLFFEE88CA,坡道機械,0,
RPQSMLSJOHLFFEE09CA,坡道平面,0,
RPTOMLRJOHLFFEE88CA,坡道機械,0,
RPSNMLNJOHLFFEE28CA,坡道平面,0,36.19
RPXOMLMJOHLFFEE78CA,坡道平面,1600000,22.99
RPQOMLNLNHLFFEE28CA,坡道機械,0,
RPQOMLNLNHLFFEE28CA,坡道機械,0,
RPOPMLNLNHLFFEE18CA,坡道平面,0,
RPSNMLMLNHLFFEE28CA,坡道平面,0,
RPTNMLMLNHLFFEE38CA,坡道平面,0,
RPWNMLTKNHLFFEE66CA,坡道平面,0,31.28
RPXNMLOKOHLFFDE88CA,坡道平面,0,21.40
RPXOMLQLNHLFFDE56CA,坡道平面,0,32.33
RPXOMLQLNHLFFDE56CA,坡道平面,0,32.33
RPSOMLRJOHLFFCE58CA,坡道平面,0,26.46
RPUOMLSJOHLFFCE88CA,坡道平面,1150000,23.22
RPUNMLLJOHLFFBE97CA,坡道平面,0,18.35
RPUNMLLJOHLFFBE97CA,坡道平面,0,18.35
RPWNMLLJOHLFFBE18CA,坡道平面,0,18.35
RPWNMLLJOHLFFBE18CA,坡道平面,0,18.35
RPPOMLOLNHLFFCE08CA,坡道機械,0,
RPXNMLQJOHLFFAE68CA,升降機械,0,
RPQOMLQJOHLFFAE08CA,升降機械,0,
RPWNMLKMNHLFFAE18CA,坡道平面,0,29.64
RPWNMLNLNHLFFAE38CA,坡道平面,0,
RPRNMLQLNHLFFAE18CA,坡道平面,0,
RPRNMLQLNHLFFAE18CA,坡道平面,0,
RPWOMLNLNHLFFAE48CA,坡道平面,0,32.21
RPQNMLSLNHLFFAE28CA,坡道機械,0,
