鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
鼓山區,建物,高雄市鼓山區美術東四路301~330號,0.0,商,,,1050505,土地0建物1車位0,見其它登記事項,15,店面(店鋪),商業用,鋼筋混凝土造,0950124,231.95999999999998,0,2,2,有,有,無,66000,285,,0.0,0,,RPUOMLQKNHLFFAE68CC
鼓山區,房地(土地+建物),高雄市鼓山區華榮路601~630號,2995.0,住,,,1050511,土地1建物1車位0,二層,2,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1010710,102.65,2,3,2,有,無,有,30000,292,,0.0,0,,RPXOMLQKNHLFFAE98CC
鼓山區,房地(土地+建物),高雄市鼓山區博愛二路331~360號,11.25,住,,,1050305,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940802,123.29,3,2,2,有,無,有,16000,130,,0.0,0,,RPPPMLQKNHLFFAE28CC
苓雅區,建物,高雄市苓雅區海邊路31~60號,0.0,商,,,1050513,土地0建物1車位2,二十一層,27,辦公商業大樓,商業用,鋼造,0860212,299.85,0,0,0,無,有,有,48000,160,坡道平面,0.0,0,租48000元含坡道平面車位2個及附辦公家具,RPWNMLQKNHLFFBE88CC
苓雅區,房地(土地+建物),高雄市苓雅區福建街1~30號,25.6,住,,,1050516,土地4建物2車位0,見其他登記事項,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0771102,152.92000000000002,2,2,2,有,無,無,15000,98,,0.0,0,,RPROMLQKNHLFFBE48CC
三民區,房地(土地+建物),高雄市三民區陽明路91~120號,120.0,住,,,1050509,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0970801,299.22,0,0,0,無,無,無,53000,177,,0.0,0,,RPUNMLQKNHLFFDE88CC
三民區,土地,大港段二小段1441~1470地號,259.0,住,,,1050422,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,42000,162,,0.0,0,含增建或未登記建物。,RPWNMLQKNHLFFDE09CC
三民區,房地(土地+建物),高雄市三民區大昌二路211~240號,87.0,商,,,1050511,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0930218,295.72,0,0,0,無,無,有,55000,186,,0.0,0,,RPPOMLQKNHLFFDE48CC
三民區,房地(土地+建物),高雄市三民區大昌二路420巷1~30號,30.2,住,,,1050513,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740522,107.69,3,2,2,有,無,有,8500,79,,0.0,0,,RPSOMLQKNHLFFDE78CC
左營區,房地(土地+建物),高雄市左營區華夏路1021~1050號,607.57,住,,,1050401,土地1建物1車位0,一層,1,店面(店鋪),商業用,見其它登記事項,0901226,169.93,0,0,0,無,無,無,140000,824,,0.0,0,,RPUPMLQKNHLFFEE56CC
鳳山區,房地(土地+建物),高雄市鳳山區建國路三段181~210號,79.0,住,,,1050506,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0680810,176.4,4,2,3,有,無,無,28000,159,,0.0,0,,RPPNMLQKNHLFFGE68CC
鳳山區,建物,高雄市鳳山區青年路二段241~270號,0.0,,,,1050505,土地0建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1000501,202.62,1,1,1,有,無,無,105000,518,,0.0,0,,RPOOMLQKNHLFFGE68CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳頂路121~150號,75.37,住,,,1050515,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0781120,215.8,6,2,4,有,無,無,17500,81,,0.0,0,,RPVOMLQKNHLFFGE76CC
仁武區,土地,仁雄段331~360地號,582.01,住,,,1050513,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,125000,215,,0.0,0,,RPUNMLQKNHLFFIE76CC
路竹區,房地(土地+建物),高雄市路竹區國昌路391~420號,78.85,住,,,1050517,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0940527,170.38,6,2,3,有,無,無,28000,164,,0.0,0,,RPTNMLRKNHLFFJE86CC
鳳山區,建物,高雄市鳳山區鳳甲二街121~150號,22.07,其他,,,1050514,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900622,116.61,3,2,2,有,無,有,14000,120,,0.0,0,,RPPRMLRKNHLFFGE56CC
三民區,房地(土地+建物)+車位,高雄市三民區九如一路31~60號,0.0,商,,,1040903,土地0建物1車位1,十一層,14,辦公商業大樓,,鋼筋混凝土造,0801218,144.84,0,0,0,無,無,無,15000,104,坡道機械,0.0,0,,RPPPMLRKNHLFFDE78DC
三民區,房地(土地+建物),高雄市三民區褒揚東街91~120號,158.07,住,,,1050517,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,1030113,153.17,0,0,0,無,無,無,60000,392,,0.0,0,租賃1+2樓透天店面，地坪無法詳細分算,RPTOMLRKNHLFFDE98CC
三民區,房地(土地+建物),高雄市三民區鼎新路181~210號,7.56,商,,,1050514,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830104,91.08,2,2,1,有,無,有,10000,110,,0.0,0,另出租非本棟大樓車位.原租金總額10000元/月外.再加收租金2000元/月,RPQNMLSKNHLFFDE68CC
三民區,房地(土地+建物),高雄市三民區孝順街361~390號,45.0,住,,,1050517,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681016,67.94,0,0,0,無,無,無,15000,221,,0.0,0,,RPUNMLSKNHLFFDE09CC
三民區,房地(土地+建物),高雄市三民區義德路91~120號,64.0,住,,,1050510,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0761224,203.74,6,2,4,有,無,無,20000,98,,0.0,0,,RPVNMLSKNHLFFDE56CC
