編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLSKNHLFFAF88CA,35,108.67,住家用,鋼筋混凝土造,70年8月27日,五層,四層
RPVPMLSKNHLFFAF98CA,6,92.27,住家用,鋼骨鋼筋混凝土造,99年8月31日,二十一層,十五層
RPVPMLSKNHLFFAF98CA,6,39.04,見其他登記事項,鋼骨鋼筋混凝土造,99年8月31日,二十一層,
RPVPMLSKNHLFFAF98CA,6,43.87,見其他登記事項,鋼骨鋼筋混凝土造,99年8月31日,二十一層,
RPXNMLRKNHLFFAF88CA,35,77.84,住家用,鋼筋混凝土造,70年4月9日,五層,一層 平台
RPRPMLOLNHLFFAF28CA,39,105.40,住家用,鋼筋混凝土造,66年4月24日,四層,二層
RPSPMLOLNHLFFAF38CA,28,102.26,見使用執照,鋼筋混凝土造,77年4月19日,五層,一層 騎樓
RPPOMLOLNHLFFAF97CA,34,72.16,見使用執照,鋼筋混凝土造,70年11月20日,五層,一層
RPTNMLNJOHLFFAF08CA,,114.76,住商用,鋼筋混凝土造,,五層,一層
RPRNMLTJOHLFFAF48CA,1,69.57,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十四層
RPRNMLTJOHLFFAF48CA,1,18.56,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRNMLTJOHLFFAF48CA,1,11.26,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRNMLTJOHLFFAF48CA,1,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXNMLQKNHLFFBF88CA,9,113.48,住家用,鋼筋混凝土造,96年8月3日,七層,四層 五層
RPXNMLQKNHLFFBF88CA,9,18.34,共有部分,鋼筋混凝土造,96年8月3日,七層,
RPXNMLQKNHLFFBF88CA,9,41.26,共有部分,鋼筋混凝土造,96年8月3日,七層,
RPUPMLRKNHLFFBF88CA,1,147.72,見其他登記事項,鋼筋混凝土造,104年5月19日,十二層,十二層 見其他登記事項
RPUPMLRKNHLFFBF88CA,1,40.20,見其他登記事項,鋼筋混凝土造,104年5月19日,十二層,
