編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLQKNHLFFBF58CC,22,91.56,住家用,鋼筋混凝土造,83年5月30日,十四層,
RPROMLQKNHLFFBF58CC,22,47.32,共有部分,鋼筋混凝土造,83年5月30日,十四層,
RPVOMLQKNHLFFBF98CC,7,127.28,見其他登記事項,鋼筋混凝土造,98年9月29日,十四層,
RPVOMLQKNHLFFBF98CC,7,16.07,見其他登記事項,鋼筋混凝土造,98年9月29日,十四層,
RPVOMLQKNHLFFBF98CC,7,1.74,見其他登記事項,鋼筋混凝土造,98年9月29日,十四層,
RPVOMLQKNHLFFBF98CC,7,23.48,見其他登記事項,鋼筋混凝土造,98年9月29日,十四層,
RPTPMLQKNHLFFBF88CC,20,861.29,見其他登記事項,鋼造,85年4月18日,一層,
RPTNMLQKNHLFFCF78CC,6,201.74,見其他登記事項,見其他登記事項,98年12月7日,十六層,
RPTNMLQKNHLFFCF78CC,6,123.28,見其他登記事項,見其他登記事項,98年12月7日,十六層,
RPTNMLQKNHLFFCF78CC,6,72.45,見其他登記事項,見其他登記事項,98年12月7日,十六層,
RPVNMLQKNHLFFCF98CC,26,759.11,工商用,鋼筋混凝土造,78年12月30日,十層,
RPVNMLQKNHLFFCF98CC,26,36.61,共有部分,鋼筋混凝土造,78年12月30日,十層,
RPVNMLQKNHLFFCF98CC,26,92.44,共有部分,鋼筋混凝土造,78年12月30日,十層,
RPTOMLQKNHLFFDF98CC,2,203.35,工業用,見其他登記事項,103年10月13日,三十五層,
RPTOMLQKNHLFFDF98CC,2,27.02,見其他登記事項,見其他登記事項,103年10月13日,三十七層,
RPTOMLQKNHLFFDF98CC,2,10.82,見其他登記事項,見其他登記事項,103年10月13日,三十七層,
RPTOMLQKNHLFFDF98CC,2,86.62,見其他登記事項,見其他登記事項,103年10月13日,三十五層,
RPTOMLQKNHLFFDF98CC,2,37.10,見其他登記事項,見其他登記事項,103年10月13日,三十七層,
RPSNMLQKNHLFFEF88CC,19,75.28,住家用,鋼筋混凝土造,86年4月19日,十七層,
RPSNMLQKNHLFFEF88CC,19,2.51,共有部份,鋼筋混凝土造,86年4月19日,十七層,
RPSNMLQKNHLFFEF88CC,19,5.71,共有部份,鋼筋混凝土造,86年4月19日,十七層,
RPXOMLQKNHLFFEF86CC,4,95.71,住家用,鋼筋混凝土造,101年11月1日,十四層,
RPPNMLQKNHLFFHF88CC,27,101.41,商業用,鋼筋混凝土造,78年3月13日,七層,
RPPNMLQKNHLFFHF88CC,27,13.47,共有部分,鋼筋混凝土造,78年3月13日,七層,
RPVNMLQKNHLFFHF86CC,7,92.35,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPVNMLQKNHLFFHF86CC,7,18.90,共有部分,見其他登記事項,98年10月15日,十八層,
RPVNMLQKNHLFFHF86CC,7,9.31,共有部分,見其他登記事項,98年10月15日,十八層,
RPVNMLQKNHLFFHF86CC,7,14.97,共有部分,見其他登記事項,98年10月15日,十八層,
RPOOMLQKNHLFFHF88CC,15,152.19,見其他登記事項,鋼筋混凝土造,89年11月28日,七層,
RPOOMLQKNHLFFHF88CC,15,36.17,共有部分,鋼筋混凝土造,89年11月28日,七層,
