編號,車位類別,車位價格,車位面積平方公尺
RPROMLQKNHLFFBF58CC,坡道平面,0,
RPTNMLQKNHLFFCF78CC,坡道平面,0,
RPTNMLQKNHLFFCF78CC,坡道平面,0,
RPTNMLQKNHLFFCF78CC,坡道平面,0,
RPVNMLQKNHLFFCF98CC,坡道機械,0,
RPVNMLQKNHLFFCF98CC,坡道機械,0,
RPVNMLQKNHLFFCF98CC,坡道機械,0,
RPVNMLQKNHLFFCF98CC,坡道機械,0,
RPVNMLQKNHLFFCF98CC,坡道機械,0,
RPXOMLQKNHLFFEF86CC,坡道平面,0,29.92
RPOOMLQKNHLFFHF88CC,坡道平面,0,33.99
RPWOMLQKNHLFFHF07CC,坡道平面,0,44.00
RPPPMLQKNHLFFHF09CC,坡道平面,0,40.98
RPPOMLRKNHLFFCF58CC,坡道機械,0,12.85
RPQSMLRKNHLFFBF98CC,坡道平面,0,
RPQNMLSKNHLFFBF58CC,坡道平面,0,
RPWNMLTKNHLFFGF17CC,坡道平面,0,
RPROMLTKNHLFFIF17EC,坡道機械,0,20.68
RPQNMLTKNHLFFAF78EC,坡道平面,0,40.15
RPPPMLKLNHLFFBF97CC,坡道平面,0,
RPQPMLKLNHLFFBF08CC,坡道平面,0,14.55
RPTPMLKLNHLFFBF38CC,坡道平面,0,
RPWNMLKLNHLFFIF56CC,坡道機械,0,20.69
RPTNMLMLNHLFFEF68CC,坡道平面,0,35.76
RPPNMLMLNHLFFBF97CC,坡道平面,0,28.43
RPPNMLMLNHLFFIF68CC,坡道平面,0,32.46
RPUOMLNLNHLFFIF76CC,坡道平面,0,38.32
RPTNMLNLNHLFFGF98CC,坡道平面,0,34.69
RPWNMLNLNHLFFHF76CC,坡道平面,0,
RPPOMLNLNHLFFBF18CC,坡道平面,0,
RPPOMLNLNHLFFBF18CC,坡道平面,0,
RPPOMLNLNHLFFBF18CC,坡道平面,0,
RPVOMLNLNHLFFBF78CC,坡道平面,0,26.58
RPVOMLNLNHLFFBF78CC,坡道平面,0,24.52
RPWOMLNLNHLFFBF88CC,坡道平面,0,
RPPPMLNLNHLFFEF58CC,坡道平面,0,
RPUNMLOLNHLFFBF68CC,坡道平面,0,29.87
RPSOMLOLNHLFFCF68CC,升降機械,0,34.97
RPOPMLPLNHLFFGF88CC,坡道機械,0,11.57
RPVQMLQLNHLFFBF66CC,坡道平面,0,21.52
RPRNMLQLNHLFFDF78CC,坡道平面,0,19.76
RPQOMLQLNHLFFDF78CC,坡道平面,3500,37.10
RPSOMLQLNHLFFDF98CC,坡道平面,0,37.10
RPSOMLRLNHLFFGF76CC,坡道機械,0,13.91
RPSNMLSLNHLFFBF88CC,坡道平面,0,24.52
RPSNMLSLNHLFFBF88CC,坡道平面,0,24.52
RPRNMLSLNHLFFEF09CC,坡道平面,0,24.24
RPSNMLSLNHLFFEF56CC,坡道平面,0,25.69
RPTNMLSLNHLFFEF66CC,坡道平面,0,47.62
RPUOMLKMNHLFFEF78CC,坡道平面,0,34.77
RPQPMLKMNHLFFEF48CC,坡道平面,0,31.93
RPXOMLKMNHLFFBF78CC,坡道平面,0,25.20
RPXOMLKMNHLFFBF78CC,坡道平面,0,25.20
RPTNMLLMNHLFFIF09CC,坡道平面,0,37.95
RPXOMLLMNHLFFDF66EC,坡道平面,0,3.01
RPRNMLLMNHLFFCF28CC,坡道平面,0,25.97
