鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
蘇澳鎮,土地,湖口段421~450地號,3438.61,工,,,1050502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30997364,9015,,0.0,0,,RPQOMLQKNHLFFAG28CA
冬山鄉,土地,北富段571~600地號,389.0,,特定農業區,農牧用地,1050424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2942000,7563,,0.0,0,,RPQOMLRKNHLFFAG38CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉清水路31~60號,22.35,住,,,1050420,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021015,159.34,3,1,2,有,無,11680000,73302,坡道平面,0.0,0,,RPROMLRKNHLFFAG48CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路61~90號,30.7,住,,,1050419,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820818,117.5,0,0,2,無,無,6610000,56255,,0.0,0,,RPSOMLRKNHLFFAG58CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路三段241~270號,51.32,住,,,1050420,土地2建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800403,153.07999999999998,0,0,2,無,無,10000000,65325,,0.0,0,,RPTOMLRKNHLFFAG68CA
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮樹人路31~60號,20.42,住,,,1050501,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871013,117.50999999999999,2,2,1,有,有,5500000,46805,坡道平面,21.52,0,,RPPNMLSKNHLFFAG28CA
三星鄉,土地,尚義段301~330地號,1005.0,,特定農業區,農牧用地,1050430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1493,,0.0,0,,RPOOMLTKNHLFFAG38CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉中興路一段55巷1~30號,732.0,,特定農業區,甲種建築用地,1050412,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,03501,35.76,2,2,1,有,無,8123900,227178,,0.0,0,,RPPNMLNLNHLFFAG87CA
五結鄉,土地,中福段481~510地號,10.0,商,,,1050414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,582895,58290,,0.0,0,1.共有人間買賣 .,RPTNMLPLNHLFFAG48CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光武街121~150號,33.2,住,,,1050413,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710614,102.82,3,2,2,有,無,3850000,37444,,0.0,0,,RPOOMLQLNHLFFAG18CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮新興街1~30號,30.1,住,,,1050412,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730128,93.66000000000001,3,2,2,有,無,3600000,38437,,0.0,0,,RPVOMLLJOHLFFAG28CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇東中路1~30號,3.62,商,,,1050504,土地2建物1車位0,十層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720719,37.01,0,0,1,無,有,738000,19941,,0.0,0,,RPPNMLNJOHLFFAG77CA
