編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLRKNHLFFAG48CA,3,99.26,見其他登記事項,鋼筋混凝土造,102年10月15日,十三層,十二層
RPROMLRKNHLFFAG48CA,3,45.06,見其他登記事項,鋼筋混凝土造,102年10月15日,十三層,
RPROMLRKNHLFFAG48CA,3,15.02,見其他登記事項,鋼筋混凝土造,102年10月15日,十三層,
RPSOMLRKNHLFFAG58CA,23,112.61,住家用,鋼筋混凝土造,82年8月18日,五層,一層 騎樓 夾層
RPSOMLRKNHLFFAG58CA,23,4.89,住家用,鋼筋混凝土造,82年8月18日,五層,
RPTOMLRKNHLFFAG68CA,25,134.22,住家用,鋼筋混凝土造,80年4月3日,五層,一層 二層 騎樓
RPTOMLRKNHLFFAG68CA,25,18.86,見其他登記事項,鋼筋混凝土造,80年4月3日,,
RPPNMLSKNHLFFAG28CA,18,33.10,見其他登記事項,鋼筋混凝土造,87年10月13日,六層,
RPPNMLSKNHLFFAG28CA,18,78.30,住家用,鋼筋混凝土造,87年10月13日,六層,一層
RPPNMLSKNHLFFAG28CA,18,6.11,見其他登記事項,鋼筋混凝土造,87年10月13日,六層,
RPPNMLNLNHLFFAG87CA,70,35.76,住家用,見其他登記事項,,一層,一層
RPOOMLQLNHLFFAG18CA,34,102.82,住家用,鋼筋混凝土造,71年6月14日,五層,二層
RPVOMLLJOHLFFAG28CA,32,87.40,住家用,鋼筋混凝土造,73年1月28日,五層,二層
RPVOMLLJOHLFFAG28CA,32,6.26,見其他登記事項,鋼筋混凝土造,73年1月28日,五層,
RPPNMLNJOHLFFAG77CA,33,29.50,住家用,鋼筋混凝土造,72年7月19日,十一層,十層
RPPNMLNJOHLFFAG77CA,33,5.44,見其他登記事項,鋼筋混凝土造,72年7月19日,十一層,
RPPNMLNJOHLFFAG77CA,,2.07,見其他登記事項,鋼筋混凝土造,,十層,
RPPPMLQKNHLFFBG38CA,22,88.96,住家用,鋼筋混凝土造,83年4月19日,七層,一層
