編號,車位類別,車位價格,車位面積平方公尺
RPROMLRKNHLFFAG48CA,坡道平面,0,
RPPNMLSKNHLFFAG28CA,坡道平面,0,21.52
RPQNMLRKNHLFFBG38CA,一樓平面,0,
RPUNMLRKNHLFFBG98EA,坡道平面,0,
RPPOMLTKNHLFFAG48CA,一樓平面,0,
RPVNMLSKNHLFFAG88CA,坡道平面,0,
RPWNMLLLNHLFFAG38CA,坡道平面,0,
RPUOMLNLNHLFFBG68DA,坡道平面,0,
RPSOMLPLNHLFFBG58CA,坡道平面,0,
RPPNMLQLNHLFFAG18CA,坡道平面,0,
RPTQMLRLNHLFFAG98CA,坡道平面,0,
RPQQMLRLNHLFFAG68CA,坡道平面,0,
RPUOMLMJOHLFFAG28CA,坡道平面,0,
RPQNMLNJOHLFFBG97CA,坡道平面,0,
RPQNMLNJOHLFFBG97CA,坡道平面,0,
RPQNMLNJOHLFFBG97CA,坡道平面,0,
RPRNMLNJOHLFFBG08CA,坡道平面,0,
RPQNMLSJOHLFFAG58EA,坡道平面,0,
