編號,車位類別,車位價格,車位面積平方公尺
RPVNMLQLNHLFFEH76CB,坡道平面,1300000,31.67
RPWNMLQLNHLFFEH86CB,坡道平面,1300000,31.67
RPXNMLQLNHLFFEH96CB,坡道平面,1300000,31.67
RPRNMLSLNHLFFEH56CB,坡道平面,1300000,31.67
RPSNMLSLNHLFFEH66CB,坡道平面,1300000,31.67
RPTNMLSLNHLFFEH76CB,坡道平面,1400000,31.67
RPUNMLSLNHLFFEH86CB,坡道平面,1300000,31.67
RPUNMLSLNHLFFEH86CB,坡道平面,1300000,31.67
RPVNMLSLNHLFFEH96CB,坡道平面,1300000,31.67
RPWNMLSLNHLFFEH07CB,坡道平面,1200000,29.65
RPXNMLSLNHLFFEH17CB,坡道平面,1300000,31.67
RPOOMLSLNHLFFEH98CB,坡道平面,1400000,31.67
RPPOMLSLNHLFFEH09CB,坡道平面,1400000,31.67
RPQOMLSLNHLFFEH56CB,坡道平面,1300000,31.67
RPROMLSLNHLFFEH66CB,坡道平面,1300000,31.67
RPSOMLSLNHLFFEH76CB,坡道平面,1200000,31.67
RPTOMLSLNHLFFEH86CB,坡道平面,1200000,29.65
RPSNMLLMNHLFFEH68CB,坡道平面,1300000,31.67
RPUNMLLMNHLFFEH88CB,坡道平面,1300000,31.67
RPWNMLLMNHLFFEH09CB,坡道平面,1300000,31.67
RPXNMLLMNHLFFEH56CB,坡道平面,1400000,31.67
RPXNMLLMNHLFFEH56CB,坡道平面,1400000,31.67
RPPOMLLMNHLFFEH48CB,坡道平面,1400000,31.67
RPQOMLLMNHLFFEH58CB,坡道平面,1300000,31.67
RPROMLLMNHLFFEH68CB,坡道平面,1300000,31.67
RPUOMLLMNHLFFEH98CB,坡道平面,1300000,31.67
RPWOMLLMNHLFFEH56CB,坡道平面,1200000,29.65
RPXOMLLMNHLFFEH66CB,坡道平面,1200000,29.65
RPOPMLLMNHLFFEH48CB,坡道平面,1400000,31.67
RPQPMLLMNHLFFEH68CB,坡道平面,1300000,31.67
RPRPMLLMNHLFFEH78CB,坡道平面,1300000,31.67
RPVPMLLMNHLFFEH56CB,坡道平面,1400000,31.67
RPWPMLLMNHLFFEH66CB,坡道平面,1200000,29.65
RPPQMLLMNHLFFEH68CB,坡道平面,1300000,31.67
RPQQMLLMNHLFFEH78CB,坡道平面,1300000,31.67
RPTQMLLMNHLFFEH09CB,坡道平面,1300000,31.67
RPUQMLLMNHLFFEH56CB,坡道平面,1300000,31.67
RPWQMLLMNHLFFEH76CB,坡道平面,1300000,31.67
RPXQMLLMNHLFFEH86CB,坡道平面,1300000,31.67
RPORMLLMNHLFFEH68CB,坡道平面,1200000,29.65
RPPRMLLMNHLFFEH78CB,坡道平面,1300000,31.67
RPQRMLLMNHLFFEH88CB,坡道平面,1400000,31.67
RPRRMLLMNHLFFEH98CB,坡道平面,1400000,31.67
RPTRMLLMNHLFFEH56CB,坡道平面,1300000,31.67
RPURMLLMNHLFFEH66CB,坡道平面,1300000,31.67
RPVRMLLMNHLFFEH76CB,坡道平面,1300000,31.67
