鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
龜山區,房地(土地+建物),桃園市龜山區文七五街1~30號,58.67,住,,,1050509,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850809,105.41,3,2,2,有,無,有,18000,171,,0.0,0,,RPUOMLQKNHLFFAH98CC
桃園區,房地(土地+建物),桃園市桃園區大興西路二段1~30號,16.99,住,,,1050417,土地1建物1車位0,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,131.69,3,2,2,有,有,無,13000,99,,0.0,0,,RPOTOLQKNHLFFAH09CC
中壢區,建物,桃園市中壢區慈惠二街1~30號,0.0,住,,,1050430,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711019,24.59,2,2,2,有,無,有,5000,203,,0.0,0,,RPSOMLQKNHLFFBH88CC
中壢區,建物,桃園市中壢區南園二路271~300號,0.0,住,,,1050429,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001109,134.79,3,2,2,有,有,無,13000,96,坡道平面,30.83,0,,RPUOMLQKNHLFFBH09CC
中壢區,建物,桃園市中壢區大同路151~180號,0.0,商,,,1050429,土地0建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,0920926,134.55,2,5,4,有,無,無,60000,446,,0.0,0,,RPQPMLQKNHLFFBH78CC
中壢區,建物,桃園市中壢區中正路31~60號,0.0,商,,,1050425,土地0建物1車位0,四層,12,其他,見其他登記事項,鋼筋混凝土造,0900110,373.68,0,0,0,無,有,無,180000,482,,0.0,0,,RPWPMLQKNHLFFBH76CC
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年二街31~60號,35.26,,鄉村區,乙種建築用地,1050502,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,153.98,3,2,2,有,有,有,13000,84,坡道平面,36.44,0,租金內含月管理費/＄1367元,RPROMLQKNHLFFCH88CC
楊梅區,建物,桃園市楊梅區金山街275巷31~60號,0.0,住,,,1050429,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925,85.09,3,2,2,有,有,無,10000,118,,0.0,0,,RPVPMLQKNHLFFDH86CC
八德區,房地(土地+建物),桃園市八德區介壽路二段685巷50弄38衖1~30號,21.54,,鄉村區,乙種建築用地,1050515,土地1建物1車位0,全,4,透天厝,住家用,加強磚造,0700726,84.0,3,2,2,有,無,有,9500,113,,0.0,0,,RPQOMLQKNHLFFFH09CC
八德區,建物,桃園市八德區豐田一街31~60號,0.0,住,,,1050429,土地0建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030526,118.32999999999998,3,2,2,有,有,有,16000,135,坡道平面,22.14,0,,RPROMLQKNHLFFFH56CC
