編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLQKNHLFFAH98CC,20,96.21,住家用,鋼筋混凝土造,85年8月9日,三層,
RPUOMLQKNHLFFAH98CC,20,9.20,共有部份,鋼筋混凝土造,85年8月9日,三層,
RPOTOLQKNHLFFAH09CC,22,113.47,住家用,鋼筋混凝土造,83年7月13日,十六層,
RPOTOLQKNHLFFAH09CC,22,17.79,共有部份,鋼筋混凝土造,83年7月13日,十七層,
RPOTOLQKNHLFFAH09CC,22,.43,共有部份,鋼筋混凝土造,83年7月13日,十七層,
RPSOMLQKNHLFFBH88CC,34,24.59,住家用,鋼筋混凝土造,71年10月19日,五層,
RPUOMLQKNHLFFBH09CC,4,72.11,見其他登記事項,鋼筋混凝土造,100年11月9日,十四層,
RPUOMLQKNHLFFBH09CC,4,62.68,見其他登記事項,鋼筋混凝土造,100年11月9日,十四層,
RPQPMLQKNHLFFBH78CC,13,134.55,見其他登記事項,見其他登記事項,92年9月26日,五層,
RPWPMLQKNHLFFBH76CC,15,288.88,見其他登記事項,鋼筋混凝土造,90年1月10日,十二層,
RPWPMLQKNHLFFBH76CC,15,5.50,共有部分,鋼筋混凝土造,90年1月10日,十二層,
RPWPMLQKNHLFFBH76CC,15,79.30,共有部分,鋼筋混凝土造,90年1月10日,十二層,
RPROMLQKNHLFFCH88CC,19,104.11,住家用,鋼筋混凝土造,86年6月26日,十五層,
RPROMLQKNHLFFCH88CC,19,6.17,共有部份,鋼筋混凝土造,86年6月26日,十五層,
RPROMLQKNHLFFCH88CC,19,1.81,共有部份,鋼筋混凝土造,86年6月26日,十八層,
RPROMLQKNHLFFCH88CC,19,38.25,見其他登記事項,鋼筋混凝土造,86年6月26日,十八層,
RPROMLQKNHLFFCH88CC,19,.05,共有部份,鋼筋混凝土造,86年6月26日,一層,
RPROMLQKNHLFFCH88CC,19,.01,共有部份,鋼筋混凝土造,86年1月30日,十八層,
