編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUOMLQKNHLFFAH98CC,興華段,58.67,都市：住
RPOTOLQKNHLFFAH09CC,中埔段,16.99,都市：住
RPSOMLQKNHLFFBH88CC,興南段興南小段,.00,都市：住
RPUOMLQKNHLFFBH09CC,培英段,.00,都市：住
RPQPMLQKNHLFFBH78CC,興南段中壢老小段,.00,都市：商
RPQPMLQKNHLFFBH78CC,興南段中壢老小段,.00,都市：商
RPWPMLQKNHLFFBH76CC,石頭段,.00,都市：商
RPROMLQKNHLFFCH88CC,潛龍段,34.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLQKNHLFFCH88CC,潛龍段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLQKNHLFFDH86CC,大金山下段大金山下小段,.00,都市：住
RPQOMLQKNHLFFFH09CC,瑞豐段,21.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLQKNHLFFFH56CC,豐田段,.00,都市：住
RPVOMLQKNHLFFFH96CC,福興段,.00,都市：商
RPPOMLQKNHLFFGH09CC,廣仁段,.00,都市：工
RPRPMLQKNHLFFBH98DC,興南段興南小段,3.48,都市：住
RPTPMLQKNHLFFBH56DC,培英段,23.12,都市：住
RPSPMLQKNHLFFAH98DC,興華段,597.00,都市：其他
RPXPNLRKNHLFFAH07DC,桃鶯段,83.71,都市：住
RPVOMLRKNHLFFFH27EC,興仁段,13.21,都市：商
RPWOMLRKNHLFFFH37EC,福興段,25.55,都市：住
RPTNMLRKNHLFFFH76CC,興豐段,.00,都市：住
RPVNMLRKNHLFFEH86CC,南崁廟口段羊稠坑小段,.00,都市：住
RPQPMLRKNHLFFBH88CC,中壢埔頂段,.00,都市：住
RPSPMLRKNHLFFBH09CC,自立段,20.01,都市：住
RPUPMLRKNHLFFBH66CC,自立段,26.83,都市：住
RPVPMLRKNHLFFBH76CC,自立段,18.22,都市：住
RPWPMLRKNHLFFAH76CC,富國段,18.86,都市：住
RPWPMLRKNHLFFAH76CC,富國段,.08,都市：住
RPUNMLSKNHLFFBH56CC,普仁段,.00,都市：商
RPUPMLSKNHLFFBH86DC,東寮段,.00,非都市： ; 非都市編定：
RPUNMLTKNHLFFCH86DC,太武段,93.85,都市：住
RPPOMLTKNHLFFEH56CC,大牛稠段大牛稠小段,132.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLTKNHLFFEH56CC,大牛稠段大牛稠小段,10.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLTKNHLFFAH78CC,龍鳳段,1047.33,都市：工
RPTQMLTKNHLFFAH76CC,寶山段,137.51,都市：住
RPRQMLKLNHLFFAH38CC,東嶺段,.00,都市：工
RPUQMLKLNHLFFAH68CC,慈文段,15.35,都市：住
RPQOMLKLNHLFFDH38CC,大金山下段大金山下小段,.00,都市：住
RPTOMLKLNHLFFBH48CC,石頭段,.00,都市：商
RPWOMLKLNHLFFBH78CC,復興段,.00,都市：住
RPOPMLKLNHLFFBH08CC,自立段,.00,都市：其他
RPVNMLKLNHLFFBH78EC,中興段,93.97,都市：住
RPVNMLKLNHLFFBH78EC,中興段,21.73,都市：住
RPPNMLLLNHLFFBH18DC,石頭段,7.30,都市：商
RPPNMLLLNHLFFAH97CC,牛角坡段牛角坡小段,655.00,都市：農
RPPNMLMLNHLFFBH28DC,三座屋段三座屋小段,1.24,都市：住
RPPNMLMLNHLFFBH28DC,三民段,5.78,都市：住
RPVNMLNLNHLFFBH98DC,復興段,11.69,都市：住
RPOOMLNLNHLFFBH38DC,復興段,21.12,都市：住
RPROMLNLNHLFFBH68DC,忠孝段,70.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNLNHLFFBH78DC,復興段,134.00,都市：住
RPTNMLNLNHLFFDH98DC,草湳坡段埔心小段,96.00,都市：其他
RPTNMLNLNHLFFFH56DC,福興段,6.61,都市：住
RPTNMLNLNHLFFFH56DC,福興段,4.43,都市：住
RPQNMLNLNHLFFGH98DC,金鍊段,17.42,都市：住
RPSPMLNLNHLFFAH68CC,成功段,.00,都市：住
