鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿林森東路721~750號,41.69,住,,,1050423,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920317,168.45999999999998,3,2,2,有,有,4580000,27187,坡道平面,0.0,0,,RPPOMLRKNHLFFAI48CA
嘉義市,土地,荖藤段751~780地號,1551.0,農,,,1050411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11260000,7260,,0.0,0,,RPSNMLSKNHLFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街731巷31~60號,92.0,住,,,1050417,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1040626,205.45,4,2,3,有,無,13100000,63762,,0.0,0,,RPUNMLMLNHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路297巷1~30號,105.62,商,,,1040201,土地3建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,見其他登記事項,1050303,632.27,10,8,13,有,無,36740000,,,0.0,0,,RPOOMLQLNHLFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路297巷1~30號,105.62,商,,,1040201,土地3建物1車位0,一層,一層,店面(店鋪),見其他登記事項,見其他登記事項,1050303,67.25,0,0,1,有,無,26420000,392862,,0.0,0,,SPOOMLQLNHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路297巷1~30號,121.62,商,,,1040210,土地3建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,見其他登記事項,1050303,368.81,5,4,7,有,無,34140000,92568,,0.0,0,,RPPOMLQLNHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路297巷1~30號,107.62,商,,,1041017,土地3建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,見其他登記事項,1050303,366.66,5,4,7,有,無,32000000,87274,,0.0,0,,RPPNMLRLNHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路271~300號,99.88,商,,,1040127,土地2建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,見其他登記事項,1050303,354.65,5,4,7,有,無,33650000,94882,,0.0,0,,RPQNMLRLNHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿貴州街31~60號,20.22,住,,,1050427,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810728,128.08,3,2,2,有,有,3850000,30059,,0.0,0,,RPXNMLMJOHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿新建街8巷1~30號,101.0,住,,,1050503,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0830305,367.69,8,2,5,有,無,11500000,31276,,0.0,0,,RPOOMLNJOHLFFAI97CA
