編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPOMLRKNHLFFAI48CA,盧厝段,41.69,都市：住
RPSNMLSKNHLFFAI78CA,荖藤段,1551.00,都市：農
RPUNMLMLNHLFFAI48CA,中庄段,92.00,都市：住
RPOOMLQLNHLFFAI38CA,檜段三小段,96.00,都市：商
RPOOMLQLNHLFFAI38CA,檜段三小段,5.75,都市：商
RPOOMLQLNHLFFAI38CA,檜段三小段,3.88,都市：商
SPOOMLQLNHLFFAI48CA,檜段三小段,96.00,都市：商
SPOOMLQLNHLFFAI48CA,檜段三小段,5.75,都市：商
SPOOMLQLNHLFFAI48CA,檜段三小段,3.88,都市：商
RPPOMLQLNHLFFAI48CA,檜段三小段,112.00,都市：商
RPPOMLQLNHLFFAI48CA,檜段三小段,5.75,都市：商
RPPOMLQLNHLFFAI48CA,檜段三小段,3.88,都市：商
RPPNMLRLNHLFFAI48CA,檜段三小段,98.00,都市：商
RPPNMLRLNHLFFAI48CA,檜段三小段,5.75,都市：商
RPPNMLRLNHLFFAI48CA,檜段三小段,3.88,都市：商
RPQNMLRLNHLFFAI58CA,檜段三小段,3.88,都市：商
RPQNMLRLNHLFFAI58CA,檜段三小段,96.00,都市：商
RPXNMLMJOHLFFAI68CA,車店段,19.06,都市：住
RPXNMLMJOHLFFAI68CA,車店段,1.16,都市：住
RPOOMLNJOHLFFAI97CA,車店段,101.00,都市：住
RPPNMLPJOHLFFAI18CA,竹圍子段二小段,15.33,都市：住
RPUNMLNKOHLFFAI58CA,下路頭段,110.00,都市：住
RPUNMLNKOHLFFAI58CA,下路頭段,16.00,都市：住
RPVNMLNKOHLFFAI68CA,新富段三小段,4.90,都市：住
RPVNMLNKOHLFFAI68CA,新富段三小段,5.30,都市：商
RPVNMLQKNHLFFAI98DA,遠東段,14.93,都市：住
RPXNMLRKNHLFFAI66DA,劉厝段玉山小段,170.50,都市：住
RPSNMLNLNHLFFAI58EA,末廣段二小段,12.00,都市：商
RPSNMLNLNHLFFAI58EA,末廣段二小段,89.00,都市：商
RPPNMLSKNHLFFAI68EA,車店段,9.75,都市：住
RPPNMLSKNHLFFAI68EA,白川段,6.90,都市：住
RPRNMLOLNHLFFAI38CA,北園段,16.01,都市：住
RPUNMLSKNHLFFAI98CA,港子坪段,7.82,都市：住
RPUNMLSKNHLFFAI98CA,港子坪段,5.79,都市：住
RPUNMLSKNHLFFAI98CA,港子坪段,4.76,都市：住
RPUNMLSKNHLFFAI98CA,港子坪段,6.03,都市：住
RPUNMLSKNHLFFAI98CA,港子坪段,80.00,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,88.20,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,18.10,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,37.54,都市：農
RPQOMLKLNHLFFAI97CA,盧東段,3.18,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,11.30,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,.19,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,19.41,都市：住
RPQOMLKLNHLFFAI97CA,盧東段,.60,都市：住
RPRNMLSLNHLFFAI78CA,盧厝段,72.00,都市：住
RPXNMLOLNHLFFAI98CA,車店段車店小段,8.41,都市：住
RPWNMLMLNHLFFAI68CA,興村段,67.00,都市：住
RPPNMLRJOHLFFAI38CA,竹村段,23.07,都市：住
RPRNMLSJOHLFFAI68CA,車店段車店小段,5.96,都市：住
RPPNMLTJOHLFFAI58CA,竹圍子段二小段,12.08,都市：住
RPQNMLTJOHLFFAI68CA,車店段車店小段,24.47,都市：住
RPSNMLNKOHLFFAI38CA,北社尾段保安小段,11.62,都市：住
RPSNMLOLNHLFFAI68EA,盧厝段,25.00,都市：住
RPSNMLOLNHLFFAI68EA,盧厝段,10.00,都市：住
RPTNMLPLNHLFFAI88EA,興村段,15.08,都市：住
RPTNMLPKOHLFFAI68CA,北社尾段保安小段,12.94,都市：住
RPUOMLRJOHLFFAI98CA,北園段,33.94,都市：住
RPVOMLRJOHLFFAI09CA,北園段,85.75,都市：住
RPWOMLRJOHLFFAI56CA,北園段,7.15,都市：住
RPTNMLNLNHLFFAI48CA,盧東段,123.20,都市：住
RPTNMLNLNHLFFAI48CA,盧東段,3.18,都市：住
RPTNMLNLNHLFFAI48CA,盧東段,11.30,都市：住
RPTNMLNLNHLFFAI48CA,盧東段,.19,都市：住
RPTNMLNLNHLFFAI48CA,盧東段,19.41,都市：住
RPTNMLNLNHLFFAI48CA,盧東段,.60,都市：住
RPTNMLOLNHLFFAI58CA,西門段二小段,22.57,都市：商
RPPNMLPLNHLFFAI28CA,車店段車店小段,88.00,都市：住
RPRNMLPLNHLFFAI68EA,長竹段,137.00,都市：農
RPRNMLPLNHLFFAI68EA,長竹段,56.00,都市：其他
RPUNMLQLNHLFFAI09EA,埤子頭段,108.00,都市：住
RPUNMLQLNHLFFAI09EA,埤子頭段,22.00,都市：住
RPTNMLRLNHLFFAI09EA,埤子頭段,104.00,都市：住
RPTNMLRLNHLFFAI09EA,埤子頭段,67.00,都市：其他
RPRNMLNLOHLFFAI38CA,北園段,68.75,都市：住
RPRNMLNLOHLFFAI38CA,北園段,64.03,都市：住
RPVNMLLLOHLFFAI58CA,北園段,34.38,都市：住
RPVNMLLLOHLFFAI58CA,北園段,42.69,都市：住
RPWNMLLLOHLFFAI68CA,北園段,85.94,都市：住
RPWNMLLLOHLFFAI68CA,北園段,53.36,都市：住
RPXNMLLLOHLFFAI78CA,北園段,22.92,都市：住
RPXNMLLLOHLFFAI78CA,北園段,14.23,都市：住
RPOOMLLLOHLFFAI97CA,北園段,45.83,都市：住
RPOOMLLLOHLFFAI97CA,北園段,56.92,都市：住
RPPOMLLLOHLFFAI08CA,北園段,45.83,都市：住
RPPOMLLLOHLFFAI08CA,北園段,56.92,都市：住
RPPNMLSKOHLFFAI58CA,埤子頭段,79.00,都市：住
RPOOMLKLOHLFFAI87CA,下路頭段,91.00,都市：住
RPPNMLLLOHLFFAI97CA,下路頭段,93.00,都市：住
RPRNMLLLOHLFFAI18CA,北園段,108.85,都市：住
RPRNMLLLOHLFFAI18CA,北園段,81.82,都市：住
RPSNMLLLOHLFFAI28CA,北園段,45.83,都市：住
RPSNMLLLOHLFFAI28CA,北園段,42.69,都市：住
RPTNMLLLOHLFFAI38CA,北園段,137.50,都市：住
RPTNMLLLOHLFFAI38CA,北園段,85.38,都市：住
RPRNMLRLNHLFFAI68CA,新厝段,61.00,都市：住
RPVNMLMJOHLFFAI48CA,港子坪段港坪小段,35.91,都市：住
RPRNMLQLNHLFFAI58CA,同興段,1426.00,都市：工
RPRNMLTJOHLFFAI78CA,港子坪段港坪小段,142.00,都市：住
RPXNMLSJOHLFFAI66CA,下路頭段,4.87,都市：住
RPXNMLSJOHLFFAI66CA,下路頭段,9.90,都市：住
RPXNMLSJOHLFFAI66CA,湖內段,.32,都市：住
RPXNMLSJOHLFFAI66CA,湖內段,3.40,都市：住
RPXNMLSJOHLFFAI66CA,湖內段,4.98,都市：住
RPVOMLSJOHLFFAI56CA,興村段,122.00,都市：住
RPPNMLMJOHLFFAI87CA,八掌段,14.95,都市：住
RPPNMLMJOHLFFAI87CA,八掌段,11.88,都市：住
RPPNMLMJOHLFFAI87CA,八掌段,138.60,都市：住
RPPNMLMJOHLFFAI87CA,八掌段,6.28,都市：住
RPPNMLMJOHLFFAI87CA,八掌段,173.77,都市：農
RPUNMLPLNHLFFAI78CA,西門段二小段,15.44,都市：商
RPPNMLQLNHLFFAI38CA,白川段,24.00,都市：住
RPPNMLQLNHLFFAI38CA,白川段,18.00,都市：住
RPQNMLQLNHLFFAI48CA,育人段,20.50,都市：住
RPUNMLLJOHLFFAI28CA,何庄段,37.09,都市：住
RPUNMLLJOHLFFAI28CA,何庄段,30.03,都市：住
RPVNMLSLNHLFFAI56CA,長竹段,198.00,都市：住
RPWNMLSLNHLFFAI66CA,白川段,75.00,都市：住
RPTNMLSKOHLFFAI98CA,榮段六小段,184.00,都市：商
RPWNMLSKOHLFFAI66CA,盧厝段,43.56,都市：住
RPOOMLOKOHLFFAI18CA,竹圍子段,5.00,都市：住
RPOOMLOKOHLFFAI18CA,竹圍子段,203.00,都市：商
RPVNMLPLNHLFFAI09EA,盧厝段,10.00,都市：住
RPVNMLPLNHLFFAI09EA,盧厝段,11.00,都市：住
RPTNMLQLNHLFFAI98EA,車店段,76.69,都市：住
RPTNMLQLNHLFFAI98EA,車店段,5.27,都市：住
RPTNMLQLNHLFFAI98EA,車店段,17.72,都市：住
RPUNMLOLOHLFFAI78CA,車店段,286.50,都市：住
RPPOMLOKOHLFFAI28CA,北園段,997.00,都市：住
RPQNMLSKOHLFFAI68CA,新富段七小段,77.00,都市：商
RPSNMLLMNHLFFAI28CA,盧東段,100.28,都市：住
RPSNMLLMNHLFFAI28CA,盧東段,26.51,都市：農
RPSNMLLMNHLFFAI28CA,盧東段,3.18,都市：住
RPSNMLLMNHLFFAI28CA,盧東段,11.30,都市：住
RPSNMLLMNHLFFAI28CA,盧東段,.19,都市：住
RPSNMLLMNHLFFAI28CA,盧東段,19.41,都市：住
RPSNMLLMNHLFFAI28CA,盧東段,.60,都市：住
RPSNMLSJOHLFFAI78CA,港子坪段,243.00,都市：住
RPWNMLLJOHLFFAI48CA,南門段六小段,2.61,都市：商
RPWNMLLJOHLFFAI48CA,元段六小段,10.35,都市：商
RPWNMLLJOHLFFAI48CA,元段六小段,7.14,都市：商
