編號,車位類別,車位價格,車位面積平方公尺
RPPOMLRKNHLFFAI48CA,坡道平面,0,
RPPNMLPJOHLFFAI18CA,坡道機械,0,
RPUNMLSKNHLFFAI98CA,一樓平面,0,
RPPNMLTJOHLFFAI58CA,坡道機械,0,
RPQNMLTJOHLFFAI68CA,坡道平面,0,
RPWNMLSKOHLFFAI66CA,坡道平面,0,
RPWNMLLJOHLFFAI48CA,坡道平面,0,14.00
RPVNMLSJOHLFFAI09CA,坡道機械,0,
RPROMLOJOHLFFAI38CA,坡道機械,100000,
RPRNMLMJOHLFFAI08CA,一樓平面,0,12.50
RPRNMLMJOHLFFAI08CA,一樓平面,0,12.50
RPRNMLNKOHLFFAI28CA,升降機械,0,
RPVNMLKLOHLFFAI48CA,其他,0,
RPSNMLSLOHLFFAI98CA,坡道平面,0,
RPSNMLLJOHLFFAI08CA,坡道平面,0,
RPSOMLOJOHLFFAI48CA,坡道機械,315000,
