編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLRKNHLFFBJ68CA,1,243.87,住商用,鋼筋混凝土造,104年7月14日,四層,一層 二層 三層 四層 屋頂突出物
RPXOMLRKNHLFFBJ86CA,10,122.38,住家用,鋼筋混凝土造,95年5月19日,十五層,四層
RPXOMLRKNHLFFBJ86CA,10,17.78,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPXOMLRKNHLFFBJ86CA,10,32.45,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPXOMLRKNHLFFBJ86CA,10,.06,見其他登記事項,鋼筋混凝土造,95年5月19日,十五層,一層
RPXOMLRKNHLFFBJ86CA,10,19.80,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPQNMLTKNHLFFBJ88CA,13,224.91,住家用,鋼筋混凝土造,91年12月20日,四層,一層 二層 三層 四層
RPXNMLKLNHLFFBJ78CA,3,250.44,住家用,鋼筋混凝土造,102年5月15日,二十四層,三層
RPXNMLKLNHLFFBJ78CA,3,115.16,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPXNMLKLNHLFFBJ78CA,3,53.84,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPOQMLKLNHLFFBJ18CA,2,133.40,住家用,鋼筋混凝土造,103年9月24日,二十三層,十四層
RPOQMLKLNHLFFBJ18CA,2,52.61,見其他登記事項,鋼筋混凝土造,103年9月24日,二十三層,
RPOQMLKLNHLFFBJ18CA,2,11.00,見其他登記事項,鋼筋混凝土造,103年9月24日,二十三層,
RPOQMLKLNHLFFBJ18CA,2,23.46,見其他登記事項,鋼筋混凝土造,103年9月24日,二十三層,
RPPNMLMLNHLFFBJ18CA,11,24.71,共有部份,鋼筋混凝土造,94年9月23日,十五層,
RPPNMLMLNHLFFBJ18CA,11,.03,見其他登記事項,鋼筋混凝土造,94年9月23日,十五層,一層
RPPNMLMLNHLFFBJ18CA,11,91.42,住家用,鋼筋混凝土造,94年9月23日,十四層,五層
RPPNMLMLNHLFFBJ18CA,11,11.30,共有部份,鋼筋混凝土造,94年9月23日,十四層,
RPPNMLMLNHLFFBJ18CA,11,19.15,共有部份,鋼筋混凝土造,94年9月23日,十五層,
RPRNMLMLNHLFFBJ38CA,14,.10,見其他登記事項,鋼筋混凝土造,91年7月30日,十層,一層
RPRNMLMLNHLFFBJ38CA,14,.01,共有部份,鋼筋混凝土造,91年7月30日,十層,
RPRNMLMLNHLFFBJ38CA,14,26.47,共有部份,鋼筋混凝土造,91年7月30日,十層,
RPRNMLMLNHLFFBJ38CA,14,82.25,住家用,鋼筋混凝土造,91年7月30日,十層,三層
RPRNMLMLNHLFFBJ38CA,14,13.04,共有部份,鋼筋混凝土造,91年7月30日,十層,
RPRNMLMLNHLFFBJ38CA,14,20.66,共有部份,鋼筋混凝土造,91年7月30日,十層,
RPWNMLNLNHLFFBJ98CA,18,85.53,住家用,鋼筋混凝土造,87年9月1日,十層,四層
RPWNMLNLNHLFFBJ98CA,18,8.90,共有部份,鋼筋混凝土造,87年9月1日,十層,
RPWNMLNLNHLFFBJ98CA,18,15.29,共有部份,鋼筋混凝土造,87年9月1日,十層,
RPWNMLNLNHLFFBJ98CA,18,.32,住家用,鋼筋混凝土造,87年9月1日,十層,一層
RPVOMLNLNHLFFBJ98CA,3,255.33,住家用,鋼筋混凝土造,102年5月15日,二十四層,七層
RPVOMLNLNHLFFBJ98CA,3,53.84,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPVOMLNLNHLFFBJ98CA,3,146.37,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPPPMLQLNHLFFBJ78CA,,1.32,見其他登記事項,鋼筋混凝土造,105年3月11日,十三層,一層
RPPPMLQLNHLFFBJ78CA,,.11,見其他登記事項,鋼筋混凝土造,105年3月11日,十三層,
RPPPMLQLNHLFFBJ78CA,,93.40,住家用,鋼筋混凝土造,105年3月11日,十三層,一層
RPPPMLQLNHLFFBJ78CA,,130.65,見其他登記事項,鋼筋混凝土造,105年3月11日,十三層,
RPUQMLQLNHLFFBJ76CA,,1.32,見其他登記事項,鋼筋混凝土造,105年3月11日,十三層,一層
RPUQMLQLNHLFFBJ76CA,,.11,見其他登記事項,鋼筋混凝土造,105年3月11日,十三層,
RPUQMLQLNHLFFBJ76CA,,94.47,住家用,鋼筋混凝土造,105年3月11日,十三層,五層
RPUQMLQLNHLFFBJ76CA,,131.17,見其他登記事項,鋼筋混凝土造,105年3月11日,十三層,
RPOSMLQLNHLFFBJ98CA,12,24.36,住家用,鋼筋混凝土造,93年6月11日,十四層,八層
RPOSMLQLNHLFFBJ98CA,12,4.09,共用部分,鋼筋混凝土造,93年6月11日,十四層,
