編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLQKNHLFFBJ86CC,34,202.86,住家用,鋼筋混凝土造,71年1月22日,三層,
RPOOMLQKNHLFFBJ68CC,12,90.15,住家用,鋼筋混凝土造,93年5月17日,二十一層,
RPOOMLQKNHLFFBJ68CC,12,20.02,共用部分,鋼筋混凝土造,93年5月17日,二十一層,
RPOOMLQKNHLFFBJ68CC,12,6.79,共用部分,鋼筋混凝土造,93年5月17日,二十一層,
RPQOMLQKNHLFFBJ88CC,5,124.51,住家用,鋼筋混凝土造,100年5月10日,十九層,
RPQOMLQKNHLFFBJ88CC,5,91.34,見其他登記事項,鋼筋混凝土造,100年5月10日,十九層,
RPQOMLNLNHLFFBJ68CC,7,258.00,住商用,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLNLNHLFFBJ68CC,7,10.93,住商用,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLNLNHLFFBJ68CC,7,31.08,共有部份,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLNLNHLFFBJ68CC,7,38.23,共有部份,鋼筋混凝土造,98年1月6日,十四層,
RPSOMLOLNHLFFBJ98CC,1,251.58,見其他登記事項,鋼筋混凝土造,103年12月1日,四層,
RPVOMLRLNHLFFBJ96CC,6,107.65,住家用,鋼筋混凝土造,99年1月18日,四層,
RPVOMLRLNHLFFBJ96CC,6,43.02,共用部分,鋼筋混凝土造,99年1月18日,四層,
RPVOMLRLNHLFFBJ96CC,6,10.13,共用部分,鋼筋混凝土造,99年1月18日,四層,
RPWOMLRLNHLFFBJ07CC,2,169.81,住家用,鋼筋混凝土造,102年11月7日,二十二層,
RPWOMLRLNHLFFBJ07CC,2,33.72,見其他登記事項,鋼筋混凝土造,102年11月6日,二十二層,
RPXOMLRLNHLFFBJ17CC,5,115.69,住家用,鋼筋混凝土造,100年7月20日,十三層,
RPXOMLRLNHLFFBJ17CC,5,26.51,見其他登記事項,鋼筋混凝土造,100年7月20日,十三層,
RPOPMLRLNHLFFBJ98CC,1,103.53,住家用,鋼筋混凝土造,104年4月17日,二十九層,
RPOPMLRLNHLFFBJ98CC,1,6.40,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPTPMLRLNHLFFBJ86CC,13,87.85,住家用,鋼筋混凝土造,92年8月27日,十層,
RPTPMLRLNHLFFBJ86CC,13,12.56,共用部分,鋼筋混凝土造,92年8月27日,十層,
RPTPMLRLNHLFFBJ86CC,13,19.13,共用部分,鋼筋混凝土造,92年8月27日,十層,
RPOQMLKMNHLFFBJ48CC,1,74.41,住家用,鋼筋混凝土造,104年9月1日,十四層,
RPOQMLKMNHLFFBJ48CC,1,25.72,見其他登記事項,鋼筋混凝土造,104年9月1日,十四層,
RPVRMLKMNHLFFBJ66CC,8,111.42,住家用,鋼筋混凝土造,97年8月25日,十四層,
RPVRMLKMNHLFFBJ66CC,8,24.03,共用部分,鋼筋混凝土造,97年8月25日,十四層,
RPPSMLKMNHLFFBJ78CC,5,91.27,住家用,鋼筋混凝土造,99年12月14日,十三層,
RPPSMLKMNHLFFBJ78CC,5,81.02,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPSSMLKMNHLFFBJ09CC,1,93.47,住家用,鋼筋混凝土造,104年9月17日,十四層,
RPSSMLKMNHLFFBJ09CC,1,58.51,見其他登記事項,鋼筋混凝土造,104年9月17日,十四層,
RPSSMLKMNHLFFBJ09CC,1,16.83,見其他登記事項,鋼筋混凝土造,104年9月17日,十四層,
RPTSMLKMNHLFFBJ56CC,4,97.79,住家用,鋼筋混凝土造,100年12月22日,十三層,
RPTSMLKMNHLFFBJ56CC,4,18.93,見其他登記事項,鋼筋混凝土造,100年12月22日,十三層,
RPTSMLKMNHLFFBJ56CC,4,42.94,見其他登記事項,鋼筋混凝土造,100年12月22日,十三層,
RPUSMLKMNHLFFBJ66CC,12,87.62,住家用,鋼筋混凝土造,93年5月24日,十四層,
RPUSMLKMNHLFFBJ66CC,12,9.60,共用部分,鋼筋混凝土造,93年5月24日,十四層,
RPUSMLKMNHLFFBJ66CC,12,39.06,共用部分,鋼筋混凝土造,93年5月24日,十四層,
RPWSMLKMNHLFFBJ86CC,8,22.57,商業用,鋼筋混凝土造,97年6月19日,八層,
RPXSMLKMNHLFFBJ96CC,2,152.11,住家用,鋼筋混凝土造,102年11月21日,五層,
RPXSMLKMNHLFFBJ96CC,2,65.54,見其他登記事項,鋼筋混凝土造,102年11月21日,五層,
RPQTMLKMNHLFFBJ98CC,3,67.48,商業用,鋼筋混凝土造,102年4月25日,十二層,
RPQTMLKMNHLFFBJ98CC,3,10.08,商業用,鋼筋混凝土造,102年4月25日,十二層,
RPQTMLKMNHLFFBJ98CC,3,51.65,見其他登記事項,鋼筋混凝土造,102年4月25日,十二層,
RPQTMLKMNHLFFBJ98CC,3,15.25,見其他登記事項,鋼筋混凝土造,102年4月25日,十二層,
RPPOMLLMNHLFFBJ48CC,9,53.78,商業用,鋼筋混凝土造,96年5月28日,二十三層,
RPPOMLLMNHLFFBJ48CC,9,20.83,共用部分,鋼筋混凝土造,96年5月28日,二十三層,
RPPOMLLMNHLFFBJ48CC,9,12.04,共用部分,鋼筋混凝土造,96年5月28日,二十三層,
RPQOMLLMNHLFFBJ58CC,5,93.21,住家用,鋼筋混凝土造,100年7月21日,十二層,
RPQOMLLMNHLFFBJ58CC,5,50.08,見其他登記事項,鋼筋混凝土造,100年7月21日,十二層,
RPQOMLLMNHLFFBJ58CC,5,18.45,見其他登記事項,鋼筋混凝土造,100年7月21日,十二層,
RPROMLLMNHLFFBJ68CC,22,92.62,住商用,鋼筋混凝土造,83年3月30日,二層,
RPSOMLLMNHLFFBJ78CC,9,172.75,住商用,鋼筋混凝土造,96年10月25日,十二層,
RPSOMLLMNHLFFBJ78CC,9,34.91,共用部分,鋼筋混凝土造,96年10月25日,十二層,
RPSOMLLMNHLFFBJ78CC,9,56.31,共用部分,鋼筋混凝土造,96年10月25日,十二層,
RPSOMLLMNHLFFBJ78CC,9,.24,見其他登記事項,鋼筋混凝土造,96年10月25日,十二層,
