編號,車位類別,車位價格,車位面積平方公尺
RPOOMLQKNHLFFBJ68CC,坡道平面,0,
RPQOMLQKNHLFFBJ88CC,坡道平面,0,
RPVOMLRLNHLFFBJ96CC,一樓平面,0,
RPWOMLRLNHLFFBJ07CC,坡道平面,0,
RPWOMLRLNHLFFBJ07CC,坡道平面,0,
RPXOMLRLNHLFFBJ17CC,坡道平面,0,
RPOPMLRLNHLFFBJ98CC,坡道平面,0,
RPTPMLRLNHLFFBJ86CC,坡道平面,0,
RPOQMLKMNHLFFBJ48CC,坡道平面,0,
RPPSMLKMNHLFFBJ78CC,坡道平面,0,
RPPSMLKMNHLFFBJ78CC,坡道平面,0,
RPSSMLKMNHLFFBJ09CC,坡道平面,0,
RPTSMLKMNHLFFBJ56CC,坡道平面,0,
RPUSMLKMNHLFFBJ66CC,坡道平面,0,
RPXSMLKMNHLFFBJ96CC,其他,0,
RPXSMLKMNHLFFBJ96CC,其他,0,
RPQTMLKMNHLFFBJ98CC,坡道平面,0,33.85
RPPOMLLMNHLFFBJ48CC,坡道平面,0,
RPQOMLLMNHLFFBJ58CC,坡道平面,0,
RPSOMLLMNHLFFBJ78CC,坡道平面,0,
