鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苗栗市,房地(土地+建物),苗栗縣苗栗巿福安里2鄰中華路436巷1~30號,15.61,住,,,1050422,土地2建物1車位0,六層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820603,88.97,2,2,1,有,有,2060000,23154,,0.0,0,,RPPNMLSKNHLFFBK78CA
公館鄉,土地,尖山段31~60地號,13.67,,特定農業區,農牧用地,1050425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57400,4199,,0.0,0,,RPPNMLMLNHLFFBK28CA
公館鄉,房地(土地+建物),苗栗縣公館鄉尖山村3鄰尖山31~60號,170.0,,特定農業區,甲種建築用地,1050425,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850208,224.85,4,2,3,有,無,4320000,19213,,0.0,0,,RPQNMLMLNHLFFBK38CA
通霄鎮,土地,白東段391~420地號,1371.29,,山坡地保育區,農牧用地,1050406,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,310000,226,,0.0,0,"1.本案承買人外加負擔土地增稅7,459元及負擔整地費用。",RPQNMLNLNHLFFCK58CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專六路178巷1~30號,80.82,住,,,1050501,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040306,116.06,3,2,3,有,無,7500000,64622,,0.0,0,,RPUNMLQKNHLFFDK66CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮山佳里26鄰佳北一街109巷1~30號,34.6,住,,,1050401,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041116,105.80000000000001,2,2,2,有,有,4330000,40926,,0.0,0,,RPQNMLRKNHLFFDK98CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍鳳里13鄰龍安街113巷1~30號,73.39,住,,,1050408,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701010,96.52,6,2,3,有,無,5430000,56258,,0.0,0,含增建或未登記建物。,RPRNMLRKNHLFFDK09CA
竹南鎮,土地,天聲段901~930地號,1794.64,住,,,1050128,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65145600,36300,,0.0,0,增值稅由買方支付共計3497195元正,RPPOMLTKNHLFFDK56CA
後龍鎮,土地,外埔段2041~2070地號,1260.0,,特定農業區,農牧用地,1050320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1950000,1548,,0.0,0,,RPROMLTKNHLFFDK76CA
竹南鎮,土地,大同段1231~1260地號,210.86,住,,,1050426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15100000,71611,,0.0,0,,RPTNMLPLNHLFFDK56CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮開元里3鄰平等街一段61~90號,10.51,商,,,1050424,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030929,108.19,2,1,1,有,有,4500000,41593,坡道平面,24.28,0,,RPPNMLQLNHLFFDK88CA
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉中平村25鄰中興二街91~120號,119.26,,工業區,丁種建築用地,1050425,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041214,248.65,4,2,4,有,無,7200000,28956,,0.0,0,,RPQNMLOKOHLFFEK88CA
三灣鄉,土地,崁頂寮段61~90地號,23055.0,,山坡地保育區,農牧用地,1050308,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,477,,0.0,0,,RPQNMLRKNHLFFFK56CA
頭份鎮,土地,尖山下段1501~1530地號,1002.0,,特定農業區,農牧用地,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2550000,2545,,0.0,0,,RPTNMLRKNHLFFFK86CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮珊湖里16鄰中正三路61~90號,129.14,,鄉村區,乙種建築用地,1050424,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0800603,167.08,3,2,2,有,無,5850000,35013,,0.0,0,,RPTNMLTKNHLFFFK07CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮崎頂里18鄰仁愛路2201巷5弄31~60號,75.01,,一般農業區,甲種建築用地,1050509,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870123,114.1,3,1,3,有,無,3000000,26293,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSJOHLFFDK76DA
後龍鎮,土地,新港段後壁厝小段31~60地號,229.0,,鄉村區,乙種建築用地,1050315,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3091500,13500,,0.0,0,向政府機關承購之案件。地籍清理標售,RPRNMLNKOHLFFDK88DA
後龍鎮,土地,苦苓腳段3241~3270地號,609.33,,特定農業區,甲種建築用地,1050505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1888933,3100,,0.0,0,,RPTNMLNKOHLFFDK09DA
三灣鄉,土地,下林坪段1~30地號,1379.43,,山坡地保育區,農牧用地,1050428,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,652,,0.0,0,,RPVNMLKMNHLFFFK66DA
三灣鄉,土地,下林坪段1~30地號,1770.43,,山坡地保育區,農牧用地,1050429,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,480,,0.0,0,,RPWNMLKMNHLFFFK76DA
頭份鎮,房地(土地+建物)+車位,苗栗縣頭份鎮中正北路229巷31~60號,42.71,住,,,1050415,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031222,132.62,2,2,2,有,無,4300000,32423,一樓平面,0.0,0,,RPRNMLOKOHLFFFK56DA
頭份鎮,土地,藤坪段1591~1620地號,396.51,,特定農業區,農牧用地,1050303,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,883,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLKLNHLFFFK98CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮田寮里7鄰南田街181~210號,45.95,住,,,1030414,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050119,143.85,4,2,2,有,無,5500000,38234,,0.0,0,建物買賣價格含一樓共有約定專用一個位置。,RPPNMLLLNHLFFFK58CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮民生里1鄰新生街16巷31~60號,85.92,住,,,1050406,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0710520,102.96,3,2,2,有,無,4000000,38850,,0.0,0,,RPRNMLNLNHLFFFK98CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮仁愛里13鄰銀河北路1~30號,4.13,商,,,1050507,土地0建物1車位0,五層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860619,25.34,1,1,1,有,無,938000,37017,,0.0,0,,RPPNMLSKNHLFFFK56CA
頭份鎮,土地,流東段361~390地號,3035.57,,山坡地保育區,農牧用地,1050414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15600000,5139,,0.0,0,,RPRNMLSKNHLFFFK76CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮成功里7鄰山下街61~90號,200.31,住,,,1050328,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0760903,250.39,6,2,3,有,無,13500000,53916,,0.0,0,,RPSNMLSKNHLFFFK86CA
