編號,車位類別,車位價格,車位面積平方公尺
RPPNMLQLNHLFFDK88CA,坡道平面,0,24.28
RPRNMLOKOHLFFFK56DA,一樓平面,0,
RPQNMLTKNHLFFDK56CA,一樓平面,0,
RPRNMLSKNHLFFBK98CA,坡道平面,0,
RPVOMLOKOHLFFBK56CA,坡道平面,0,26.53
RPVNMLTKNHLFFFK27CA,坡道機械,0,19.56
RPQNMLKLNHLFFFK58CA,坡道機械,0,
RPQNMLKLNHLFFFK58CA,其他,0,
RPUNMLPLNHLFFDK66CA,坡道平面,800000,
RPVNMLPLNHLFFDK76CA,坡道平面,800000,
RPTNMLOJOHLFFBK78CA,坡道平面,0,
RPVNMLPKOHLFFDK76CA,坡道平面,0,
RPRNMLQKOHLFFDK09CA,坡道平面,0,
RPVNMLRLNHLFFBK76CA,坡道平面,0,
RPWNMLPLNHLFFDK86CA,坡道平面,800000,
RPXNMLPLNHLFFDK96CA,坡道平面,800000,
RPPOMLPLNHLFFDK88CA,坡道平面,800000,
RPRQMLMLOHLFFBK88CA,坡道平面,0,
RPRNMLLJOHLFFDK48CA,坡道平面,0,
RPVNMLSJOHLFFBK76CA,坡道機械,0,
RPVNMLRJOHLFFBK66CA,坡道平面,0,
RPUNMLQKOHLFFFK96CA,坡道平面,0,
RPPOMLRLNHLFFDK56DA,一樓平面,0,
RPPOMLRLNHLFFDK56DA,一樓平面,0,
RPXNMLRLNHLFFDK17CA,一樓平面,0,
RPPNMLKMNHLFFFK58CA,升降機械,0,
RPQOMLKMNHLFFFK78CA,坡道機械,0,
RPUNMLSJOHLFFBK66CA,坡道平面,0,29.75
RPSNMLKMNHLFFFK88CA,其他,0,5.96
RPTNMLKMNHLFFFK98CA,一樓平面,0,
RPQNMLLMNHLFFDK58CA,一樓平面,0,
RPQNMLLLOHLFFBK38CA,坡道平面,0,
RPRNMLRLOHLFFDK66CA,一樓平面,0,
