編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLRLNHLFFAM66CA,22,280.22,見其他登記事項,鋼筋混凝土造,83年6月1日,四層,一層 二層 三層 四層 地下層
RPQPMLKMNHLFFAM58CA,,170.71,住家用,鋼筋混凝土造,105年1月25日,四層,一層 二層 三層 四層
RPRPMLKMNHLFFAM68CA,,170.71,住家用,鋼筋混凝土造,105年1月25日,四層,一層 二層 三層 四層
RPSPMLKMNHLFFAM78CA,,170.71,住家用,鋼筋混凝土造,105年1月25日,四層,一層 二層 三層 四層
RPSNMLNKOHLFFAM78CA,35,133.88,住商用,鋼筋混凝土造,70年7月2日,三層,一層 二層 三層 騎樓
RPPNMLKLNHLFFCM38CA,21,93.94,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,二層
RPPNMLKLNHLFFCM38CA,21,.18,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,地下層
RPPNMLKLNHLFFCM38CA,21,8.07,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,
RPPNMLKLNHLFFCM38CA,21,19.04,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,
RPPNMLQLNHLFFCM98CA,18,122.90,住家用,鋼筋混凝土造,87年10月19日,二層,一層 二層 屋頂突出物
RPTNMLLJOHLFFCM78CA,6,100.52,農舍,見其他登記事項,99年8月31日,二層,一層 二層
RPRNMLRJOHLFFCM56CA,16,501.32,住商用,鋼筋混凝土造,88年12月16日,四層,一層 二層 三層 四層 騎樓
RPSNMLSKNHLFFDM86CA,44,50.16,住家用,磚造,61年9月1日,一層,一層
RPUNMLRLNHLFFDM07CA,35,105.00,住商用,鋼筋混凝土加強磚造,70年2月16日,二層,一層 二層 騎樓
RPSOMLNLNHLFFCM09CA,13,153.88,住商用,鋼筋混凝土造,92年6月13日,三層,一層 二層 三層 騎樓
RPQOMLNLNHLFFCM88CA,11,134.23,見其他登記事項,鋼筋混凝土造,93年11月16日,九層,七層
RPQOMLNLNHLFFCM88CA,11,57.63,見其他登記事項,鋼筋混凝土造,93年11月16日,九層,
RPQNMLTKNHLFFAM09CA,1,176.23,見其他登記事項,鋼筋混凝土造,104年8月4日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLTKNHLFFAM98CA,42,98.98,住家用,鋼筋混凝土加強磚造,62年12月28日,二層,一層 二層
RPSNMLKLNHLFFAM48CA,37,186.79,見其他登記事項,見其他登記事項,68年6月19日,二層,一層 二層 防空避難室
