鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
員林鎮,房地(土地+建物),彰化縣員林市日泰街31~60號,116.0,住,,,1050520,土地1建物1車位0,全,4,透天厝,住工用,鋼筋混凝土造,0800614,313.47,10,1,3,有,無,無,16000,51,,0.0,0,只租房間,RPRNMLNLNHLFFDN66CC
員林鎮,房地(土地+建物),彰化縣員林市日泰街31~60號,116.0,住,,,1050520,土地1建物1車位0,一層,4,店面(店鋪),住工用,鋼筋混凝土造,0800614,60.9,0,1,1,有,無,無,9000,148,,0.0,0,只有一樓店舖,RPSNMLNLNHLFFDN76CC
員林鎮,建物,彰化縣員林市成功東路1~30號,91.0,住,,,1050517,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850816,317.66,6,2,3,有,無,無,10000,31,,0.0,0,承租建物的一半(半棟),RPTNMLOLNHLFFDN07DC
員林鎮,建物,彰化縣員林市成功東路1~30號,66.0,住,,,1050520,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850816,229.99,5,2,4,有,無,無,12000,52,,0.0,0,承租建物的一半(半棟),RPTNMLQLNHLFFDN27DC
埔心鄉,房地(土地+建物),彰化縣埔心鄉大橋村中山路三段91~120號,3254.9,,特定農業區,農牧用地,1050401,土地1建物1車位0,二層,2,廠辦,農舍,加強磚造,0890106,370.29,1,1,1,有,無,無,116000,313,,0.0,0,,RPPNMLQLNHLFFHN17CC
員林鎮,房地(土地+建物),彰化縣員林市靜修東路151~180號,383.0,住,,,1050430,土地3建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0751125,115.29,3,3,2,有,有,無,13000,113,,0.0,0,,RPUNMLRLNHLFFDN37CC
員林鎮,房地(土地+建物),彰化縣員林市南昌路91~120號,130.0,商,,,1050527,土地1建物1車位0,二層,5,店面(店鋪),住商用,鋼筋混凝土造,0771026,200.99,0,0,0,無,無,無,20000,100,,0.0,0,,RPWNMLRLNHLFFDN57CC
大村鄉,房地(土地+建物),彰化縣員林市山腳路31~60號,89.09,,鄉村區,乙種建築用地,1050503,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1030901,168.05,4,2,3,有,無,無,15000,89,,0.0,0,,RPSNMLKMNHLFFDN56CC
彰化市,建物,彰化縣彰化巿安溪西路91~120號,0.0,,鄉村區,乙種建築用地,1050523,土地0建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040819,177.95,3,2,3,有,無,有,17000,96,,0.0,0,,RPQNMLKMNHLFFAN68CC
彰化市,房地(土地+建物),彰化縣彰化巿彰化市中正路一段61~90號,325.0,住,,,1050521,土地1建物1車位0,二層,5,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0771105,207.9,0,0,0,無,無,無,10000,48,,0.0,0,,RPOOMLKMNHLFFAN58CC
彰化市,房地(土地+建物),彰化縣彰化巿中正路一段61~90號,325.0,住,,,1050530,土地1建物1車位0,四層,5,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0771105,207.9,0,0,0,無,無,無,12000,58,,0.0,0,,RPPOMLKMNHLFFAN68CC
彰化市,房地(土地+建物),彰化縣彰化巿中正路一段61~90號,325.0,住,,,1050512,土地1建物1車位0,三層,5,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0771105,207.9,0,0,0,無,無,無,12000,58,,0.0,0,,RPQOMLKMNHLFFAN78CC
彰化市,房地(土地+建物),彰化縣彰化巿中華西路601巷145弄1~30號,87.0,住,,,1050530,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0811006,162.28,5,2,3,有,無,無,12000,74,,0.0,0,,RPWNMLLMNHLFFAN86DC
