編號,車位類別,車位價格,車位面積平方公尺
RPVOMLSKNHLFFAO17CA,坡道平面,0,29.76
RPWOMLSKNHLFFAO27CA,坡道平面,0,29.76
RPXOMLSKNHLFFAO37CA,坡道平面,0,29.76
RPOPMLSKNHLFFAO56CA,坡道平面,0,29.76
RPOPMLSKNHLFFAO56CA,坡道平面,0,29.76
RPPPMLSKNHLFFAO66CA,坡道機械,0,
RPOOMLQKNHLFFAO88CA,一樓平面,1180000,31.12
RPOOMLQKNHLFFAO88CA,一樓平面,1180000,31.12
RPQPMLRKNHLFFAO66CA,坡道機械,0,
RPTPMLKLNHLFFAO98CA,坡道平面,0,
RPRNMLQLNHLFFAO56CA,坡道平面,1050000,27.28
RPSNMLQLNHLFFAO66CA,坡道平面,900000,27.28
RPTNMLQLNHLFFAO76CA,坡道平面,900000,27.28
RPSNMLTLNHLFFAO96CA,坡道機械,0,
RPPOMLKMNHLFFAO58CA,坡道平面,0,
RPSRMLRLNHLFFAO27DA,坡道平面,0,
RPOOMLQLNHLFFAO98CA,升降平面,0,
RPRQMLPLNHLFFAO76CA,坡道平面,0,
RPRQMLPLNHLFFAO76CA,坡道平面,0,
RPPPMLNLNHLFFAO88CA,坡道平面,0,
RPUPMLNLNHLFFAO76CA,坡道平面,0,15.73
RPUPMLNLNHLFFAO76CA,坡道平面,0,16.30
RPVPMLNLNHLFFAO86CA,坡道平面,0,18.31
RPPQMLOLNHLFFAO09CA,坡道平面,0,51.03
RPWPMLKLNHLFFAO66CA,坡道平面,0,26.47
RPVPMLTKNHLFFAO37CA,一樓平面,0,
RPSNMLKLNHLFFAO68CA,坡道平面,0,
RPWSMLNJOHLFFAO17CA,坡道平面,0,34.82
RPSOMLPJOHLFFAO56CA,坡道平面,0,
RPSOMLPJOHLFFAO56CA,坡道平面,0,
RPPNMLSJOHLFFAO09CA,坡道平面,0,
RPPNMLSJOHLFFAO09CA,坡道平面,0,
RPQNMLSJOHLFFAO56CA,坡道平面,0,
RPQNMLSJOHLFFAO56CA,坡道平面,0,
RPRNMLSJOHLFFAO66CA,坡道平面,0,
RPRNMLSJOHLFFAO66CA,坡道平面,0,
RPSNMLSJOHLFFAO76CA,坡道平面,0,
RPSNMLSJOHLFFAO76CA,坡道平面,0,
RPTNMLSJOHLFFAO86CA,坡道平面,0,
RPTNMLSJOHLFFAO86CA,坡道平面,0,
RPTNMLSJOHLFFAO86CA,坡道平面,0,
RPTNMLSJOHLFFAO86CA,坡道平面,0,
RPUNMLSJOHLFFAO96CA,坡道平面,0,
RPUNMLSJOHLFFAO96CA,坡道平面,0,
RPUNMLSJOHLFFAO96CA,坡道平面,0,
RPUNMLSJOHLFFAO96CA,坡道平面,0,
RPUNMLSJOHLFFAO96CA,坡道平面,0,
RPVNMLSJOHLFFAO07CA,坡道平面,0,
RPVNMLSJOHLFFAO07CA,坡道平面,0,
RPWNMLSJOHLFFAO17CA,坡道平面,0,
RPXNMLSJOHLFFAO27CA,坡道平面,0,
RPXNMLSJOHLFFAO27CA,坡道平面,0,
RPOOMLSJOHLFFAO09CA,坡道平面,0,
RPOOMLSJOHLFFAO09CA,坡道平面,0,
RPVNMLQJOHLFFAO86CA,坡道平面,0,
RPVNMLQJOHLFFAO86CA,坡道平面,0,
RPWNMLQJOHLFFAO96CA,坡道平面,0,
RPXNMLQJOHLFFAO07CA,坡道平面,0,
RPXNMLQJOHLFFAO07CA,坡道平面,0,
RPOOMLQJOHLFFAO88CA,坡道平面,0,
RPOOMLQJOHLFFAO88CA,坡道平面,0,
RPPOMLQJOHLFFAO98CA,坡道平面,0,
RPPOMLQJOHLFFAO98CA,坡道平面,0,
RPQOMLQJOHLFFAO09CA,坡道平面,0,
RPQOMLQJOHLFFAO09CA,坡道平面,0,
RPQOMLQJOHLFFAO09CA,坡道平面,0,
RPROMLQJOHLFFAO56CA,坡道平面,0,
RPROMLQJOHLFFAO56CA,坡道平面,0,
RPROMLQJOHLFFAO56CA,坡道平面,0,
RPSOMLQJOHLFFAO66CA,坡道平面,0,
RPSOMLQJOHLFFAO66CA,坡道平面,0,
RPSOMLQJOHLFFAO66CA,坡道平面,0,
RPTOMLQJOHLFFAO76CA,坡道平面,0,
RPTOMLQJOHLFFAO76CA,坡道平面,0,
SPTOMLQJOHLFFAO86CA,坡道平面,0,
SPTOMLQJOHLFFAO86CA,坡道平面,0,
