¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥¬³UÂí,¤g¦a,·s¥Á¬q901~930¦a¸¹,180.48,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050505,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2183808,12100,,0.0,0,,RPSNMLRKNHLFFBQ96CA
¸q¦Ë¶m,¤g¦a,¦w·Ë¼d¬q331~360¦a¸¹,8301.0,,¯S©w±M¥Î°Ï,¾i´Þ¥Î¦a,1050428,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3735450,450,,0.0,0,¤£°Ê²£¤§¦@¦³¤H¼Æ¬°¢±¤H,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPUNMLRKNHLFFBQ17CA
¦µ¤l¥«,¤g¦a,¦wºÖ¬q241~270¦a¸¹,197.7,¦í,,,1050506,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4963400,25106,,0.0,0,,RPQNMLSKNHLFFBQ86CA
¦µ¤l¥«,¤g¦a,®r«e¬q®r«e¤p¬q181~210¦a¸¹,31.27,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050504,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,246000,7867,,0.0,0,,RPQNMLKLNHLFFBQ78CA
¤»¸}¶m,¤g¦a,´ä§À¼d¬qÂ×¬ü¤p¬q931~960¦a¸¹,36.0,,¯S©w¹A·~°Ï,¥æ³q¥Î¦a,1050421,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,108168,3005,,0.0,0,,RPRNMLOLNHLFFBQ66CA
¤»¸}¶m,©Ð¦a(¤g¦a+«Øª«),¹Å¸q¿¤¤»¸}¶mÂù²[1~30¸¹,102.35,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050415,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870115,165.15,4,3,4,¦³,µL,2250000,13624,,0.0,0,,RPPNMLSLNHLFFBQ86CA
¤jªLÂí,¤g¦a,·¾­I¬q·¾­I¤p¬q61~90¦a¸¹,322.0,,,,1050502,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,354200,1100,,0.0,0,,RPRNMLPLNHLFFCQ86CA
·Ë¤f¶m,¤g¦a,¬h¤l·¾¬q«n¹t­í¤p¬q331~360¦a¸¹,1715.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050428,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1178666,687,,0.0,0,¤T¤C¤­¯²¬ù¤g¦a,RPVNMLRJOHLFFCQ37CA
·Ë¤f¶m,¤g¦a,¤TÅ|·Ë¬qÅ|·Ë¤p¬q61~90¦a¸¹,2969.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1050428,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2040666,687,,0.0,0,¤T¤C¤­¯²¬ù¤g¦a,RPWNMLRJOHLFFCQ47CA
¤Ó«O¥«,©Ð¦a(¤g¦a+«Øª«),¹Å¸q¿¤¤Ó«OÉ]¦w¤¯¨½³»´ä¤láY31~60¸¹,8.07,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050503,¤g¦a2«Øª«1¨®¦ì0,¥|¼h,¤­¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0940815,23.34,1,0,1,¦³,¦³,400000,17138,,0.0,0,,RPTNMLRKNHLFFDQ27CA
