鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
屏東巿,土地,建國段901~930地號,42.5,住,,,1050507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,15294,,0.0,0,1.親友、員工或其他特殊關係間之交易。2.含未登記建物。,RPXNMLQKNHLFFAT57CA
長治鄉,房地(土地+建物),屏東縣長治鄉博愛街1~30號,118.48,住,,,1050512,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040401,222.43,6,2,3,有,無,7000000,31471,,0.0,0,,RPSNMLRKNHLFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東巿互助街1~30號,47.0,住,,,1050425,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830202,117.29,3,2,3,有,無,3800000,32398,,0.0,0,,RPQOMLRKNHLFFAT07CA
屏東巿,房地(土地+建物),屏東縣屏東巿廣州街1~30號,72.0,住,,,1050412,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,,104.0,2,2,2,有,無,4600000,44231,,0.0,0,,RPSOMLRKNHLFFAT27CA
屏東巿,房地(土地+建物),屏東縣屏東巿清寧街111巷1~30號,12.86,住,,,1050506,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820601,49.14,1,1,1,有,無,830000,16891,,0.0,0,,RPRNMLSKNHLFFAT17CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東巿建豐路2巷31~60號,11.21,住,,,1050506,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890721,108.8,2,1,1,有,有,2650000,24357,坡道平面,22.0,0,,RPSNMLSKNHLFFAT27CA
屏東巿,房地(土地+建物),屏東縣屏東巿機場北路721~750號,17.4,住,,,1050505,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,120.62,3,2,2,有,有,2600000,21555,,0.0,0,,RPTNMLSKNHLFFAT37CA
屏東巿,車位,屏東縣屏東巿機場北路721~750號,0.0,,,,1050420,土地0建物0車位1,,,其他,,,,53.77,0,0,0,有,有,500000,,坡道平面,24.0,500000,,RPWNMLSKNHLFFAT67CA
九如鄉,土地,九平段991~1020地號,99.34,商,,,1050421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1490100,15000,,0.0,0,,RPOOMLKLNHLFFAT88CA
麟洛鄉,土地,徑仔段571~600地號,3043.7,,一般農業區,農牧用地,1050503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5805300,1907,,0.0,0,,RPVNMLNLNHLFFAT17CA
長治鄉,土地,香潭段31~60地號,326.52,住,,,1050330,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7901780,24200,,0.0,0,,RPPOMLQLNHLFFAT96CA
長治鄉,房地(土地+建物),屏東縣長治鄉新生街37巷1弄1~30號,122.35,住,,,1050422,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041103,218.76,5,2,4,有,無,9800000,44798,,0.0,0,,RPPNMLRLNHLFFAT96CA
屏東巿,房地(土地+建物),屏東縣屏東巿德豐街140巷31~60號,141.0,住,,,1050406,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030808,279.56,5,2,5,有,無,15470000,55337,,0.0,0,,RPPOMLRLNHLFFAT07CA
九如鄉,房地(土地+建物),屏東縣九如鄉富仁街91~120號,133.77,住,,,1050416,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040521,238.29,6,2,4,有,無,9300000,39028,,0.0,0,,RPUNMLKMNHLFFAT86CA
屏東巿,土地,前進段121~150地號,101.2,農,,,1050502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,490020,4842,,0.0,0,,RPTOMLSJOHLFFAT47CA
屏東巿,土地,前進段121~150地號,267.6,農,,,1050502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1295730,4842,,0.0,0,,SPTOMLSJOHLFFAT57CA
屏東巿,房地(土地+建物),屏東縣屏東巿大春路101巷57弄31~60號,101.47,,一般農業區,甲種建築用地,1050423,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830623,142.49,4,2,3,有,無,4000000,28072,,0.0,0,,RPOPMLSJOHLFFAT07CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉學興路241~270號,136.94,住,,,1050504,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0921114,234.67,4,2,5,有,無,8050000,34303,,0.0,0,土地及建物分次登記案件。受債權債務影響或債務抵償之交易。,RPOOMLQKNHLFFCT96CA
