編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLRKNHLFFAT17CA,1,222.43,住家用,鋼筋混凝土造,104年4月1日,三層,一層 二層 三層 屋頂突出物
RPQOMLRKNHLFFAT07CA,22,117.29,住家用,鋼筋混凝土造,83年2月2日,四層,一層 二層 三層 四層
RPSOMLRKNHLFFAT27CA,,104.00,住商用,鋼筋混凝土造,,二層,一層 二層 騎樓
RPRNMLSKNHLFFAT17CA,23,37.32,住家用,鋼筋混凝土造,82年6月1日,五層,三層
RPRNMLSKNHLFFAT17CA,23,11.82,共用部份,鋼筋混凝土造,82年6月1日,五層,
RPSNMLSKNHLFFAT27CA,16,61.91,見其他登記事項,鋼筋混凝土造,89年7月21日,十四層,九層
RPSNMLSKNHLFFAT27CA,16,46.89,見其他登記事項,鋼筋混凝土造,89年7月21日,十四層,
RPTNMLSKNHLFFAT37CA,16,91.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十三層
RPTNMLSKNHLFFAT37CA,16,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWNMLSKNHLFFAT67CA,16,53.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPNMLRLNHLFFAT96CA,,218.76,住家用,鋼筋混凝土造,104年11月3日,三層,一層 二層 三層 屋頂突出物
RPPOMLRLNHLFFAT07CA,2,279.56,住家用,鋼筋混凝土造,103年8月8日,三層,一層 二層 三層 屋頂突出物
RPUNMLKMNHLFFAT86CA,1,238.29,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 屋頂突出物
RPOPMLSJOHLFFAT07CA,22,142.49,住家用,鋼筋混凝土造,83年6月23日,三層,一層 二層 三層
RPOOMLQKNHLFFCT96CA,12,234.67,住家用,鋼筋混凝土造,92年11月14日,三層,一層 二層 三層
RPQNMLRKNHLFFCT17CA,29,108.71,住家用,鋼筋混凝土造,76年10月3日,三層,一層 二層 三層
RPSNMLRKNHLFFCT37CA,21,88.86,住家用,鋼筋混凝土造,83年11月9日,八層,四層 電梯樓梯間
RPSNMLRKNHLFFCT37CA,21,23.15,見其他登記事項,鋼筋混凝土造,83年11月9日,八層,
