鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
秀林鄉,土地,佳民段511~540地號,730.0,,鄉村區,乙種建築用地,1050418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,6164,,0.0,0,,RPQNMLSKNHLFFAU17CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕五街61~90號,20.52,住,,,1050505,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830610,68.29,2,2,1,有,有,3800000,55645,,0.0,0,,RPPOMLSKNHLFFAU17CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕六街1~30號,13.25,住,,,1050416,土地3建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840628,53.080000000000005,2,1,1,有,有,2180000,41070,,0.0,0,,RPQNMLRKNHLFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿明心街1~30號,20.98,住,,,1050415,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860106,113.81,3,1,1,有,無,5000000,43933,,0.0,0,,RPTOMLRKNHLFFAU47CA
秀林鄉,土地,下台地段841~870地號,982.89,,一般農業區,農牧用地,1050505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1017,,0.0,0,,RPRPMLOLNHLFFAU17CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美十三街31~60號,8.85,住,,,1050429,土地1建物1車位0,夾層，四層,五層,套房(1房1廳1衛),住家用,見其他登記事項,0851101,47.980000000000004,1,1,1,有,有,1900000,39600,,0.0,0,含增建,RPROMLNJOHLFFAU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中正路451~480號,75.0,商,,,1050428,土地1建物1車位0,一層，二層，三層，屋頂突出物，騎樓,三層,店面(店鋪),住家用,鋼筋混凝土造,1020510,225.36,2,0,4,有,無,24500000,108715,,0.0,0,,RPOPMLNJOHLFFAU66CA
卓溪鄉,土地,山里段31~60地號,6560.0,,山坡地保育區,農牧用地,1050510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,58,,0.0,0,,RPPNMLQKNHLFFCU07CA
瑞穗鄉,土地,興北段1411~1440地號,113.27,,特定農業區,交通用地,1050408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,181232,1600,,0.0,0,台9線260k+150-268k+500道路拓寬工程用地協議價購,RPROMLRLNHLFFCU57CA
瑞穗鄉,土地,興北段1501~1530地號,811.68,,特定農業區,交通用地,1050408,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1291317,1591,,0.0,0,台9線260k+150-268k+500道路拓寬工程用地協議價購,RPSOMLRLNHLFFCU67CA
