編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLSKNHLFFAU17CA,22,60.02,住家用,鋼筋混凝土造,83年6月10日,五層,三層
RPPOMLSKNHLFFAU17CA,22,8.27,共有部份,鋼筋混凝土造,83年6月10日,五層,
RPQNMLRKNHLFFAU07CA,21,42.77,住家用,鋼筋混凝土造,84年6月28日,六層,三層
RPQNMLRKNHLFFAU07CA,21,10.31,共有部份,鋼筋混凝土造,84年6月28日,六層,
RPTOMLRKNHLFFAU47CA,19,81.68,住家用,鋼筋混凝土造,86年1月6日,七層,三層
RPTOMLRKNHLFFAU47CA,19,18.90,共有部份,鋼筋混凝土造,86年1月6日,七層,
RPTOMLRKNHLFFAU47CA,19,13.23,共有部份,鋼筋混凝土造,86年1月6日,七層,
RPROMLNJOHLFFAU86CA,19,32.38,住家用,見其他登記事項,85年11月1日,五層,夾層 四層
RPROMLNJOHLFFAU86CA,19,15.60,共有部份,鋼筋混凝土造,85年11月1日,五層,
RPOPMLNJOHLFFAU66CA,3,225.36,住家用,鋼筋混凝土造,102年5月10日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLSKNHLFFAU07CA,35,93.12,住家用,鋼筋混凝土加強磚造,70年5月25日,二層,一層 二層
RPROMLSKNHLFFAU37CA,33,88.16,住家用,鋼筋混凝土加強磚造,72年4月14日,二層,一層 二層
RPUNMLSKNHLFFAU57CA,21,28.53,住家用,鋼筋混凝土造,84年8月31日,六層,四層
RPUNMLSKNHLFFAU57CA,21,13.91,共有部份,鋼筋混凝土造,84年8月31日,六層,
RPVNMLSKNHLFFAU67CA,20,56.08,住家用,鋼筋混凝土造,85年5月17日,六層,四層
RPVNMLSKNHLFFAU67CA,20,14.33,共有部份,鋼筋混凝土造,85年5月17日,六層,
RPOOMLSKNHLFFAU07CA,36,118.89,住商用,鋼筋混凝土造,69年8月6日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPPNMLKLNHLFFAU98CA,,357.81,農舍,鋼筋混凝土造,105年2月3日,三層,三層 一層 二層
RPQNMLKLNHLFFAU09CA,17,187.08,住家用,鋼筋混凝土造,88年9月16日,三層,一層 二層 三層
RPSNMLKLNHLFFAU66CA,22,48.33,住家用,鋼筋混凝土造,83年8月11日,八層,四層
RPSNMLKLNHLFFAU66CA,22,19.22,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPWQMLOLNHLFFAU77CA,43,79.41,住家用,鋼筋混凝土加強磚造,62年2月7日,二層,一層 二層
RPUOMLNLNHLFFAU27CA,38,141.70,住家用,鋼筋混凝土造,67年5月18日,二層,一層 二層
RPUNMLPLNHLFFAU37CA,2,181.02,農舍,鋼筋混凝土造,103年7月28日,三層,一層 二層 三層
RPTOMLPLNHLFFAU37CA,,270.47,農舍,鋼筋混凝土造,105年2月4日,四層,一層 二層 三層 四層
RPTNMLQLNHLFFAU37CA,9,234.42,住商用,鋼筋混凝土造,96年1月2日,三層,一層 二層 三層 騎樓
RPWOMLQLNHLFFAU77CA,21,19.65,住家用,鋼筋混凝土造,84年8月19日,十一層,九層
RPWOMLQLNHLFFAU77CA,21,6.82,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPPNMLKMNHLFFAU09CA,23,21.89,住家用,鋼筋混凝土造,81年12月9日,五層,四層
RPPNMLKMNHLFFAU09CA,23,5.38,共有部份,鋼筋混凝土造,81年12月9日,五層,
RPSNMLOKOHLFFAU07CA,17,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層
RPSNMLOKOHLFFAU07CA,17,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPSNMLOKOHLFFAU07CA,17,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,見其他登記事項 四層 五層
RPSNMLOKOHLFFAU07CA,17,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層
RPSNMLOKOHLFFAU07CA,17,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPSNMLOKOHLFFAU07CA,17,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,13.50,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,22.26,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,13.50,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPSNMLOKOHLFFAU07CA,17,25.46,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPPOMLRJOHLFFAU07CA,19,45.58,住家用,鋼筋混凝土造,86年1月13日,七層,四層
RPPOMLRJOHLFFAU07CA,19,19.09,共有部份,鋼筋混凝土造,86年1月13日,七層,
RPSOMLLJOHLFFAU76CA,16,19.16,住家用,鋼筋混凝土造,88年11月25日,六層,一層
RPSOMLLJOHLFFAU76CA,16,16.08,共有部份,鋼筋混凝土造,88年11月25日,六層,
RPWOMLLJOHLFFAU17CA,19,193.70,住家用,鋼筋混凝土造,86年8月19日,四層,一層 二層 三層 四層
RPXNMLNJOHLFFAU37CA,30,236.07,住商用,鋼筋混凝土造,75年1月10日,四層,一層 二層 三層 四層 防空避難室 騎樓
RPXNMLRLNHLFFAU87CA,,268.60,住家用,鋼筋混凝土造,105年1月28日,四層,一層 二層 三層 四層
RPSPMLOLNHLFFAU27CA,28,52.19,商業用,鋼筋混凝土造,77年5月3日,九層,地下層
RPSPMLOLNHLFFAU27CA,28,92.19,共有部份,鋼筋混凝土造,77年5月3日,九層,
RPSPMLOLNHLFFAU27CA,28,61.83,商業用,鋼筋混凝土造,77年5月3日,九層,地下層
