編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLSKNHLFFAU17CA,佳民段,74.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSKNHLFFAU17CA,佳民段,656.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLSKNHLFFAU17CA,裕民段,20.52,都市：住
RPQNMLRKNHLFFAU07CA,裕民段,8.95,都市：住
RPQNMLRKNHLFFAU07CA,裕民段,4.05,都市：住
RPQNMLRKNHLFFAU07CA,裕民段,.25,都市：住
RPTOMLRKNHLFFAU47CA,林森段,20.98,都市：住
RPRPMLOLNHLFFAU17CA,下台地段,491.73,非都市：一般農業區 ; 非都市編定：農牧用地
RPRPMLOLNHLFFAU17CA,下台地段,491.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPROMLNJOHLFFAU86CA,民勤段,8.85,都市：住
RPOPMLNJOHLFFAU66CA,主商段,75.00,都市：商
RPPNMLQKNHLFFCU07CA,山里段,6560.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLRLNHLFFCU57CA,興北段,113.27,非都市：特定農業區 ; 非都市編定：交通用地
RPSOMLRLNHLFFCU67CA,興北段,505.54,非都市：特定農業區 ; 非都市編定：交通用地
RPSOMLRLNHLFFCU67CA,興北段,73.71,非都市：特定農業區 ; 非都市編定：交通用地
RPSOMLRLNHLFFCU67CA,興北段,232.43,非都市：特定農業區 ; 非都市編定：交通用地
RPTOMLRLNHLFFCU77CA,興北段,75.08,非都市：特定農業區 ; 非都市編定：交通用地
RPTOMLRLNHLFFCU77CA,興北段,201.29,非都市：特定農業區 ; 非都市編定：交通用地
RPUOMLRLNHLFFCU87CA,興南段,47.03,非都市：特定農業區 ; 非都市編定：交通用地
RPVOMLRLNHLFFCU97CA,興南段,135.31,非都市：特定農業區 ; 非都市編定：交通用地
RPUOMLQKNHLFFAU57DA,永安段,1152.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLSKNHLFFCU97DA,滿自然段,1334.85,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLSKNHLFFCU97DA,滿自然段,555.82,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLSKNHLFFCU97DA,滿自然段,658.55,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNLNHLFFCU17DA,立山段,3674.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLRLOHLFFBU27CA,大安段,2307.00,都市：住
RPPNMLRLOHLFFBU27CA,大安段,108.00,都市：其他
RPPOMLRLNHLFFCU37CA,興北段,80.42,非都市：特定農業區 ; 非都市編定：交通用地
RPPOMLRLNHLFFCU37CA,興北段,32.48,非都市：特定農業區 ; 非都市編定：交通用地
RPPOMLRLNHLFFCU37CA,興北段,80.26,非都市：特定農業區 ; 非都市編定：交通用地
RPPOMLRLNHLFFCU37CA,興北段,26.22,非都市：特定農業區 ; 非都市編定：交通用地
RPQNMLSKNHLFFCU37CA,樂合段,5540.00,非都市：森林區 ; 非都市編定：農牧用地
RPTNMLSKNHLFFCU67CA,東竹段,2690.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLTKNHLFFCU57CA,三民段,2769.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLTKNHLFFCU67CA,三民段,2510.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQKOHLFFBU07CA,萬利段,128.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTKNHLFFBU37CA,阿托莫段,2623.23,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLTKNHLFFBU37CA,阿托莫段,1850.72,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLTKNHLFFBU47CA,大安段,499.00,都市：住
RPPNMLRKNHLFFCU37EA,石平段,1980.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOQMLOLNHLFFAU96CA,豐南段,51.06,非都市：一般農業區 ; 非都市編定：農牧用地
RPOQMLOLNHLFFAU96CA,豐南段,6.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPOQMLOLNHLFFAU96CA,豐南段,6.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLSKNHLFFAU07CA,嘉北段,91.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLSKNHLFFAU37CA,南埔段,89.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLSKNHLFFAU47CA,永興段,257.28,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLSKNHLFFAU47CA,永興段,262.31,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLSKNHLFFAU57CA,裕民段,8.17,都市：住
RPVNMLSKNHLFFAU67CA,富國段,17.27,都市：住
RPOOMLSKNHLFFAU07CA,國風段,21.99,都市：住
RPOOMLSKNHLFFAU07CA,國風段,.23,都市：住
RPPNMLKLNHLFFAU98CA,干城段,1266.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLNHLFFAU09CA,永安段,108.77,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKLNHLFFAU66CA,富國段,8.51,都市：住
RPUQMLOLNHLFFAU57CA,民勤段,41.00,都市：住
RPUQMLOLNHLFFAU57CA,民勤段,41.00,都市：住
RPWQMLOLNHLFFAU77CA,德安段,50.00,都市：住
RPUOMLNLNHLFFAU27CA,慶豐段,128.00,都市：住
RPUNMLPLNHLFFAU37CA,國興段,665.02,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLPLNHLFFAU37CA,福南段,829.00,都市：農
RPTOMLPLNHLFFAU37CA,福南段,107.29,都市：農
RPTNMLQLNHLFFAU37CA,吉興段,119.63,都市：住
RPWOMLQLNHLFFAU77CA,自強段,5.63,都市：住
RPPNMLKMNHLFFAU09CA,富國段,7.91,都市：住
RPSPMLNJOHLFFAU07CA,永安段,143.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLNJOHLFFAU17CA,永安段,143.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOKOHLFFAU07CA,路內段,52.84,都市：住
RPSNMLOKOHLFFAU07CA,路內段,46.40,都市：住
RPSNMLOKOHLFFAU07CA,路內段,52.84,都市：住
RPSNMLOKOHLFFAU07CA,路內段,46.40,都市：住
RPSNMLOKOHLFFAU07CA,路內段,52.84,都市：住
RPTOMLOKOHLFFAU27CA,道拉斯段,3069.07,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLSKNHLFFCU77EA,大里段,1590.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLTKNHLFFCU47CA,瑞祥段,4246.90,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLTKNHLFFAU18EA,林森段,56.00,都市：住
RPPNMLQJOHLFFBU07DA,浴海段,33.77,非都市：風景區 ; 非都市編定：農牧用地
RPSNMLQLNHLFFCU57DA,東里段,8.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPKOHLFFCU17DA,富里段,63.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLPKOHLFFCU17DA,富里段,10.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLKLNHLFFCU56CA,富南段,255.23,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLNHLFFCU56CA,富南段,103.72,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLNHLFFCU56CA,富南段,118.27,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLNHLFFCU56CA,富南段,1233.20,非都市： ; 非都市編定：
RPPNMLKLNHLFFCU56CA,富南段,338.14,非都市： ; 非都市編定：
RPPNMLKLNHLFFCU56CA,富南段,191.04,非都市： ; 非都市編定：
RPPNMLKLNHLFFBU09CA,萬利段,5020.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPPOMLRJOHLFFAU07CA,自強段,12.57,都市：住
RPSOMLLJOHLFFAU76CA,吳全段,8.83,都市：農
RPWOMLLJOHLFFAU17CA,石壁段,88.84,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWNMLNJOHLFFAU27CA,仁愛段,240.04,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLNJOHLFFAU37CA,國風段,100.00,都市：住
RPXNMLRLNHLFFAU87CA,慶豐段,127.00,都市：農
RPSPMLOLNHLFFAU27CA,明義段,21.58,都市：商
RPSPMLOLNHLFFAU27CA,明義段,1.10,都市：商
RPSPMLOLNHLFFAU27CA,明義段,22.42,都市：商
RPSPMLOLNHLFFAU27CA,明義段,.39,都市：商
RPSPMLOLNHLFFAU27CA,明義段,.19,都市：商
RPQOMLPLNHLFFAU07CA,富國段,23.91,都市：商
RPRNMLOLNHLFFAU96CA,民勤段,94.00,都市：住
RPWNMLOLNHLFFAU47CA,富國段,7.91,都市：住
RPQNMLNLNHLFFAU76CA,宜安段,14.96,都市：商
RPSOMLNLNHLFFAU07CA,樹人段,63.00,都市：住
RPPPMLNLNHLFFAU86CA,國風段,27.65,都市：住
RPWPMLNLNHLFFAU57CA,格督尚段,3565.34,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOLNHLFFAU76CA,豐東段,1322.50,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOLNHLFFAU86CA,慈安段,8.00,都市：住
RPPNMLNLNHLFFAU66CA,石壁段,17.49,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLNHLFFAU66CA,石壁段,102.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
