編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWOMLRKNHLFFAU97CC,39,78.94,住商用,鋼筋混凝土加強磚造,66年4月4日,二層,
RPTNMLSKNHLFFAU87EC,17,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,
RPTNMLSKNHLFFAU87EC,17,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPTNMLSKNHLFFAU87EC,17,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPPOMLTKNHLFFAU57DC,9,166.73,商業用,鋼筋混凝土造,96年6月27日,二層,
RPPOMLTKNHLFFAU57DC,9,23.86,共有部份,鋼筋混凝土造,96年6月27日,二層,
RPRNMLKLNHLFFAU76CC,13,95.45,住家用,鋼筋混凝土造,92年5月16日,四層,
RPUNMLNLNHLFFAU37CC,33,75.95,國民住宅,鋼筋混凝土造,72年9月10日,四層,
RPUNMLNLNHLFFAU37CC,33,7.03,共有部份,鋼筋混凝土造,72年9月10日,四層,
RPPOMLNLNHLFFAU96CC,21,79.39,住家用,鋼筋混凝土造,84年2月22日,八層,
RPPOMLNLNHLFFAU96CC,21,14.98,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPPOMLNLNHLFFAU96CC,21,12.27,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPROMLNLNHLFFAU17CC,22,305.29,住商用,鋼筋混凝土造,82年12月6日,五層,
RPTOMLNLNHLFFAU37CC,38,103.43,住商用,鋼筋混凝土加強磚造,67年4月24日,二層,
RPUPMLNLNHLFFAU57CC,22,216.62,住家用,鋼筋混凝土造,83年1月6日,四層,
RPVPMLNLNHLFFAU67CC,21,83.09,住家用,鋼筋混凝土造,84年3月13日,九層,
RPVPMLNLNHLFFAU67CC,21,34.95,共有部份,鋼筋混凝土造,84年3月13日,九層,
RPXPMLNLNHLFFAU87CC,41,75.36,住家用,鋼筋混凝土加強磚造,63年12月16日,二層,
RPOQMLNLNHLFFAU07CC,22,107.56,住家用,鋼筋混凝土造,82年12月15日,六層,
RPOQMLNLNHLFFAU07CC,22,37.26,共有部份,鋼筋混凝土造,82年12月15日,六層,
RPRQMLOLNHLFFAU47CC,22,19.33,住家用,鋼筋混凝土造,83年11月15日,十二層,
RPRQMLOLNHLFFAU47CC,22,6.12,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPRQMLOLNHLFFAU47CC,22,3.18,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPSNMLPLNHLFFAU37CC,43,266.37,住家用,鋼筋混凝土加強磚造,62年6月28日,二層,
RPXNMLPLNHLFFAU87CC,5,72.99,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,
RPXNMLPLNHLFFAU87CC,5,33.01,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPSOMLQLNHLFFAU57CC,25,214.21,住商用,鋼筋混凝土造,80年9月12日,五層,
RPVNMLRLNHLFFAU87CC,21,207.82,住商用,鋼筋混凝土造,84年3月22日,三層,
RPUNMLSLNHLFFAU87CC,2,75.56,商業用,鋼筋混凝土造,103年1月9日,一層,
RPUNMLSLNHLFFAU87CC,2,75.32,見其他登記事項,鋼筋混凝土造,103年1月9日,一層,
RPTNMLLMNHLFFAU17CC,5,113.24,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,
RPTNMLLMNHLFFAU17CC,5,49.03,共有部份,鋼筋混凝土造,100年1月21日,十二層,
