鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
台東市,房地(土地+建物),臺東縣臺東巿永樂路61~90號,79.91,住,,,1050428,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0840128,197.04,4,2,5,有,無,4150000,21062,,0.0,0,,RPTNMLRKNHLFFAV47CA
台東市,土地,順天段121~150地號,4449.41,農,,,1041223,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25430000,5715,,0.0,0,,RPPNMLKLNHLFFAV09CA
台東市,房地(土地+建物),臺東縣臺東巿福建路31~60號,36.0,住,,,1050420,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,74.26,2,1,1,有,無,1680000,22623,,0.0,0,急買急賣。瑕疵物件之交易。,RPRNMLKMNHLFFAV76CA
鹿野鄉,土地,四維段1111~1140地號,152.16,,一般農業區,甲種建築用地,1050328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,919046,6040,,0.0,0,,RPPNMLKLNHLFFCV66CA
延平鄉,房地(土地+建物),臺東縣延平鄉紅谷路31~60號,2100.0,其他,,,1050412,土地3建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0860430,126.0,3,2,1,有,無,3100000,24603,,0.0,0,,RPQNMLOKOHLFFCV17CA
海端鄉,土地,加拿段391~420地號,719.0,,山坡地保育區,農牧用地,1050506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,278,,0.0,0,,RPPNMLQKNHLFFCV27DA
太麻里鄉,土地,北太麻里段631~660地號,269.0,,山坡地保育區,丙種建築用地,1050415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,529930,1970,,0.0,0,向政府機關承購之案件。,RPPNMLRJOHLFFDV47DA
台東市,土地,東海段631~660地號,141.67,住,,,1050426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,30352,,0.0,0,,RPPNMLSKNHLFFAV17CA
台東市,房地(土地+建物),臺東縣臺東巿正氣路451~480號,112.0,住,,,1050418,土地1建物1車位0,一層，二層，三層，騎樓，地下層,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0700616,242.55,4,4,3,有,無,18000000,74212,,0.0,0,含增建或未登記建物。,RPQNMLSKNHLFFAV27CA
台東市,房地(土地+建物),臺東縣臺東巿杭州街121~150號,15.23,住,,,1050424,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820819,115.23,3,2,2,有,無,3400000,29506,,0.0,0,,RPPNMLMLNHLFFAV66CA
台東市,土地,康樂段151~180地號,1059.0,,特定農業區,農牧用地,1050427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,944,,0.0,0,,RPRNMLTKNHLFFAV47CA
台東市,土地,中正段1051~1080地號,779.0,住,,,1040611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42800000,54942,,0.0,0,,RPSNMLTKNHLFFAV57CA
台東市,土地,台東段721~750地號,265.0,農,,,1050502,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,5283,,0.0,0,,RPRNMLKLNHLFFAV66CA
長濱鄉,土地,田組段631~660地號,1822.0,,風景區,農牧用地,1050420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2425000,1331,,0.0,0,,RPRNMLQLNHLFFBV37CA
卑南鄉,土地,利卡夢段271~300地號,56.79,,鄉村區,乙種建築用地,1050512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,5283,,0.0,0,,RPRNMLSKNHLFFAV47DA
台東市,房地(土地+建物),臺東縣臺東巿北安路121~150號,120.16,住,,,1050413,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691030,115.65,0,0,0,無,無,3900000,33722,,0.0,0,,RPTNMLOLNHLFFAV37DA
大武鄉,房地(土地+建物),臺東縣大武鄉加津林61~90號,370.0,,鄉村區,乙種建築用地,1050510,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620301,102.96,2,1,1,有,無,1000000,9713,,0.0,0,,RPPNMLQLNHLFFDV37CA
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉大中寮1~30號,79.95,,一般農業區,甲種建築用地,1050506,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750722,106.53,4,1,2,有,無,1750000,16427,,0.0,0,,RPPNMLQJOHLFFDV27CA
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉大中寮1~30號,80.53,,一般農業區,甲種建築用地,1050506,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750722,106.53,4,1,2,有,無,1750000,16427,,0.0,0,,RPQNMLQJOHLFFDV37CA
