編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTNMLRKNHLFFAV47CA,豐康段,79.91,都市：住
RPPNMLKLNHLFFAV09CA,順天段,31.48,都市：農
RPPNMLKLNHLFFAV09CA,順天段,4417.93,都市：農
RPRNMLKMNHLFFAV76CA,台東段,36.00,都市：住
RPPNMLKLNHLFFCV66CA,四維段,152.16,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLOKOHLFFCV17CA,紅葉段,1907.00,都市：其他
RPQNMLOKOHLFFCV17CA,紅葉段,143.00,都市：其他
RPQNMLOKOHLFFCV17CA,紅葉段,50.00,都市：其他
RPPNMLQKNHLFFCV27DA,加拿段,719.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLRJOHLFFDV47DA,北太麻里段,62.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRJOHLFFDV47DA,北太麻里段,207.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLSKNHLFFAV17CA,東海段,141.67,都市：住
RPQNMLSKNHLFFAV27CA,台東段,112.00,都市：住
RPPNMLMLNHLFFAV66CA,台東段,15.23,都市：住
RPRNMLTKNHLFFAV47CA,康樂段,1059.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKNHLFFAV57CA,中正段,779.00,都市：住
RPRNMLKLNHLFFAV66CA,台東段,66.00,都市：農
RPRNMLKLNHLFFAV66CA,台東段,66.00,都市：農
RPRNMLKLNHLFFAV66CA,台東段,66.00,都市：農
RPRNMLKLNHLFFAV66CA,台東段,67.00,都市：農
RPRNMLQLNHLFFBV37CA,田組段,1822.00,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLSKNHLFFAV47DA,利卡夢段,39.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLSKNHLFFAV47DA,利卡夢段,17.47,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOLNHLFFAV37DA,永和段,120.16,都市：住
RPPNMLQLNHLFFDV37CA,大竹段,370.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLQJOHLFFDV27CA,荖花段,79.95,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLQJOHLFFDV37CA,荖花段,80.53,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLOLNHLFFBV96CA,玉港段,8.74,非都市：風景區 ; 非都市編定：遊憩用地
