編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLRJOHLFFAA97CA,20,23.31,商業用,見使用執照,85年1月4日,二十四層,九層
RPSOMLRJOHLFFAA97CA,20,1.50,商業用,見使用執照,85年1月4日,二十四層,七層
RPSOMLRJOHLFFAA97CA,20,13.75,共有部分,見使用執照,85年1月4日,二十四層,
RPSOMLRJOHLFFAA97CA,20,6.76,共有部分,見使用執照,85年1月4日,二十四層,
RPPNMLPKOHLFFAA47CA,22,112.23,住家用,鋼筋混凝土造,82年12月21日,五層,二層
RPPNMLPKOHLFFAA47CA,22,2.68,共有部分,鋼筋混凝土造,82年12月21日,五層,
RPSOMLMJOHLFFBA57CA,8,112.84,住家用,鋼筋混凝土造,97年1月3日,十四層,九層
RPSOMLMJOHLFFBA57CA,8,76.46,共有部分,鋼筋混凝土造,97年1月3日,十四層,
RPRNMLOJOHLFFBA57CA,11,1.60,共有部分,鋼骨鋼筋混凝土造,94年8月25日,十九層,
RPRNMLOJOHLFFBA57CA,11,14.12,停車空間,鋼骨鋼筋混凝土造,94年8月25日,十九層,地下一層
RPRNMLOJOHLFFBA57CA,11,21.94,共有部分,鋼骨鋼筋混凝土造,94年8月25日,十九層,
RPQNMLNJOHLFFBA37CA,1,112.79,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,二十層
RPQNMLNJOHLFFBA37CA,1,22.05,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPQNMLNJOHLFFBA37CA,1,28.81,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPQNMLNJOHLFFBA37CA,1,1.97,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPQNMLNJOHLFFBA37CA,1,38.76,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPPOMLNKOHLFFBA47CA,6,26.60,住家用,鋼筋混凝土造,98年12月16日,十四層,五層
RPPOMLNKOHLFFBA47CA,6,12.83,見其他登記事項,鋼筋混凝土造,98年12月16日,十四層,
RPXNMLRLOHLFFBA68CA,29,33.08,商業用,鋼筋混凝土造,76年9月12日,十層,二層
RPXNMLRLOHLFFBA68CA,29,5.71,共有部分,鋼筋混凝土造,76年9月12日,十層,
RPSOMLTLOHLFFBA48CA,2,108.85,住家用,鋼筋混凝土造,103年8月29日,十三層,十一層
RPSOMLTLOHLFFBA48CA,2,9.30,見其他登記事項,鋼筋混凝土造,103年8月29日,十三層,
RPSOMLTLOHLFFBA48CA,2,38.72,見其他登記事項,鋼筋混凝土造,103年8月29日,十三層,
RPSOMLTLOHLFFBA48CA,2,.07,見其他登記事項,鋼筋混凝土造,103年8月29日,十三層,一層
RPSOMLTLOHLFFBA48CA,2,12.97,見其他登記事項,鋼筋混凝土造,103年8月29日,十三層,
RPVQMLLJOHLFFCA08CA,39,84.30,住家用,鋼筋混凝土造,65年11月10日,四層,三層
RPWQMLLJOHLFFCA18CA,33,96.43,住家用,鋼筋混凝土造,72年7月25日,五層,二層
RPQPMLNJOHLFFCA67CA,19,46.75,商業用,鋼筋混凝土造,86年6月28日,六層,三層
RPQPMLNJOHLFFCA67CA,19,5.40,共有部分,鋼筋混凝土造,86年6月28日,六層,
RPQPMLNJOHLFFCA67CA,19,6.91,共有部分,鋼筋混凝土造,86年6月28日,六層,
RPPRMLNJOHLFFCA77CA,18,124.40,見使用執照,鋼筋混凝土造,87年8月15日,三層,一層 地下一層
RPPRMLNJOHLFFCA77CA,18,22.31,共有部分,鋼筋混凝土造,87年8月15日,三層,
RPPRMLNJOHLFFCA77CA,18,68.46,共有部分,鋼筋混凝土造,87年8月15日,三層,
RPTNMLQJOHLFFCA08CA,23,105.50,見使用執照,鋼筋混凝土造,81年12月21日,十層,地下二層
RPTNMLQJOHLFFCA08CA,23,.16,共有部分,鋼筋混凝土造,81年12月21日,十層,
RPTOMLQJOHLFFCA18CA,7,56.92,見其他登記事項,鋼筋混凝土造,98年11月6日,十四層,九層
RPTOMLQJOHLFFCA18CA,7,14.38,見其他登記事項,鋼筋混凝土造,98年11月6日,十四層,
RPTOMLQJOHLFFCA18CA,7,14.67,見其他登記事項,鋼筋混凝土造,98年11月6日,十四層,
RPRNMLSJOHLFFCA08CA,,112.36,,加強磚造,,四層,二層
RPUNMLNKOHLFFCA97CA,,17.64,,加強磚造,,二層,一層 二層
RPQQMLOKOHLFFCA97CA,15,50.73,住家用,鋼筋混凝土造,89年10月26日,十二層,十一層
RPQQMLOKOHLFFCA97CA,15,5.33,共有部分,鋼筋混凝土造,89年10月26日,十二層,
RPQQMLOKOHLFFCA97CA,15,9.75,共有部分,鋼筋混凝土造,89年10月26日,十二層,
RPTNMLRKOHLFFCA28CA,27,128.61,住家用,鋼筋混凝土造,78年7月13日,五層,四層 五層
RPTNMLRKOHLFFCA28CA,27,11.78,共有部分,鋼筋混凝土造,78年7月13日,五層,
RPTNMLRKOHLFFCA28CA,27,3.10,共有部分,鋼筋混凝土造,78年7月13日,五層,
RPQNMLTKOHLFFCA18CA,25,107.47,住家用,鋼筋混凝土造,79年11月26日,六層,三層
RPQNMLTKOHLFFCA18CA,25,25.61,共有部分,鋼筋混凝土造,79年11月26日,十六層,
RPPNMLKLOHLFFCA27CA,7,.02,商業用,鋼筋混凝土造,98年1月6日,十四層,一層
RPPNMLKLOHLFFCA27CA,7,53.01,住家用,鋼筋混凝土造,98年1月6日,十四層,八層
RPPNMLKLOHLFFCA27CA,7,14.72,共有部分,鋼筋混凝土造,98年1月6日,十四層,
RPPNMLKLOHLFFCA27CA,7,49.06,共有部分,鋼筋混凝土造,98年1月6日,十四層,
RPPNMLKLOHLFFCA27CA,7,3.60,共有部分,鋼筋混凝土造,98年1月6日,十四層,
RPOOMLKLOHLFFCA27CA,1,94.22,住家用,鋼筋混凝土造,104年4月16日,十二層,二層
RPOOMLKLOHLFFCA27CA,1,39.23,見其他登記事項,鋼筋混凝土造,104年4月16日,十二層,
RPOOMLKLOHLFFCA27CA,1,14.99,停車空間,鋼筋混凝土造,104年4月16日,十二層,地下二層 地下三層
RPOOMLKLOHLFFCA27CA,1,27.17,見其他登記事項,鋼筋混凝土造,104年4月16日,十二層,
RPOOMLKLOHLFFCA27CA,1,.01,見其他登記事項,鋼筋混凝土造,104年4月16日,十二層,
RPPOMLNLOHLFFCA67CA,28,41.75,商業用,鋼筋混凝土造,77年6月15日,九層,三層
RPPOMLNLOHLFFCA67CA,28,6.01,共有部分,鋼骨混凝土造,77年6月15日,九層,
RPWNMLSLOHLFFCA78CA,,22.88,住家用,鋼筋混凝土造,104年12月24日,九層,八層
