編號,車位類別,車位價格,車位面積平方公尺
RPSOMLMJOHLFFBA57CA,坡道平面,0,
RPRNMLOJOHLFFBA57CA,坡道平面,1000000,
RPQNMLNJOHLFFBA37CA,坡道平面,0,38.76
RPSOMLTLOHLFFBA48CA,坡道機械,900000,
RPPRMLNJOHLFFCA77CA,升降平面,0,
RPPRMLNJOHLFFCA77CA,升降平面,0,
RPTNMLQJOHLFFCA08CA,坡道機械,1750000,34.29
RPTNMLQJOHLFFCA08CA,坡道機械,1750000,34.29
RPTNMLQJOHLFFCA08CA,坡道機械,1750000,34.29
RPQNMLTKOHLFFCA18CA,坡道機械,0,25.61
RPPNMLKLOHLFFCA27CA,坡道平面,0,18.72
RPOOMLKLOHLFFCA27CA,坡道平面,0,14.99
SPWNMLSLOHLFFCA88CA,升降機械,0,
RPSQMLSJOHLFFDA58CA,坡道平面,0,
RPSQMLSJOHLFFDA58CA,坡道平面,0,
RPVNMLNLOHLFFDA28CA,坡道平面,0,36.33
RPPOMLLJOHLFFEA47CA,坡道機械,810000,21.94
RPWOMLNJOHLFFEA38CA,坡道平面,0,42.99
RPSOMLNJOHLFFFA08CA,坡道機械,0,34.41
RPSNMLNKOHLFFBA77DA,坡道平面,0,15.00
RPWOMLQJOHLFFCA58DA,升降機械,0,
RPPNMLMJOHLFFDA47DA,坡道平面,0,36.60
RPRNMLMJOHLFFEA77DA,坡道平面,0,29.35
RPRNMLQJOHLFFEA18DA,坡道平面,3300000,46.15
RPRNMLQJOHLFFEA18DA,坡道平面,3300000,46.15
RPRNMLQJOHLFFEA18DA,坡道平面,3300000,46.15
RPRNMLQJOHLFFEA18DA,坡道平面,3100000,39.83
RPVNMLOLOHLFFDA48DA,坡道平面,0,
RPSOMLOLOHLFFCA18DA,一樓平面,0,
RPSOMLOLOHLFFCA18DA,一樓平面,0,
RPOPMLRJOHLFFCA97DA,坡道平面,0,
RPPQMLNJOHLFFCA77DA,坡道平面,0,
RPVOMLOKOHLFFFA58CA,坡道平面,0,
RPOPMLKLOHLFFFA67CA,升降機械,0,9.32
RPXNMLRJOHLFFEA78CA,升降機械,0,
RPPNMLTJOHLFFDA08CA,坡道平面,0,
RPQPMLOKOHLFFDA97CA,坡道平面,2500000,29.44
RPQPMLOKOHLFFDA97CA,坡道平面,2500000,29.44
RPPNMLQKOHLFFDA87CA,坡道平面,0,40.41
RPPNMLQKOHLFFDA87CA,坡道平面,0,40.41
RPPNMLQKOHLFFDA87CA,坡道平面,0,40.41
RPPNMLNJOHLFFDA47CA,坡道平面,2180000,40.89
RPQOMLLLOHLFFCA57CA,坡道平面,0,37.87
RPSNMLPKOHLFFCA97CA,升降機械,1800000,15.68
RPWPMLNKOHLFFCA38CA,坡道平面,0,33.44
RPWPMLNKOHLFFCA38CA,坡道平面,0,33.44
RPPNMLRJOHLFFCA77CA,坡道平面,0,23.15
RPPNMLRJOHLFFCA77CA,坡道平面,0,23.15
RPPNMLRJOHLFFCA77CA,坡道平面,0,23.15
RPOSMLMJOHLFFCA67CA,坡道平面,0,14.97
RPQNMLKKOHLFFBA17CA,坡道機械,0,6.67
RPQNMLKKOHLFFBA17CA,坡道機械,0,6.67
RPQOMLRJOHLFFBA87CA,升降機械,2100000,9.21
RPOOMLOKOHLFFBA47CA,升降機械,0,4.18
RPOOMLOKOHLFFBA47CA,升降機械,0,4.18
RPOOMLOKOHLFFBA47CA,升降機械,0,4.18
RPQNMLPKOHLFFAA57CA,坡道平面,0,
RPQNMLPKOHLFFAA57CA,坡道平面,0,
RPQNMLPKOHLFFAA57CA,坡道平面,0,
RPTNMLSJOHLFFAA08CA,坡道平面,0,27.01
RPVNMLNJOHLFFAA77CA,坡道平面,0,
RPWNMLNJOHLFFAA87CA,升降機械,0,18.51
RPPNMLRJOHLFFAA57CA,坡道平面,950000,33.19
RPPNMLRJOHLFFAA57CA,坡道平面,900000,33.19
RPPOMLQJOHLFFAA57CA,坡道平面,0,
RPXNMLOJOHLFFCA28CA,坡道機械,0,7.46
RPXNMLOJOHLFFCA28CA,坡道機械,0,7.46
RPXOMLOJOHLFFCA38CA,坡道機械,0,4.93
RPTPMLRJOHLFFCA38CA,坡道機械,0,
RPQNMLTJOHLFFCA08CA,坡道機械,0,
RPWOMLSLOHLFFCA88CA,坡道機械,0,12.37
RPWOMLSLOHLFFCA88CA,坡道機械,0,12.37
RPWNMLOJOHLFFDA28CA,坡道平面,0,33.87
