編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLLJOHLFFCA47CC,30,84.67,商業用,鋼筋混凝土造,75年2月18日,十二層,
RPQNMLLJOHLFFCA47CC,30,4.54,共有部分,鋼筋混凝土造,75年2月18日,十二層,
RPWNMLLJOHLFFCA08CC,7,44.96,商業用,鋼筋混凝土造,98年9月16日,十八層,
RPWNMLLJOHLFFCA08CC,7,9.31,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPWNMLLJOHLFFCA08CC,7,9.76,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPWNMLLJOHLFFCA08CC,7,2.59,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPXNMLLJOHLFFCA18CC,41,53.58,住家用,鋼筋混凝土造,64年6月26日,十二層,
RPOOMLLJOHLFFCA37CC,7,63.22,見其他登記事項,鋼筋混凝土造,98年8月31日,十四層,
RPOOMLLJOHLFFCA37CC,7,39.57,共有部分,鋼筋混凝土造,98年8月31日,十四層,
RPOOMLLJOHLFFCA37CC,7,32.41,共有部分,鋼筋混凝土造,98年8月31日,十四層,
RPPOMLLJOHLFFCA47CC,,16.52,商業用,鋼筋混凝土造,,十四層,
RPSOMLLJOHLFFCA77CC,14,220.32,工業用,見使用執照,91年5月20日,十三層,
RPSOMLLJOHLFFCA77CC,14,10.40,共有部分,見使用執照,91年5月20日,十三層,
RPSOMLLJOHLFFCA77CC,14,92.51,共有部分,見使用執照,91年5月20日,十三層,
RPSOMLLJOHLFFCA77CC,14,26.19,共有部分,見使用執照,91年5月20日,十三層,
RPVOMLLJOHLFFCA08CC,17,1774.03,商業用,鋼筋混凝土造,88年11月2日,十二層,
RPVOMLLJOHLFFCA08CC,17,426.37,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPVOMLLJOHLFFCA08CC,17,245.80,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPVOMLLJOHLFFCA08CC,17,39.89,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPWOMLLJOHLFFCA18CC,38,81.99,,鋼筋混凝土造,67年3月6日,十二層,
RPXOMLLJOHLFFCA28CC,5,79.91,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPXOMLLJOHLFFCA28CC,5,16.93,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPXOMLLJOHLFFCA28CC,5,27.19,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPOPMLLJOHLFFCA47CC,7,62.34,商業用,鋼筋混凝土造,98年6月22日,十四層,
RPOPMLLJOHLFFCA47CC,7,12.66,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPOPMLLJOHLFFCA47CC,7,5.80,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPOPMLLJOHLFFCA47CC,7,21.96,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPOPMLLJOHLFFCA47CC,7,7.57,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPPPMLLJOHLFFCA57CC,8,93.06,商業用,鋼筋混凝土造,97年3月28日,十一層,
RPPPMLLJOHLFFCA57CC,8,37.38,共有部分,鋼筋混凝土造,97年3月28日,十一層,
RPRPMLLJOHLFFCA77CC,43,139.42,住家用,鋼筋混凝土造,62年3月27日,五層,
RPSPMLLJOHLFFCA87CC,19,121.65,住家用,鋼筋混凝土造,86年4月17日,六層,
RPSPMLLJOHLFFCA87CC,19,27.89,共有部分,鋼筋混凝土造,86年4月17日,六層,
RPVPMLLJOHLFFCA18CC,6,29.23,住家用,見其他登記事項,99年4月9日,十五層,
RPVPMLLJOHLFFCA18CC,6,16.13,見其他登記事項,見其他登記事項,99年4月9日,十五層,
RPPQMLLJOHLFFCA67CC,18,372.52,商業用,鋼筋混凝土造,86年12月4日,九層,
RPPNMLLJOHLFFDA47CC,1,1694.42,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPQNMLLJOHLFFDA57CC,17,208.37,住家用,見使用執照,88年1月19日,十八層,
RPQNMLLJOHLFFDA57CC,17,146.48,住家用,見使用執照,88年1月19日,十八層,
RPQNMLLJOHLFFDA57CC,17,143.36,住家用,見使用執照,88年1月19日,十八層,
