編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNJOHLFFAB37CA,19,25.30,住家用,見其他登記事項,86年1月31日,二十八層,十五層
RPQNMLNJOHLFFAB37CA,19,.92,見其他登記事項,見其他登記事項,86年1月31日,二十八層,
RPQNMLNJOHLFFAB37CA,19,3.48,共有部份,見其他登記事項,86年1月31日,二十八層,
RPQNMLNJOHLFFAB37CA,19,7.69,見其他登記事項,見其他登記事項,86年1月31日,二十八層,
RPVOMLNJOHLFFAB97CA,35,54.48,住家用,鋼筋混凝土造,69年12月30日,五層,三層
RPVOMLNJOHLFFAB97CA,35,54.48,住家用,鋼筋混凝土造,69年12月30日,五層,三層
RPQNMLOJOHLFFAB47CA,25,143.05,住家用,鋼筋混凝土造,80年4月13日,七層,四層
RPQNMLOJOHLFFAB47CA,25,46.28,見其他登記事項,鋼筋混凝土造,80年4月13日,七層,
RPQNMLOJOHLFFAB47CA,25,3.10,見其他登記事項,鋼筋混凝土造,80年4月13日,七層,地下層
RPPPMLNJOHLFFAB47CA,8,45.02,見其他登記事項,鋼筋混凝土造,97年1月21日,二十二層,十一層
RPPPMLNJOHLFFAB47CA,8,8.08,見其他登記事項,鋼筋混凝土造,97年1月21日,二十二層,
RPPPMLNJOHLFFAB47CA,8,2.88,見其他登記事項,鋼筋混凝土造,97年1月21日,二十二層,
RPPPMLNJOHLFFAB47CA,8,12.42,見其他登記事項,鋼筋混凝土造,97年1月21日,二十二層,
RPWOMLOJOHLFFAB18CA,21,23.15,住家用,鋼筋混凝土造,84年1月13日,十九層,十二層
RPWOMLOJOHLFFAB18CA,21,8.34,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPWOMLOJOHLFFAB18CA,21,3.81,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPROMLQJOHLFFAB87CA,15,87.09,見其他登記事項,鋼筋混凝土造,90年9月21日,十四層,十一層
RPROMLQJOHLFFAB87CA,15,42.31,共有部份,鋼筋混凝土造,90年9月21日,十四層,
RPROMLQJOHLFFAB87CA,15,13.14,共有部份,鋼筋混凝土造,90年9月21日,十四層,
RPQOMLSJOHLFFAB97CA,2,89.02,見其他登記事項,鋼筋混凝土造,103年9月20日,十九層,十五層
RPQOMLSJOHLFFAB97CA,2,75.18,見其他登記事項,鋼筋混凝土造,103年9月20日,十九層,
RPQPMLSJOHLFFAB08CA,21,250.10,見其他登記事項,鋼筋混凝土造,84年3月21日,四層,一層 二層 三層 四層
RPSOMLPKOHLFFAB97CA,31,96.97,住家用,鋼筋混凝土造,74年1月25日,五層,一層
RPSOMLPKOHLFFAB97CA,31,3.68,見其他登記事項,鋼筋混凝土造,74年1月25日,五層,
RPPOMLQKOHLFFAB77CA,47,45.79,住家用,見其他登記事項,57年12月2日,四層,四層
RPQOMLRKOHLFFAB97CA,23,24.58,住家用,鋼筋混凝土造,82年7月10日,七層,四層
RPQOMLRKOHLFFAB97CA,23,7.84,共有部份,鋼筋混凝土造,82年7月10日,七層,
RPRNMLSKOHLFFAB08CA,20,88.55,見其他登記事項,鋼筋混凝土造,85年8月21日,九層,二層
RPRNMLSKOHLFFAB08CA,20,.09,見其他登記事項,鋼筋混凝土造,85年8月21日,九層,一層
RPRNMLSKOHLFFAB08CA,20,13.40,見其他登記事項,鋼筋混凝土造,85年8月21日,九層,
RPRNMLSKOHLFFAB08CA,20,16.34,見其他登記事項,鋼筋混凝土造,85年8月21日,九層,
RPRNMLSKOHLFFAB08CA,20,26.36,見其他登記事項,鋼筋混凝土造,85年8月21日,九層,
RPOQMLSLOHLFFAB18CA,2,106.60,見其他登記事項,鋼筋混凝土造,104年12月21日,二十層,三層
RPOQMLSLOHLFFAB18CA,2,79.59,見其他登記事項,鋼筋混凝土造,104年12月21日,二十層,
RPOQMLSLOHLFFAB18CA,2,35.51,見其他登記事項,鋼筋混凝土造,104年12月21日,二十層,
RPRPMLLJOHLFFBB57CA,21,78.98,住家用,鋼筋混凝土造,83年12月14日,十七層,七層
RPRPMLLJOHLFFBB57CA,21,28.75,共有部份,鋼筋混凝土造,83年12月14日,十七層,
RPOOMLMJOHLFFBB27CA,1,397.19,見其它登記事項,鋼筋混凝土造,103年12月27日,四層,一層 二層 三層 四層 見其它登記事項
RPQPMLMJOHLFFBB57CA,23,24.07,住家用,鋼筋混凝土造,82年9月3日,七層,四層
RPQPMLMJOHLFFBB57CA,23,12.36,共有部份,鋼筋混凝土造,82年9月3日,七層,
RPVQMLMJOHLFFBB18CA,1,187.15,見其它登記事項,鋼筋混凝土造,104年6月15日,四層,一層 二層 三層 四層 地下一層
RPVQMLMJOHLFFBB18CA,1,87.65,見其它登記事項,鋼筋混凝土造,104年6月15日,十四層,
RPVQMLMJOHLFFBB18CA,1,.08,見其它登記事項,鋼筋混凝土造,104年6月15日,十四層,
RPQRMLMJOHLFFBB77CA,34,94.53,住家用,鋼筋混凝土造,70年12月12日,八層,六層
RPQRMLMJOHLFFBB77CA,34,10.67,共有部份,鋼筋混凝土造,70年12月12日,八層,
RPQRMLMJOHLFFBB77CA,34,14.49,共有部份,鋼筋混凝土造,70年12月12日,八層,
RPWRMLMJOHLFFBB38CA,21,61.10,住家用,鋼筋混凝土造,84年6月7日,二十一層,十一層
RPWRMLMJOHLFFBB38CA,21,33.81,共有部份,鋼筋混凝土造,84年6月7日,二十一層,
RPTSMLMJOHLFFBB18CA,33,131.22,住家用,鋼筋混凝土造,71年12月29日,五層,三層
RPPNMLNJOHLFFBB37CA,34,49.00,住家用,鋼筋混凝土造,70年12月9日,五層,二層
RPPNMLNJOHLFFBB37CA,34,1.09,共有部份,鋼筋混凝土造,70年12月9日,五層,
RPTOMLNJOHLFFBB87CA,31,100.08,見其它登記事項,鋼筋混凝土造,74年5月3日,五層,一層 二層 騎樓
RPTOMLNJOHLFFBB87CA,31,11.32,共有部份,鋼筋混凝土造,74年5月3日,五層,
RPWQMLOJOHLFFBB48CA,7,91.51,住家用,鋼筋混凝土造,98年9月8日,十四層,五層
RPWQMLOJOHLFFBB48CA,7,67.42,共有部份,鋼筋混凝土造,98年9月8日,十四層,
RPXRMLSJOHLFFBB09CA,21,17.50,見其它登記事項,鋼筋混凝土造,83年12月22日,十七層,地下三層
RPXRMLSJOHLFFBB09CA,21,15.45,共有部份,鋼筋混凝土造,83年12月22日,十七層,
RPXRMLSJOHLFFBB09CA,21,29.97,商業用,鋼筋混凝土造,83年12月22日,十七層,十層
RPTNMLNKOHLFFBB87CA,26,114.02,住家用,鋼筋混凝土造,79年3月3日,七層,五層
RPTNMLNKOHLFFBB87CA,26,26.51,共有部份,鋼筋混凝土造,79年3月3日,七層,
RPTNMLNKOHLFFBB87CA,26,25.09,見其它登記事項,鋼筋混凝土造,79年3月3日,七層,地下二層
RPTNMLNKOHLFFBB87CA,26,.00,共有部份,鋼筋混凝土造,79年3月3日,七層,
RPROMLRKOHLFFBB18CA,23,105.72,住家用,鋼筋混凝土造,82年8月31日,十二層,七層
RPROMLRKOHLFFBB18CA,23,34.63,共有部份,鋼筋混凝土造,82年8月31日,十三層,
RPVPMLLLOHLFFBB18CA,20,98.39,住家用,鋼筋混凝土造,85年6月27日,二十四層,七層
RPVPMLLLOHLFFBB18CA,20,8.58,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPVPMLLLOHLFFBB18CA,20,1.95,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPVPMLLLOHLFFBB18CA,20,29.53,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPVPMLLLOHLFFBB18CA,20,22.15,共有部份,鋼筋混凝土造,85年6月27日,二十四層,
RPSQMLLLOHLFFBB97CA,1,129.84,見其它登記事項,鋼筋混凝土造,104年11月5日,二十四層,九層
RPSQMLLLOHLFFBB97CA,1,83.96,見其它登記事項,鋼筋混凝土造,104年11月5日,二十四層,
RPSQMLLLOHLFFBB97CA,1,24.22,見其它登記事項,鋼筋混凝土造,104年11月5日,二十四層,
RPRPMLOLOHLFFBB08CA,37,130.09,商業用,鋼筋混凝土造,68年1月18日,五層,一層 騎樓 地下層
