編號,車位類別,車位價格,車位面積平方公尺
RPSUMLNKOHLFFBB58CB,坡道平面,1500000,21.53
RPTUMLNKOHLFFBB68CB,坡道平面,1550000,21.53
RPVUMLNKOHLFFBB88CB,坡道平面,1550000,21.53
RPWUMLNKOHLFFBB98CB,坡道平面,1550000,21.53
RPXUMLNKOHLFFBB09CB,坡道平面,1550000,24.83
RPPVMLNKOHLFFBB38CB,坡道平面,1600000,24.83
RPQVMLNKOHLFFBB48CB,坡道平面,1500000,21.53
RPTVMLNKOHLFFBB78CB,坡道平面,1600000,21.53
RPUVMLNKOHLFFBB88CB,坡道平面,1350000,21.53
RPVVMLNKOHLFFBB98CB,坡道平面,1500000,21.53
RPQWMLNKOHLFFBB58CB,坡道平面,1550000,21.53
RPRWMLNKOHLFFBB68CB,升降機械,600000,12.38
RPSWMLNKOHLFFBB78CB,坡道平面,1550000,132.27
RPTWMLNKOHLFFBB88CB,坡道平面,1550000,21.53
RPVWMLNKOHLFFBB09CB,坡道平面,1550000,24.83
RPWWMLNKOHLFFBB56CB,坡道平面,1350000,21.53
RPONNLNKOHLFFBB57CB,坡道平面,1550000,21.53
RPQNNLNKOHLFFBB77CB,升降機械,900000,12.38
RPSNNLNKOHLFFBB97CB,坡道平面,1550000,24.83
RPTNNLNKOHLFFBB08CB,坡道機械,600000,12.38
RPWNNLNKOHLFFBB38CB,坡道平面,1500000,21.53
RPXNNLNKOHLFFBB48CB,坡道平面,1500000,21.53
RPPONLNKOHLFFBB77CB,坡道平面,1350000,21.53
RPQONLNKOHLFFBB87CB,坡道平面,1600000,24.83
RPRONLNKOHLFFBB97CB,坡道平面,1350000,21.53
RPSONLNKOHLFFBB08CB,坡道平面,1600000,24.83
RPVONLNKOHLFFBB38CB,坡道平面,1550000,24.83
RPWONLNKOHLFFBB48CB,坡道機械,600000,12.38
RPXONLNKOHLFFBB58CB,坡道平面,1350000,21.53
RPOPNLNKOHLFFBB77CB,坡道平面,1550000,24.83
RPRPNLNKOHLFFBB08CB,坡道平面,1500000,21.53
RPSPNLNKOHLFFBB18CB,坡道平面,1400000,24.83
RPUPNLNKOHLFFBB38CB,坡道機械,600000,12.38
RPWPNLNKOHLFFBB58CB,坡道平面,1350000,21.53
RPXPNLNKOHLFFBB68CB,坡道平面,1650000,21.53
RPOQNLNKOHLFFBB87CB,坡道平面,1600000,21.53
