編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLLJOHLFFBB77CC,35,68.04,住商用,鋼筋混凝土造,70年8月14日,五層,
RPTNMLLJOHLFFBB77CC,35,53.53,住商用,鋼筋混凝土造,70年8月14日,五層,
RPWNMLLJOHLFFBB08CC,18,72.17,住家用,鋼筋混凝土造,87年4月17日,二十五層,
RPWNMLLJOHLFFBB08CC,18,14.54,共有部份,鋼筋混凝土造,87年4月17日,二十五層,
RPWNMLLJOHLFFBB08CC,18,14.93,共有部份,鋼筋混凝土造,87年4月17日,二十五層,
RPOOMLLJOHLFFBB37CC,1,86.63,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPOOMLLJOHLFFBB37CC,1,20.45,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPOOMLLJOHLFFBB37CC,1,20.99,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPPPMLLJOHLFFCB67CC,24,907.60,見其他登記事項,見其他登記事項,81年7月1日,二十八層,
RPQPMLLJOHLFFCB77CC,24,986.64,見其他登記事項,見其他登記事項,81年7月1日,二十八層,
RPRPMLLJOHLFFCB87CC,10,61.00,住家用,鋼筋混凝土造,95年8月16日,二十二層,
RPRPMLLJOHLFFCB87CC,10,23.61,見其他登記事項,鋼筋混凝土造,95年8月16日,二十二層,
RPTPMLLJOHLFFCB08CC,2,170.20,住家用,鋼筋混凝土造,103年10月20日,二十五層,
RPTPMLLJOHLFFCB08CC,2,54.50,見其他登記事項,鋼筋混凝土造,103年10月20日,二十五層,
RPTPMLLJOHLFFCB08CC,2,91.23,見其他登記事項,鋼筋混凝土造,103年10月20日,二十五層,
RPUPMLLJOHLFFCB18CC,1,45.10,見其他登記事項,鋼筋混凝土造,104年10月21日,十二層,
RPUPMLLJOHLFFCB18CC,1,24.80,見其他登記事項,鋼筋混凝土造,104年10月21日,十二層,
RPWNMLLJOHLFFAB97CC,9,66.72,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWNMLLJOHLFFAB97CC,9,14.08,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWNMLLJOHLFFAB97CC,9,9.99,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPOOMLLJOHLFFAB27CC,10,26.49,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPOOMLLJOHLFFAB27CC,10,4.41,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPOOMLLJOHLFFAB27CC,10,11.08,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPQOMLLJOHLFFAB47CC,10,26.49,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPQOMLLJOHLFFAB47CC,10,4.48,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPQOMLLJOHLFFAB47CC,10,11.10,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPROMLLJOHLFFAB57CC,2,75.22,見其他登記事項,鋼筋混凝土造,103年5月6日,十五層,
RPROMLLJOHLFFAB57CC,2,76.73,見其他登記事項,鋼筋混凝土造,103年5月6日,十五層,
RPSOMLLJOHLFFAB67CC,28,276.68,見其他登記事項,鋼筋混凝土造,77年6月27日,四層,
RPXOMLLJOHLFFAB18CC,,101.85,見其他登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPXOMLLJOHLFFAB18CC,,71.86,見其他登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPXPMLLJOHLFFAB28CC,6,269.62,見其他登記事項,鋼筋混凝土造,99年5月13日,四層,
RPTNMLLJOHLFFIL86CC,22,57.20,住商用,鋼筋混凝土造,82年11月30日,四層,
RPSNMLMJOHLFFIL86CC,37,67.20,住家用,加強磚造,68年2月13日,一層,
RPTNMLMJOHLFFIL96CC,23,35.08,住商用,鋼筋混凝土造,82年4月25日,六層,
RPRNMLMJOHLFFAL58CC,1,61.93,見其他登記事項,鋼筋混凝土造,103年12月27日,四層,
RPVNMLMJOHLFFHL17DC,22,22.41,見其他登記事項,鋼筋混凝土造,82年12月31日,十二層,
RPVNMLMJOHLFFHL17DC,22,9.65,共有部份,鋼筋混凝土造,82年12月31日,十二層,
RPWNMLMJOHLFFHL27DC,22,20.94,見其他登記事項,鋼筋混凝土造,82年12月31日,十二層,
RPWNMLMJOHLFFHL27DC,22,9.06,共有部份,鋼筋混凝土造,82年12月31日,十二層,
RPWNMLMJOHLFFCB28CC,1,89.69,住家用,鋼筋混凝土造,103年11月19日,二十一層,
RPWNMLMJOHLFFCB28CC,1,85.72,見其他登記事項,鋼筋混凝土造,103年11月19日,二十一層,
RPOOMLMJOHLFFCB57CC,4,215.68,住家用,鋼筋混凝土造,101年7月13日,十四層,
RPROMLMJOHLFFCB87CC,27,408.13,住商用,鋼筋混凝土造,78年11月11日,四層,
RPTOMLMJOHLFFCB08CC,7,34.22,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPTOMLMJOHLFFCB08CC,7,3.45,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTOMLMJOHLFFCB08CC,7,16.54,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVOMLMJOHLFFCB28CC,7,45.25,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPVOMLMJOHLFFCB28CC,7,3.79,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVOMLMJOHLFFCB28CC,7,17.80,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPXOMLMJOHLFFCB48CC,7,45.25,住家用,鋼筋混凝土造,98年8月13日,二十六層,
